Zipcode,NaicsCode,Establishments,Employees,Payroll
99501,51,20,0,0
99501,81,130,0,0
99501,52,59,0,0
99501,53,52,0,0
99501,54,315,0,0
99501,42,65,0,0
99501,72,149,0,0
99501,71,16,0,0
99501,00,1375,20167,1060916
99501,11,8,0,0
99501,21,7,0,0
99501,23,65,0,0
99501,56,74,0,0
99501,61,12,0,0
99501,62,108,0,0
99501,55,25,0,0
99502,51,5,0,0
99502,81,25,0,0
99502,52,10,0,0
99502,53,25,0,0
99502,54,40,0,0
99502,42,11,0,0
99502,72,28,0,0
99502,71,10,0,0
99502,00,429,10310,791668
99502,11,3,0,0
99502,21,4,0,0
99502,23,52,0,0
99502,56,33,0,0
99502,62,56,0,0
99502,55,10,0,0
99503,51,47,0,0
99503,81,153,0,0
99503,52,167,0,0
99503,53,135,0,0
99503,54,281,0,0
99503,42,59,0,0
99503,72,182,0,0
99503,71,20,0,0
99503,00,1802,41748,2739700
99503,11,3,0,0
99503,21,18,0,0
99503,22,11,0,0
99503,23,94,0,0
99503,56,139,0,0
99503,61,24,0,0
99503,62,185,0,0
99503,55,52,0,0
99504,51,14,0,0
99504,81,52,0,0
99504,52,21,0,0
99504,53,21,0,0
99504,54,24,0,0
99504,42,3,0,0
99504,72,75,0,0
99504,71,6,0,0
99504,00,448,7289,540462
99504,21,3,0,0
99504,23,39,0,0
99504,56,22,0,0
99504,61,5,0,0
99504,62,95,0,0
99505,54,11,0,0
99505,00,23,218,11882
99505,61,3,0,0
99506,81,5,0,0
99506,52,4,0,0
99506,54,30,0,0
99506,72,12,0,0
99506,00,91,1017,69757
99506,56,14,0,0
99506,61,4,0,0
99506,62,4,0,0
99507,51,11,0,0
99507,81,76,0,0
99507,52,23,0,0
99507,53,36,0,0
99507,54,80,0,0
99507,42,36,0,0
99507,72,54,0,0
99507,71,18,0,0
99507,00,769,10106,532781
99507,21,5,0,0
99507,23,134,0,0
99507,56,58,0,0
99507,61,10,0,0
99507,62,129,0,0
99507,55,3,0,0
99508,51,11,0,0
99508,81,48,0,0
99508,52,18,0,0
99508,53,24,0,0
99508,54,53,0,0
99508,42,10,0,0
99508,72,47,0,0
99508,71,10,0,0
99508,00,774,18531,1230841
99508,11,3,0,0
99508,23,29,0,0
99508,56,37,0,0
99508,61,11,0,0
99508,62,408,0,0
99508,55,3,0,0
99509,54,3,0,0
99509,72,3,0,0
99509,71,3,0,0
99509,00,23,153,10619
99509,23,4,0,0
99510,81,3,0,0
99510,52,5,0,0
99510,71,3,0,0
99510,00,15,61,2704
99511,52,3,0,0
99511,53,3,0,0
99511,00,22,499,43575
99511,23,3,0,0
99513,54,3,0,0
99513,00,5,9,737
99514,00,8,260,7780
99515,51,13,0,0
99515,81,63,0,0
99515,52,33,0,0
99515,53,29,0,0
99515,54,78,0,0
99515,42,25,0,0
99515,72,91,0,0
99515,71,15,0,0
99515,00,782,12108,509194
99515,11,4,0,0
99515,21,8,0,0
99515,23,85,0,0
99515,56,41,0,0
99515,61,10,0,0
99515,62,108,0,0
99515,55,12,0,0
99516,81,19,0,0
99516,53,16,0,0
99516,54,57,0,0
99516,42,6,0,0
99516,72,9,0,0
99516,71,8,0,0
99516,00,296,915,49629
99516,23,98,0,0
99516,56,17,0,0
99516,61,4,0,0
99516,62,39,0,0
99517,51,6,0,0
99517,81,28,0,0
99517,52,6,0,0
99517,53,16,0,0
99517,54,38,0,0
99517,42,13,0,0
99517,72,32,0,0
99517,71,4,0,0
99517,00,251,2416,92527
99517,23,30,0,0
99517,56,15,0,0
99517,62,28,0,0
99517,55,3,0,0
99518,51,29,0,0
99518,81,95,0,0
99518,52,15,0,0
99518,53,29,0,0
99518,54,69,0,0
99518,42,132,0,0
99518,72,37,0,0
99518,71,14,0,0
99518,00,903,12307,769797
99518,21,6,0,0
99518,22,4,0,0
99518,23,154,0,0
99518,56,67,0,0
99518,61,15,0,0
99518,62,42,0,0
99518,55,13,0,0
99519,00,18,439,33138
99520,00,3,11,130
99521,00,3,5,116
99522,00,3,0,0
99523,81,6,0,0
99523,54,3,0,0
99523,72,3,0,0
99523,00,22,71,2892
99523,23,7,0,0
99524,00,12,64,2103
99524,62,3,0,0
99540,72,5,0,0
99540,00,11,65,2378
99545,00,5,53,813
99546,00,8,31,1175
99547,00,9,15,740
99547,56,3,0,0
99549,00,4,8,462
99550,00,5,9,308
99551,00,5,0,0
99552,00,3,25,444
99553,00,3,11,439
99554,00,7,78,3810
99555,00,4,2,636
99556,51,3,0,0
99556,81,5,0,0
99556,53,4,0,0
99556,72,4,0,0
99556,00,57,152,7734
99556,11,7,0,0
99556,23,12,0,0
99556,56,6,0,0
99556,62,4,0,0
99557,00,15,100,4874
99557,62,3,0,0
99558,00,3,6,159
99559,51,4,0,0
99559,81,13,0,0
99559,52,4,0,0
99559,56,8,0,0
99559,53,8,0,0
99559,54,5,0,0
99559,72,15,0,0
99559,71,3,0,0
99559,00,133,1982,112561
99559,23,8,0,0
99559,62,27,0,0
99561,00,5,63,1176
99563,00,6,79,1807
99564,00,6,15,475
99565,00,5,2,100
99565,11,4,0,0
99566,72,3,0,0
99566,00,7,11,697
99567,81,15,0,0
99567,53,3,0,0
99567,54,12,0,0
99567,42,4,0,0
99567,72,8,0,0
99567,71,5,0,0
99567,00,131,726,26693
99567,23,39,0,0
99567,56,6,0,0
99567,62,8,0,0
99568,00,3,8,252
99571,72,3,0,0
99571,00,15,42,1909
99572,72,10,0,0
99572,71,7,0,0
99572,00,39,109,5724
99572,23,3,0,0
99572,56,4,0,0
99572,62,3,0,0
99573,72,4,0,0
99573,00,21,155,7320
99574,51,4,0,0
99574,81,14,0,0
99574,53,5,0,0
99574,54,13,0,0
99574,72,14,0,0
99574,71,5,0,0
99574,00,222,588,35011
99574,99,3,0,0
99574,11,62,0,0
99574,22,4,0,0
99574,23,8,0,0
99574,56,42,0,0
99574,62,6,0,0
99575,00,3,0,0
99576,81,4,0,0
99576,72,9,0,0
99576,71,3,0,0
99576,00,74,1091,66749
99576,53,4,0,0
99576,11,3,0,0
99576,23,6,0,0
99576,62,9,0,0
99577,51,10,0,0
99577,81,51,0,0
99577,52,23,0,0
99577,53,29,0,0
99577,54,41,0,0
99577,42,8,0,0
99577,72,38,0,0
99577,71,15,0,0
99577,00,463,3399,124049
99577,11,5,0,0
99577,23,65,0,0
99577,56,20,0,0
99577,61,8,0,0
99577,62,87,0,0
99578,00,8,35,1462
99579,00,3,53,3911
99580,00,4,0,0
99581,00,11,118,3827
99581,62,3,0,0
99583,00,4,11,1419
99585,00,4,47,712
99586,72,3,0,0
99586,00,11,13,521
99586,23,3,0,0
99587,53,3,0,0
99587,54,5,0,0
99587,72,21,0,0
99587,71,10,0,0
99587,00,74,1109,35018
99587,23,11,0,0
99587,61,4,0,0
99587,62,5,0,0
99588,81,6,0,0
99588,72,12,0,0
99588,71,5,0,0
99588,00,65,285,15361
99588,23,4,0,0
99588,56,4,0,0
99588,62,5,0,0
99589,00,5,36,676
99590,00,3,7,186
99591,00,3,0,0
99602,00,3,6,227
99603,51,11,0,0
99603,81,43,0,0
99603,52,11,0,0
99603,53,18,0,0
99603,54,33,0,0
99603,42,12,0,0
99603,72,70,0,0
99603,71,19,0,0
99603,00,568,3215,136487
99603,11,70,0,0
99603,23,63,0,0
99603,56,19,0,0
99603,61,5,0,0
99603,62,48,0,0
99604,00,8,81,2507
99605,71,3,0,0
99605,00,9,2,431
99606,72,3,0,0
99606,00,8,42,2879
99610,81,4,0,0
99610,72,3,0,0
99610,00,42,95,4842
99610,11,4,0,0
99610,23,16,0,0
99610,56,3,0,0
99611,51,6,0,0
99611,81,43,0,0
99611,52,16,0,0
99611,53,21,0,0
99611,54,38,0,0
99611,42,24,0,0
99611,72,45,0,0
99611,71,12,0,0
99611,00,415,4005,234237
99611,11,6,0,0
99611,21,11,0,0
99611,23,46,0,0
99611,56,19,0,0
99611,61,3,0,0
99611,62,44,0,0
99611,55,3,0,0
99612,72,3,0,0
99612,00,15,552,18725
99612,62,3,0,0
99613,72,16,0,0
99613,71,6,0,0
99613,00,45,142,12212
99613,23,3,0,0
99614,00,6,50,1264
99615,51,9,0,0
99615,81,39,0,0
99615,52,15,0,0
99615,53,15,0,0
99615,54,21,0,0
99615,42,19,0,0
99615,72,43,0,0
99615,71,19,0,0
99615,00,453,5399,187051
99615,11,87,0,0
99615,23,40,0,0
99615,56,12,0,0
99615,61,5,0,0
99615,62,39,0,0
99619,00,3,0,0
99620,00,5,35,698
99621,00,5,77,2642
99622,00,6,43,795
99623,81,6,0,0
99623,53,8,0,0
99623,54,7,0,0
99623,72,7,0,0
99623,00,130,522,22062
99623,11,4,0,0
99623,23,48,0,0
99623,56,12,0,0
99623,62,12,0,0
99624,00,8,62,4280
99627,00,10,49,1951
99628,00,3,0,0
99629,00,4,4,213
99630,00,5,51,571
99631,72,3,0,0
99631,00,7,21,2742
99632,00,5,36,856
99633,81,3,0,0
99633,42,4,0,0
99633,72,4,0,0
99633,00,41,204,36453
99633,62,3,0,0
99634,00,6,34,999
99635,81,5,0,0
99635,72,5,0,0
99635,00,36,445,58328
99635,23,4,0,0
99635,56,4,0,0
99636,00,3,0,0
99637,00,7,73,1946
99638,00,3,0,0
99639,72,11,0,0
99639,00,39,91,3928
99639,62,3,0,0
99640,00,3,0,0
99641,00,6,50,917
99643,00,6,7,444
99645,51,10,0,0
99645,81,65,0,0
99645,52,24,0,0
99645,53,17,0,0
99645,54,69,0,0
99645,42,10,0,0
99645,72,67,0,0
99645,71,16,0,0
99645,00,648,5345,292330
99645,56,33,0,0
99645,61,11,0,0
99645,11,3,0,0
99645,21,3,0,0
99645,23,127,0,0
99645,62,97,0,0
99649,00,3,0,0
99650,00,5,34,729
99652,81,7,0,0
99652,42,4,0,0
99652,72,6,0,0
99652,71,3,0,0
99652,00,67,309,15149
99652,23,18,0,0
99653,81,3,0,0
99653,72,3,0,0
99653,00,15,74,4023
99654,51,20,0,0
99654,81,96,0,0
99654,52,46,0,0
99654,53,52,0,0
99654,54,74,0,0
99654,42,28,0,0
99654,72,97,0,0
99654,71,21,0,0
99654,00,1122,10696,411246
99654,11,5,0,0
99654,23,211,0,0
99654,56,64,0,0
99654,61,13,0,0
99654,62,197,0,0
99655,00,6,51,983
99657,00,5,32,455
99658,00,16,115,3823
99659,00,3,33,700
99660,00,6,275,6307
99661,72,3,0,0
99661,00,21,449,17831
99661,11,3,0,0
99661,62,3,0,0
99662,00,5,30,1071
99663,72,3,0,0
99663,00,15,41,1926
99663,23,3,0,0
99664,81,17,0,0
99664,52,5,0,0
99664,53,4,0,0
99664,54,8,0,0
99664,42,3,0,0
99664,72,55,0,0
99664,71,10,0,0
99664,00,212,1381,64861
99664,11,11,0,0
99664,23,10,0,0
99664,56,9,0,0
99664,62,21,0,0
99667,72,7,0,0
99667,00,7,34,1931
99669,51,5,0,0
99669,81,68,0,0
99669,52,24,0,0
99669,53,25,0,0
99669,54,34,0,0
99669,42,15,0,0
99669,72,71,0,0
99669,71,16,0,0
99669,00,644,5263,241878
99669,11,7,0,0
99669,23,84,0,0
99669,56,18,0,0
99669,61,9,0,0
99669,62,126,0,0
99671,00,5,47,954
99672,81,4,0,0
99672,54,5,0,0
99672,72,6,0,0
99672,71,3,0,0
99672,00,66,197,10014
99672,11,3,0,0
99672,23,23,0,0
99672,56,4,0,0
99672,62,4,0,0
99674,81,3,0,0
99674,72,5,0,0
99674,71,5,0,0
99674,00,32,111,4566
99674,23,7,0,0
99676,81,3,0,0
99676,54,3,0,0
99676,72,27,0,0
99676,71,11,0,0
99676,00,100,470,23403
99676,23,12,0,0
99676,62,5,0,0
99678,00,10,54,2498
99679,00,4,46,3873
99680,00,7,50,1403
99681,00,4,22,459
99682,00,3,0,0
99683,72,5,0,0
99683,00,15,63,7032
99684,00,19,113,6058
99684,23,4,0,0
99685,00,30,633,23275
99685,62,8,0,0
99686,51,7,0,0
99686,81,9,0,0
99686,54,12,0,0
99686,42,6,0,0
99686,72,28,0,0
