Zipcode,NaicsCode,Establishments,Employees,Payroll
35004,81,24,0,0
35004,55,1,0,0
35004,56,11,0,0
35004,72,14,0,0
35004,22,1,0,0
35004,23,11,0,0
35004,00,185,2737,95598
35004,42,20,0,0
35004,52,16,0,0
35004,53,7,0,0
35004,62,13,0,0
35004,54,16,0,0
35004,51,3,0,0
35005,81,18,0,0
35005,56,3,0,0
35005,72,9,0,0
35005,22,1,0,0
35005,23,8,0,0
35005,00,78,682,18327
35005,42,2,0,0
35005,52,3,0,0
35005,71,1,0,0
35005,62,8,0,0
35005,54,1,0,0
35006,81,6,0,0
35006,56,1,0,0
35006,72,1,0,0
35006,21,2,0,0
35006,23,2,0,0
35006,00,18,0,0
35006,42,1,0,0
35007,81,54,0,0
35007,55,3,0,0
35007,56,34,0,0
35007,72,54,0,0
35007,61,5,0,0
35007,21,4,0,0
35007,22,2,0,0
35007,23,61,0,0
35007,99,1,0,0
35007,00,633,11101,403894
35007,42,54,0,0
35007,52,35,0,0
35007,71,13,0,0
35007,53,19,0,0
35007,62,91,0,0
35007,54,61,0,0
35007,51,5,0,0
35010,81,48,0,0
35010,55,2,0,0
35010,56,17,0,0
35010,72,37,0,0
35010,61,3,0,0
35010,11,4,0,0
35010,21,1,0,0
35010,22,1,0,0
35010,23,33,0,0
35010,00,443,6631,208174
35010,42,10,0,0
35010,52,38,0,0
35010,71,6,0,0
35010,53,25,0,0
35010,62,63,0,0
35010,54,29,0,0
35010,51,10,0,0
35011,81,8,0,0
35011,56,1,0,0
35011,61,1,0,0
35011,11,1,0,0
35011,22,1,0,0
35011,23,1,0,0
35011,00,22,751,31370
35011,52,1,0,0
35011,71,1,0,0
35011,62,2,0,0
35011,54,3,0,0
35013,55,1,0,0
35013,00,3,0,0
35013,54,1,0,0
35014,81,7,0,0
35014,56,2,0,0
35014,61,1,0,0
35014,11,1,0,0
35014,23,3,0,0
35014,00,20,88,1986
35014,71,2,0,0
35014,53,1,0,0
35014,51,1,0,0
35015,56,1,0,0
35015,72,1,0,0
35015,00,4,18,642
35015,62,1,0,0
35016,81,28,0,0
35016,56,2,0,0
35016,72,34,0,0
35016,61,1,0,0
35016,11,1,0,0
35016,22,1,0,0
35016,23,17,0,0
35016,99,2,0,0
35016,00,320,3302,104128
35016,42,13,0,0
35016,52,34,0,0
35016,71,2,0,0
35016,53,11,0,0
35016,62,28,0,0
35016,54,29,0,0
35016,51,5,0,0
35019,56,2,0,0
35019,72,1,0,0
35019,11,1,0,0
35019,23,3,0,0
35019,00,20,160,4585
35019,42,2,0,0
35019,52,1,0,0
35019,71,1,0,0
35019,62,3,0,0
35019,54,1,0,0
35020,81,73,0,0
35020,55,2,0,0
35020,56,8,0,0
35020,72,38,0,0
35020,61,2,0,0
35020,21,1,0,0
35020,23,29,0,0
35020,00,470,6080,235482
35020,42,25,0,0
35020,52,34,0,0
35020,71,5,0,0
35020,53,15,0,0
35020,62,38,0,0
35020,54,44,0,0
35020,51,5,0,0
35021,81,6,0,0
35021,72,3,0,0
35021,23,4,0,0
35021,00,23,327,16355
35021,42,3,0,0
35021,62,3,0,0
35021,54,1,0,0
35022,81,41,0,0
35022,55,1,0,0
35022,56,22,0,0
35022,72,45,0,0
35022,61,6,0,0
35022,21,3,0,0
35022,22,1,0,0
35022,23,39,0,0
35022,99,1,0,0
35022,00,442,9670,387075
35022,42,45,0,0
35022,52,16,0,0
35022,71,7,0,0
35022,53,17,0,0
35022,62,54,0,0
35022,54,32,0,0
35022,51,7,0,0
35023,81,71,0,0
35023,55,2,0,0
35023,56,14,0,0
35023,72,29,0,0
35023,61,3,0,0
35023,21,2,0,0
35023,22,4,0,0
35023,23,54,0,0
35023,00,377,4521,154325
35023,42,24,0,0
35023,52,26,0,0
35023,71,1,0,0
35023,53,7,0,0
35023,62,23,0,0
35023,54,19,0,0
35023,51,3,0,0
35031,81,11,0,0
35031,55,1,0,0
35031,56,1,0,0
35031,72,4,0,0
35031,11,1,0,0
35031,22,1,0,0
35031,23,11,0,0
35031,99,1,0,0
35031,00,64,1073,32077
35031,42,2,0,0
35031,52,3,0,0
35031,71,1,0,0
35031,62,3,0,0
35031,54,1,0,0
35031,51,1,0,0
35032,23,1,0,0
35032,00,2,0,0
35032,42,1,0,0
35033,81,2,0,0
35033,56,1,0,0
35033,72,2,0,0
35033,11,2,0,0
35033,23,8,0,0
35033,00,29,178,6555
35033,42,3,0,0
35033,71,1,0,0
35033,53,2,0,0
35033,62,1,0,0
35033,54,1,0,0
35034,81,9,0,0
35034,55,1,0,0
35034,56,2,0,0
35034,72,5,0,0
35034,11,3,0,0
35034,23,3,0,0
35034,00,58,1328,56288
35034,42,1,0,0
35034,52,4,0,0
35034,71,1,0,0
35034,53,3,0,0
35034,62,5,0,0
35034,54,2,0,0
35035,56,4,0,0
35035,72,1,0,0
35035,11,1,0,0
35035,21,1,0,0
35035,23,2,0,0
35035,00,26,224,11756
35035,42,3,0,0
35035,53,1,0,0
35035,62,1,0,0
35035,54,3,0,0
35036,81,1,0,0
35036,23,1,0,0
35036,00,2,0,0
35040,81,33,0,0
35040,55,3,0,0
35040,56,10,0,0
35040,72,25,0,0
35040,61,1,0,0
35040,11,4,0,0
35040,21,3,0,0
35040,22,15,0,0
35040,23,17,0,0
