Zipcode,NaicsCode,Establishments,Employees,Payroll
71601,23835,1,0,0
71601,23891,2,0,0
71601,23899,1,0,0
71601,48841,2,0,0
71601,51111,1,0,0
71601,62411,3,0,0
71601,62412,7,0,0
71601,62419,6,0,0
71601,62421,2,0,0
71601,62441,7,0,0
71601,31111,1,0,0
71601,48821,1,0,0
71601,48832,2,0,0
71601,49211,1,0,0
71601,49311,1,0,0
71601,62422,2,0,0
71601,62431,1,0,0
71601,44111,5,0,0
71601,44112,5,0,0
71601,44122,1,0,0
71601,44132,4,0,0
71601,44211,7,0,0
71601,53121,3,0,0
71601,53131,2,0,0
71601,53132,1,0,0
71601,81211,1,0,0
71601,81221,4,0,0
71601,44121,2,0,0
71601,44131,7,0,0
71601,53139,1,0,0
71601,53211,1,0,0
71601,53221,1,0,0
71601,81141,1,0,0
71601,11331,2,0,0
71601,11511,1,0,0
71601,22131,2,0,0
71601,45331,1,0,0
71601,45399,4,0,0
71601,45431,1,0,0
71601,45439,1,0,0
71601,62132,2,0,0
71601,62142,1,0,0
71601,22121,1,0,0
71601,45393,2,0,0
71601,45421,2,0,0
71601,62149,1,0,0
71601,44719,2,0,0
71601,44812,3,0,0
71601,44814,1,0,0
71601,44821,5,0,0
71601,45111,1,0,0
71601,61111,1,0,0
71601,42339,1,0,0
71601,42361,2,0,0
71601,42369,1,0,0
71601,42371,1,0,0
71601,42373,1,0,0
71601,42381,1,0,0
71601,44811,3,0,0
71601,44831,1,0,0
71601,61151,2,0,0
71601,61169,2,0,0
71601,33271,1,0,0
71601,55111,4,0,0
71601,56132,2,0,0
71601,81232,3,0,0
71601,81311,23,0,0
71601,32412,1,0,0
71601,32531,1,0,0
71601,32551,1,0,0
71601,81231,1,0,0
71601,44221,1,0,0
71601,44314,2,0,0
71601,44411,1,0,0
71601,44413,1,0,0
71601,44419,6,0,0
71601,52312,1,0,0
71601,81331,1,0,0
71601,81341,4,0,0
71601,44412,1,0,0
71601,52239,1,0,0
71601,52311,1,0,0
71601,52399,1,0,0
71601,52411,1,0,0
71601,81321,1,0,0
71601,81393,2,0,0
71601,44511,6,0,0
71601,44512,3,0,0
71601,44531,7,0,0
71601,52421,10,0,0
71601,53111,2,0,0
71601,53113,3,0,0
71601,62161,4,0,0
71601,62191,2,0,0
71601,44522,1,0,0
71601,44523,1,0,0
71601,52429,1,0,0
71601,44611,2,0,0
71601,44612,3,0,0
71601,44619,1,0,0
71601,44711,11,0,0
71601,48411,1,0,0
71601,48412,2,0,0
71601,71391,1,0,0
71601,44613,1,0,0
71601,71113,1,0,0
71601,71131,2,0,0
71601,71211,1,0,0
71601,71395,1,0,0
71601,32111,1,0,0
71601,32311,1,0,0
71601,31121,1,0,0
71601,31122,1,0,0
71601,31211,1,0,0
71601,32192,1,0,0
71601,32199,1,0,0
71601,32213,1,0,0
71601,54191,1,0,0
71601,54192,1,0,0
71601,54133,1,0,0
71601,54137,1,0,0
71601,72111,13,0,0
71601,72231,4,0,0
71601,42383,2,0,0
71601,42384,3,0,0
71601,42385,1,0,0
71601,42412,1,0,0
71601,42413,1,0,0
71601,54131,2,0,0
71601,23814,1,0,0
71601,51511,1,0,0
71601,51711,3,0,0
71601,51213,1,0,0
71601,42471,1,0,0
71601,42491,1,0,0
71601,56171,1,0,0
71601,42461,1,0,0
71601,42469,2,0,0
71601,42481,2,0,0
71601,42494,1,0,0
71601,42495,1,0,0
71601,42499,1,0,0
71601,56144,1,0,0
71601,56159,1,0,0
71601,56162,3,0,0
71601,23611,2,0,0
71601,23622,2,0,0
71601,45299,6,0,0
71601,56172,2,0,0
71601,56199,3,0,0
71601,45114,2,0,0
71601,45121,2,0,0
71601,45211,3,0,0
71601,45321,1,0,0
71601,54161,1,0,0
71601,81111,6,0,0
71601,81112,1,0,0
71601,81119,1,0,0
71601,33312,1,0,0
71601,33331,1,0,0
71601,33351,1,0,0
71601,33531,1,0,0
71601,54141,1,0,0
