Zipcode,NaicsCode,Establishments,Employees,Payroll
85001,72,2,0,0
85001,55,1,0,0
85001,56,2,0,0
85001,81,1,0,0
85001,00,32,585,43334
85001,42,9,0,0
85001,23,1,0,0
85001,62,2,0,0
85001,54,4,0,0
85001,52,1,0,0
85001,71,1,0,0
85002,56,1,0,0
85002,81,2,0,0
85002,00,7,154,12432
85002,42,2,0,0
85002,52,1,0,0
85003,72,39,0,0
85003,55,3,0,0
85003,56,27,0,0
85003,53,17,0,0
85003,81,54,0,0
85003,00,445,6751,384376
85003,42,7,0,0
85003,51,17,0,0
85003,23,11,0,0
85003,61,4,0,0
85003,62,60,0,0
85003,54,130,0,0
85003,52,24,0,0
85003,71,8,0,0
85004,72,134,0,0
85004,55,22,0,0
85004,56,68,0,0
85004,53,49,0,0
85004,81,123,0,0
85004,11,1,0,0
85004,22,4,0,0
85004,00,1164,34411,2476041
85004,42,56,0,0
85004,51,45,0,0
85004,23,13,0,0
85004,61,18,0,0
85004,62,116,0,0
85004,54,347,0,0
85004,52,72,0,0
85004,71,26,0,0
85005,55,1,0,0
85005,53,1,0,0
85005,81,1,0,0
85005,00,11,223,14429
85005,42,1,0,0
85005,54,3,0,0
85006,72,49,0,0
85006,55,1,0,0
85006,56,25,0,0
85006,53,8,0,0
85006,81,37,0,0
85006,99,1,0,0
85006,00,473,11102,632118
85006,42,5,0,0
85006,51,3,0,0
85006,23,15,0,0
85006,61,6,0,0
85006,62,149,0,0
85006,54,37,0,0
85006,52,19,0,0
85006,71,9,0,0
85007,72,37,0,0
85007,55,4,0,0
85007,56,15,0,0
85007,53,13,0,0
85007,81,38,0,0
85007,21,1,0,0
85007,99,1,0,0
85007,00,394,6523,276070
85007,42,57,0,0
85007,51,7,0,0
85007,23,34,0,0
85007,61,5,0,0
85007,62,32,0,0
85007,54,46,0,0
85007,52,8,0,0
85007,71,3,0,0
85008,72,83,0,0
85008,55,14,0,0
85008,56,40,0,0
85008,53,35,0,0
85008,81,53,0,0
85008,99,4,0,0
85008,00,693,22311,1258558
85008,42,46,0,0
85008,51,24,0,0
85008,23,36,0,0
85008,61,8,0,0
85008,62,74,0,0
85008,54,107,0,0
85008,52,44,0,0
85008,71,10,0,0
85009,72,52,0,0
85009,55,7,0,0
85009,56,60,0,0
85009,53,45,0,0
85009,81,103,0,0
85009,21,1,0,0
85009,22,1,0,0
