Zipcode,NaicsCode,Establishments,Employees,Payroll
90001,54,11,0,0
90001,23,29,0,0
90001,81,47,0,0
90001,52,17,0,0
90001,53,12,0,0
90001,00,601,6987,269367
90001,51,5,0,0
90001,56,22,0,0
90001,61,4,0,0
90001,71,3,0,0
90001,72,58,0,0
90001,62,25,0,0
90001,42,84,0,0
90002,54,3,0,0
90002,23,13,0,0
90002,81,17,0,0
90002,52,9,0,0
90002,53,4,0,0
90002,00,169,1687,60564
90002,56,5,0,0
90002,61,3,0,0
90002,72,13,0,0
90002,62,26,0,0
90002,42,25,0,0
90003,54,4,0,0
90003,23,18,0,0
90003,81,67,0,0
90003,52,16,0,0
90003,53,10,0,0
90003,00,431,6574,235731
90003,56,9,0,0
90003,61,11,0,0
90003,72,57,0,0
90003,62,32,0,0
90003,42,37,0,0
90004,54,127,0,0
90004,23,55,0,0
90004,81,85,0,0
90004,52,46,0,0
90004,53,113,0,0
90004,00,1158,8272,379046
90004,51,55,0,0
90004,56,34,0,0
90004,61,26,0,0
90004,71,148,0,0
90004,72,122,0,0
90004,62,142,0,0
90004,42,32,0,0
90004,55,3,0,0
90005,54,71,0,0
90005,23,33,0,0
90005,81,77,0,0
90005,52,24,0,0
90005,53,53,0,0
90005,99,3,0,0
90005,00,737,5880,202686
90005,51,25,0,0
90005,56,27,0,0
90005,61,19,0,0
90005,71,22,0,0
90005,72,155,0,0
90005,62,69,0,0
90005,42,43,0,0
90006,54,55,0,0
90006,23,58,0,0
90006,81,134,0,0
90006,52,55,0,0
90006,53,48,0,0
90006,99,3,0,0
90006,00,1143,8313,285153
90006,51,21,0,0
90006,56,43,0,0
90006,61,17,0,0
90006,71,10,0,0
90006,72,168,0,0
90006,62,178,0,0
90006,42,85,0,0
90007,54,35,0,0
90007,23,23,0,0
90007,81,107,0,0
90007,52,24,0,0
90007,53,45,0,0
90007,00,953,35170,1438109
90007,51,12,0,0
90007,56,24,0,0
90007,61,23,0,0
90007,71,7,0,0
90007,72,132,0,0
90007,62,61,0,0
90007,42,153,0,0
90007,55,10,0,0
90008,54,37,0,0
90008,23,9,0,0
90008,81,37,0,0
90008,52,13,0,0
90008,53,19,0,0
90008,00,353,3408,103674
90008,51,16,0,0
90008,56,14,0,0
