Zipcode,NaicsCode,Establishments,Employees,Payroll
80001,72,2,0,0
80001,56,1,0,0
80001,62,2,0,0
80001,54,1,0,0
80001,23,2,0,0
80001,00,27,253,7513
80001,22,1,0,0
80001,81,5,0,0
80001,52,5,0,0
80001,42,4,0,0
80002,72,75,0,0
80002,55,8,0,0
80002,56,50,0,0
80002,62,71,0,0
80002,54,111,0,0
80002,23,112,0,0
80002,00,866,10587,403770
80002,21,1,0,0
80002,22,2,0,0
80002,51,8,0,0
80002,61,6,0,0
80002,71,4,0,0
80002,81,84,0,0
80002,53,41,0,0
80002,99,1,0,0
80002,52,63,0,0
80002,42,60,0,0
80003,72,71,0,0
80003,56,48,0,0
80003,62,76,0,0
80003,54,75,0,0
80003,23,95,0,0
80003,00,699,7429,253618
80003,21,1,0,0
80003,22,3,0,0
80003,51,6,0,0
80003,61,8,0,0
80003,71,9,0,0
80003,81,68,0,0
80003,53,27,0,0
80003,52,45,0,0
80003,42,14,0,0
80004,72,37,0,0
80004,55,2,0,0
80004,56,45,0,0
80004,62,48,0,0
80004,54,84,0,0
80004,23,83,0,0
80004,00,555,4431,189887
80004,11,1,0,0
80004,21,1,0,0
80004,51,5,0,0
80004,61,12,0,0
80004,71,7,0,0
80004,81,64,0,0
80004,53,34,0,0
80004,99,3,0,0
80004,52,34,0,0
80004,42,20,0,0
80005,72,12,0,0
80005,56,25,0,0
80005,62,50,0,0
80005,54,97,0,0
80005,23,75,0,0
80005,00,445,1945,60472
80005,11,1,0,0
80005,21,2,0,0
80005,51,4,0,0
80005,61,10,0,0
80005,71,7,0,0
80005,81,36,0,0
80005,53,24,0,0
80005,52,30,0,0
80005,42,30,0,0
80006,62,2,0,0
80006,23,1,0,0
80006,00,9,0,0
80006,71,1,0,0
80006,81,3,0,0
80006,53,1,0,0
80007,72,15,0,0
80007,56,13,0,0
80007,62,19,0,0
80007,54,52,0,0
80007,23,35,0,0
80007,00,230,1763,83980
80007,21,2,0,0
80007,51,5,0,0
80007,61,2,0,0
80007,71,3,0,0
80007,81,14,0,0
80007,53,18,0,0
80007,99,1,0,0
80007,52,8,0,0
80007,42,14,0,0
80010,72,59,0,0
80010,56,24,0,0
80010,62,44,0,0
80010,54,25,0,0
80010,23,57,0,0
80010,00,471,4351,139580
80010,21,1,0,0
80010,51,5,0,0
80010,61,6,0,0
80010,71,4,0,0
80010,81,63,0,0
80010,53,33,0,0
80010,99,1,0,0
80010,52,27,0,0
80010,42,14,0,0
80011,72,83,0,0
80011,55,13,0,0
80011,56,53,0,0
80011,62,71,0,0
80011,54,96,0,0
80011,23,123,0,0
80011,00,1124,28396,1519821
80011,22,2,0,0
80011,51,12,0,0
80011,61,11,0,0
80011,71,2,0,0
80011,81,120,0,0
80011,53,54,0,0
80011,52,38,0,0
80011,42,149,0,0
80012,72,116,0,0
80012,55,8,0,0
80012,56,39,0,0
80012,62,177,0,0
80012,54,65,0,0
80012,23,47,0,0
80012,00,973,16192,566238
80012,21,1,0,0
80012,51,19,0,0
80012,61,13,0,0
80012,71,7,0,0
80012,81,83,0,0
80012,53,49,0,0
80012,52,50,0,0
80012,42,12,0,0
80013,72,54,0,0
80013,56,47,0,0
80013,62,50,0,0
80013,54,61,0,0
80013,23,110,0,0
80013,00,600,4202,94527
