Zipcode,NaicsCode,Establishments,Employees,Payroll
06001,238330,1,0,0
06001,238350,3,0,0
06001,238910,1,0,0
06001,238990,1,0,0
06001,488510,1,0,0
06001,624120,7,0,0
06001,624190,1,0,0
06001,624410,5,0,0
06001,238390,1,0,0
06001,511110,1,0,0
06001,442210,2,0,0
06001,442299,3,0,0
06001,443142,2,0,0
06001,444130,1,0,0
06001,444190,2,0,0
06001,531210,6,0,0
06001,531311,2,0,0
06001,531312,4,0,0
06001,532111,1,0,0
06001,812320,3,0,0
06001,812910,5,0,0
06001,812990,3,0,0
06001,813110,8,0,0
06001,442110,2,0,0
06001,442291,3,0,0
06001,443141,1,0,0
06001,444120,2,0,0
06001,531320,1,0,0
06001,531390,2,0,0
06001,541110,14,0,0
06001,722511,19,0,0
06001,722513,8,0,0
06001,722515,7,0,0
06001,237210,2,0,0
06001,237310,1,0,0
06001,238150,1,0,0
06001,238210,4,0,0
06001,238220,2,0,0
06001,524210,15,0,0
06001,531120,5,0,0
06001,811111,1,0,0
06001,811192,1,0,0
06001,238290,2,0,0
06001,524291,1,0,0
06001,524292,1,0,0
06001,531130,1,0,0
06001,811121,1,0,0
06001,311811,1,0,0
06001,323111,2,0,0
06001,541690,1,0,0
06001,541810,6,0,0
06001,541921,1,0,0
06001,813211,1,0,0
06001,813910,1,0,0
06001,813990,1,0,0
06001,541720,1,0,0
06001,541820,2,0,0
06001,541910,1,0,0
06001,541940,4,0,0
06001,813212,1,0,0
06001,424490,1,0,0
06001,551114,9,0,0
06001,561110,2,0,0
06001,561320,2,0,0
06001,811310,2,0,0
06001,812112,12,0,0
06001,812113,8,0,0
06001,812199,5,0,0
06001,812210,1,0,0
06001,424820,1,0,0
06001,551112,2,0,0
06001,561312,2,0,0
06001,811490,1,0,0
06001,812111,1,0,0
06001,236117,2,0,0
06001,236118,7,0,0
06001,236220,2,0,0
06001,453310,2,0,0
06001,453910,2,0,0
06001,453998,2,0,0
06001,454111,1,0,0
06001,711510,1,0,0
06001,713910,2,0,0
06001,713940,6,0,0
06001,453991,1,0,0
06001,451120,3,0,0
06001,452990,1,0,0
06001,453220,4,0,0
06001,561720,3,0,0
06001,561730,10,0,0
06001,561790,1,0,0
06001,213112,1,0,0
06001,221117,1,0,0
06001,221310,1,0,0
06001,451140,1,0,0
06001,452112,1,0,0
06001,453210,1,0,0
06001,445310,4,0,0
06001,446110,2,0,0
06001,446120,1,0,0
06001,446130,1,0,0
06001,447110,4,0,0
06001,523120,5,0,0
06001,523920,9,0,0
06001,523930,5,0,0
06001,524113,3,0,0
06001,524126,2,0,0
06001,621320,4,0,0
06001,621340,8,0,0
06001,621399,2,0,0
06001,621512,3,0,0
06001,523110,1,0,0
06001,621330,2,0,0
06001,621391,2,0,0
06001,621492,1,0,0
06001,561510,4,0,0
06001,561710,1,0,0
06001,334514,1,0,0
06001,561422,1,0,0
06001,561431,1,0,0
