Zipcode,NaicsCode,Establishments,Employees,Payroll
20001,445110,15,0,0
20001,445120,9,0,0
20001,445310,16,0,0
20001,446110,7,0,0
20001,446120,5,0,0
20001,447110,3,0,0
20001,448120,5,0,0
20001,448140,7,0,0
20001,448210,4,0,0
20001,238220,4,0,0
20001,621610,4,0,0
20001,623220,4,0,0
20001,624110,9,0,0
20001,624120,3,0,0
20001,624190,18,0,0
20001,624210,4,0,0
20001,624229,14,0,0
20001,624410,16,0,0
20001,711310,3,0,0
20001,711320,4,0,0
20001,711510,8,0,0
20001,712110,3,0,0
20001,713940,17,0,0
20001,812112,11,0,0
20001,812113,4,0,0
20001,812320,7,0,0
20001,812930,55,0,0
20001,812990,5,0,0
20001,813110,55,0,0
20001,813211,13,0,0
20001,813212,6,0,0
20001,813219,8,0,0
20001,813311,16,0,0
20001,813312,14,0,0
20001,813319,33,0,0
20001,451211,3,0,0
20001,453110,4,0,0
20001,453220,16,0,0
20001,453920,3,0,0
20001,453998,3,0,0
20001,454390,4,0,0
20001,488510,3,0,0
20001,511210,9,0,0
20001,512110,3,0,0
20001,515112,3,0,0
20001,515120,10,0,0
20001,515210,4,0,0
20001,518210,10,0,0
20001,519130,11,0,0
20001,423420,5,0,0
20001,423690,3,0,0
20001,443142,3,0,0
20001,531120,10,0,0
20001,531210,27,0,0
20001,531311,15,0,0
20001,531312,4,0,0
20001,531390,15,0,0
20001,532490,9,0,0
20001,541110,81,0,0
20001,541191,3,0,0
20001,541199,3,0,0
20001,541211,10,0,0
20001,541214,5,0,0
20001,561110,6,0,0
20001,561210,10,0,0
20001,561320,9,0,0
20001,561439,7,0,0
20001,561612,6,0,0
20001,561622,3,0,0
20001,561720,6,0,0
20001,561920,4,0,0
20001,561990,3,0,0
20001,611110,9,0,0
20001,611310,4,0,0
20001,813410,15,0,0
20001,813910,61,0,0
20001,813920,36,0,0
20001,813930,21,0,0
20001,813940,16,0,0
20001,813990,7,0,0
20001,541310,16,0,0
20001,541320,3,0,0
20001,541330,18,0,0
20001,541410,5,0,0
20001,541430,3,0,0
20001,541511,31,0,0
20001,541512,45,0,0
20001,541513,3,0,0
20001,541519,14,0,0
20001,541611,69,0,0
20001,541612,3,0,0
20001,541613,16,0,0
20001,541614,4,0,0
20001,541620,3,0,0
20001,541690,22,0,0
20001,541720,8,0,0
20001,541810,5,0,0
20001,541820,48,0,0
20001,541910,4,0,0
20001,541990,21,0,0
20001,551114,26,0,0
20001,522110,16,0,0
20001,522130,7,0,0
20001,523920,9,0,0
20001,524113,5,0,0
20001,524114,3,0,0
20001,524126,4,0,0
20001,524210,6,0,0
20001,524292,5,0,0
20001,531110,17,0,0
20001,721110,15,0,0
20001,721199,5,0,0
20001,722310,28,0,0
20001,722320,5,0,0
20001,722410,36,0,0
20001,722511,145,0,0
20001,722513,89,0,0
20001,722514,4,0,0
20001,722515,27,0,0
20001,611699,3,0,0
20001,611710,17,0,0
20001,621111,9,0,0
20001,621210,3,0,0
20001,621330,3,0,0
20001,621340,3,0,0
20001,621399,3,0,0
20001,221121,3,0,0
20001,221122,8,0,0
20001,236117,3,0,0
20001,236118,7,0,0
20001,236220,11,0,0
20002,445110,16,0,0
20002,445120,18,0,0
20002,445210,3,0,0
20002,445292,3,0,0
20002,445310,19,0,0
20002,446110,8,0,0
20002,446120,6,0,0
20002,447110,9,0,0
20002,448110,3,0,0
20002,448120,6,0,0
20002,448140,6,0,0
20002,448210,6,0,0
20002,448310,5,0,0
20002,451110,5,0,0
20002,238220,5,0,0
20002,238910,3,0,0
20002,311811,3,0,0
20002,621610,3,0,0
20002,623210,5,0,0
20002,623220,5,0,0
20002,624110,7,0,0
20002,624120,6,0,0
20002,624190,18,0,0
20002,624221,4,0,0
20002,624229,4,0,0
20002,624310,3,0,0
20002,624410,28,0,0
20002,711310,3,0,0
20002,711510,3,0,0
20002,713940,5,0,0
20002,812112,7,0,0
20002,812113,7,0,0
20002,812220,4,0,0
20002,812320,9,0,0
20002,812910,10,0,0
20002,812930,30,0,0
20002,813110,59,0,0
20002,813211,5,0,0
20002,813212,5,0,0
20002,813219,4,0,0
20002,813311,13,0,0
20002,813312,15,0,0
20002,813319,21,0,0
20002,453220,6,0,0
20002,485310,5,0,0
20002,485999,3,0,0
20002,492110,5,0,0
20002,511120,3,0,0
20002,511130,3,0,0
20002,512110,7,0,0
20002,515111,3,0,0
20002,515210,12,0,0
20002,518210,7,0,0
20002,519130,6,0,0
20002,519190,3,0,0
20002,423990,5,0,0
20002,424420,3,0,0
20002,424460,3,0,0
20002,424480,3,0,0
20002,424490,8,0,0
20002,424990,4,0,0
20002,425120,4,0,0
20002,441320,3,0,0
20002,442299,4,0,0
20002,444190,4,0,0
20002,531120,4,0,0
20002,531130,3,0,0
20002,531210,26,0,0
20002,531311,21,0,0
20002,531312,6,0,0
20002,531390,9,0,0
20002,532111,3,0,0
20002,532120,3,0,0
20002,541110,27,0,0
20002,541191,3,0,0
20002,541199,3,0,0
20002,541211,5,0,0
20002,541213,11,0,0
20002,561110,10,0,0
20002,561210,4,0,0
20002,561320,8,0,0
20002,561499,4,0,0
20002,561510,3,0,0
20002,561612,3,0,0
20002,561720,11,0,0
20002,561920,5,0,0
20002,561990,6,0,0
20002,611110,14,0,0
20002,611519,3,0,0
20002,813410,9,0,0
20002,813910,13,0,0
20002,813920,17,0,0
20002,813940,17,0,0
20002,541310,6,0,0
20002,541330,12,0,0
20002,541410,4,0,0
20002,541430,5,0,0
20002,541511,14,0,0
20002,541512,29,0,0
20002,541519,9,0,0
20002,541611,65,0,0
20002,541612,4,0,0
20002,541613,11,0,0
20002,541618,3,0,0
20002,541620,4,0,0
20002,541690,14,0,0
20002,541720,12,0,0
20002,541820,49,0,0
20002,541930,5,0,0
20002,541990,20,0,0
20002,551114,11,0,0
20002,522110,9,0,0
20002,522292,3,0,0
20002,524114,9,0,0
20002,524210,3,0,0
20002,531110,13,0,0
20002,721110,10,0,0
20002,722310,29,0,0
20002,722320,5,0,0
20002,722330,4,0,0
20002,722410,19,0,0
20002,722511,73,0,0
20002,722513,89,0,0
20002,722515,26,0,0
20002,811111,9,0,0
20002,611691,8,0,0
20002,611699,4,0,0
20002,611710,12,0,0
20002,621111,12,0,0
20002,621210,15,0,0
20002,621340,5,0,0
20002,621420,3,0,0
20002,621492,3,0,0
20002,621498,4,0,0
20002,236115,3,0,0
20002,236118,12,0,0
20002,236220,9,0,0
20003,445110,14,0,0
20003,531120,6,0,0
20003,531210,26,0,0
20003,531311,15,0,0
20003,531312,4,0,0
20003,531390,8,0,0
20003,541110,22,0,0
20003,541213,3,0,0
20003,541219,4,0,0
20003,561110,5,0,0
20003,561210,4,0,0
20003,561311,4,0,0
20003,561320,6,0,0
20003,561499,5,0,0
20003,561720,3,0,0
20003,561920,3,0,0
20003,561990,3,0,0
20003,611110,10,0,0
20003,611610,4,0,0
20003,813410,10,0,0
20003,813910,14,0,0
20003,813920,4,0,0
20003,813930,4,0,0
20003,813940,55,0,0
20003,813990,3,0,0
20003,541310,9,0,0
20003,541320,3,0,0
20003,541330,34,0,0
20003,541430,6,0,0
20003,541511,15,0,0
20003,541512,43,0,0
20003,541513,5,0,0
20003,541519,3,0,0
20003,541611,42,0,0
20003,541613,10,0,0
20003,541614,3,0,0
20003,541618,4,0,0
20003,541690,15,0,0
20003,541720,5,0,0
20003,541820,39,0,0
20003,541910,4,0,0
20003,541990,21,0,0
20003,551112,3,0,0
20003,551114,8,0,0
20003,522110,11,0,0
20003,522130,3,0,0
20003,523120,4,0,0
20003,523920,3,0,0
20003,524210,5,0,0
20003,531110,13,0,0
20003,721110,4,0,0
20003,722310,7,0,0
20003,722320,3,0,0
20003,722410,15,0,0
20003,722511,68,0,0
