Zipcode,NaicsCode,Establishments,Employees,Payroll
19701,42,23,0,0
19701,00,674,7614,244935
19701,53,33,0,0
19701,56,45,0,0
19701,61,16,0,0
19701,23,90,0,0
19701,71,16,0,0
19701,72,72,0,0
19701,51,11,0,0
19701,52,38,0,0
19701,81,68,0,0
19701,54,60,0,0
19701,62,70,0,0
19701,55,3,0,0
19702,42,39,0,0
19702,00,1130,20573,893132
19702,53,41,0,0
19702,56,52,0,0
19702,61,21,0,0
19702,22,6,0,0
19702,23,116,0,0
19702,71,10,0,0
19702,72,101,0,0
19702,51,24,0,0
19702,52,29,0,0
19702,81,79,0,0
19702,54,151,0,0
19702,62,129,0,0
19702,55,11,0,0
19703,42,19,0,0
19703,00,266,2493,118307
19703,53,12,0,0
19703,56,24,0,0
19703,61,4,0,0
19703,23,26,0,0
19703,72,26,0,0
19703,51,4,0,0
19703,52,17,0,0
19703,81,27,0,0
19703,54,15,0,0
19703,62,17,0,0
19706,42,4,0,0
19706,00,42,990,94163
19706,23,5,0,0
19706,72,5,0,0
19706,81,5,0,0
19706,54,3,0,0
19706,62,3,0,0
19707,42,12,0,0
19707,00,447,4580,144259
19707,53,20,0,0
19707,56,25,0,0
19707,61,17,0,0
19707,23,54,0,0
19707,71,12,0,0
19707,72,35,0,0
19707,52,32,0,0
19707,81,48,0,0
19707,54,83,0,0
19707,62,52,0,0
19708,00,4,9,198
19709,42,26,0,0
19709,00,783,11836,404593
19709,53,43,0,0
19709,56,41,0,0
19709,61,13,0,0
19709,11,4,0,0
19709,23,90,0,0
19709,71,21,0,0
19709,72,83,0,0
19709,51,18,0,0
19709,52,43,0,0
19709,81,82,0,0
19709,54,78,0,0
19709,62,93,0,0
19709,55,4,0,0
19710,00,21,273,13046
19710,53,4,0,0
19710,52,8,0,0
19711,42,50,0,0
19711,00,1211,20809,1005903
19711,54,181,0,0
19711,62,122,0,0
19711,53,71,0,0
19711,56,56,0,0
19711,61,23,0,0
19711,23,73,0,0
19711,71,27,0,0
19711,72,132,0,0
19711,51,12,0,0
19711,52,107,0,0
19711,81,111,0,0
19711,55,26,0,0
19713,42,53,0,0
19713,00,977,27272,1723150
19713,53,37,0,0
19713,23,73,0,0
19713,71,7,0,0
19713,72,95,0,0
19713,51,9,0,0
19713,52,98,0,0
19713,56,62,0,0
19713,61,6,0,0
19713,81,75,0,0
19713,54,99,0,0
19713,62,191,0,0
19713,55,10,0,0
19714,00,22,572,68986
19714,23,4,0,0
19714,81,5,0,0
19715,00,5,48,1505
19715,23,3,0,0
19716,00,18,780,49457
19716,72,5,0,0
19716,52,3,0,0
19716,81,3,0,0
19717,00,7,218,6199
19717,72,4,0,0
19718,00,8,0,0
19718,62,4,0,0
19720,42,147,0,0
19720,00,1420,29632,1566212
19720,53,56,0,0
19720,56,122,0,0
19720,61,17,0,0
19720,23,146,0,0
19720,71,14,0,0
19720,72,106,0,0
19720,51,37,0,0
19720,52,78,0,0
19720,81,125,0,0
19720,54,85,0,0
19720,62,81,0,0
19720,55,24,0,0
19730,00,24,203,5896
19730,23,3,0,0
19730,81,7,0,0
19730,54,4,0,0
19731,00,5,70,2234
19732,00,6,27,2528
19733,00,12,119,3096
19733,23,4,0,0
19734,42,7,0,0
19734,00,134,998,37304
19734,53,4,0,0
19734,56,19,0,0
19734,61,4,0,0
19734,23,31,0,0
19734,71,3,0,0
19734,72,4,0,0
19734,81,19,0,0
19734,54,9,0,0
19734,62,11,0,0
19736,00,15,261,5690
19736,56,3,0,0
19736,23,3,0,0
19736,54,4,0,0
19801,42,96,0,0
19801,00,2120,34562,3162194
19801,99,10,0,0
19801,53,125,0,0
19801,56,113,0,0
19801,61,23,0,0
19801,21,6,0,0
19801,54,469,0,0
19801,62,119,0,0
19801,22,5,0,0
19801,23,45,0,0
19801,71,36,0,0
19801,72,93,0,0
19801,51,81,0,0
19801,52,324,0,0
19801,81,145,0,0
19801,55,212,0,0
19802,42,18,0,0
19802,00,358,4780,202823
19802,53,18,0,0
19802,56,20,0,0
19802,61,6,0,0
19802,23,25,0,0
19802,71,5,0,0
19802,72,22,0,0
19802,51,9,0,0
19802,52,6,0,0
19802,81,46,0,0
19802,54,27,0,0
19802,62,63,0,0
19803,42,44,0,0
19803,00,1199,22361,1732893
19803,53,64,0,0
19803,56,63,0,0
19803,61,16,0,0
19803,23,40,0,0
19803,51,31,0,0
19803,71,20,0,0
19803,72,86,0,0
19803,52,151,0,0
19803,81,70,0,0
19803,54,144,0,0
19803,62,107,0,0
19803,55,151,0,0
19804,42,36,0,0
19804,23,110,0,0
19804,00,582,8649,397211
19804,53,30,0,0
19804,56,54,0,0
19804,61,3,0,0
19804,71,14,0,0
19804,72,25,0,0
19804,51,7,0,0
19804,52,16,0,0
19804,81,76,0,0
19804,54,56,0,0
19804,62,32,0,0
19805,53,38,0,0
19805,42,30,0,0
19805,00,744,8558,388005
19805,56,38,0,0
19805,61,12,0,0
19805,23,65,0,0
19805,71,4,0,0
19805,72,63,0,0
19805,51,9,0,0
19805,52,61,0,0
19805,81,85,0,0
19805,54,68,0,0
19805,62,102,0,0
19805,55,46,0,0
19806,42,12,0,0
19806,00,425,5620,264071
19806,53,20,0,0
19806,56,13,0,0
19806,61,6,0,0
19806,23,10,0,0
19806,71,8,0,0
19806,72,37,0,0
19806,51,10,0,0
19806,52,26,0,0
19806,81,51,0,0
19806,54,99,0,0
19806,62,88,0,0
19806,55,4,0,0
19807,42,15,0,0
19807,00,421,3436,189635
19807,53,26,0,0
19807,56,26,0,0
19807,61,8,0,0
19807,54,79,0,0
19807,62,22,0,0
19807,23,10,0,0
19807,71,13,0,0
19807,72,16,0,0
19807,51,3,0,0
19807,52,94,0,0
19807,81,30,0,0
19807,55,17,0,0
19808,42,65,0,0
19808,00,1412,19786,1142173
19808,53,70,0,0
19808,56,91,0,0
19808,61,17,0,0
19808,21,3,0,0
19808,23,110,0,0
19808,71,35,0,0
19808,72,98,0,0
19808,51,47,0,0
19808,52,131,0,0
19808,81,93,0,0
19808,54,209,0,0
19808,62,200,0,0
19808,55,24,0,0
19809,42,28,0,0
19809,00,491,7274,581059
19809,53,45,0,0
19809,56,37,0,0
19809,61,5,0,0
19809,22,6,0,0
19809,23,39,0,0
19809,72,31,0,0
19809,51,10,0,0
19809,52,84,0,0
19809,81,53,0,0
19809,54,59,0,0
19809,62,27,0,0
19809,55,25,0,0
19810,42,35,0,0
19810,00,736,7221,312098
19810,53,27,0,0
19810,56,34,0,0
19810,61,12,0,0
19810,23,49,0,0
19810,71,18,0,0
19810,72,66,0,0
19810,51,14,0,0
19810,52,63,0,0
19810,81,57,0,0
19810,54,114,0,0
19810,62,114,0,0
19810,55,42,0,0
19850,00,16,0,0
19850,72,3,0,0
19850,81,3,0,0
19880,00,3,0,0
19884,00,7,0,0
19884,52,5,0,0
19890,00,11,116,14177
19890,52,4,0,0
19890,55,3,0,0
19897,00,3,0,0
19898,00,11,22,1160
19898,55,6,0,0
19899,42,11,0,0
19899,00,143,977,78934
19899,53,5,0,0
19899,56,5,0,0
19899,72,3,0,0
19899,51,5,0,0
19899,52,27,0,0
19899,81,4,0,0
19899,54,23,0,0
19899,62,3,0,0
19899,55,45,0,0
19901,42,46,0,0
19901,00,1317,22266,898985
19901,99,3,0,0
19901,53,88,0,0
19901,56,64,0,0
19901,61,14,0,0
19901,21,3,0,0
19901,22,4,0,0
19901,54,169,0,0
19901,62,105,0,0
19901,23,65,0,0
19901,71,23,0,0
19901,72,144,0,0
19901,51,69,0,0
19901,52,99,0,0
19901,81,114,0,0
19901,55,11,0,0
19902,00,33,156,8405
19902,56,3,0,0
19902,72,3,0,0
19902,54,14,0,0
19903,00,20,172,6946
19903,52,3,0,0
19903,81,4,0,0
19904,42,31,0,0
19904,00,763,9699,436498
19904,53,21,0,0
19904,56,47,0,0
19904,61,13,0,0
19904,22,4,0,0
19904,23,35,0,0
19904,71,21,0,0
19904,72,36,0,0
19904,51,24,0,0
19904,52,44,0,0
19904,81,72,0,0
19904,54,94,0,0
19904,62,186,0,0
19904,55,4,0,0
19930,00,192,1304,50045
19930,53,32,0,0
19930,56,3,0,0
19930,71,6,0,0
19930,23,6,0,0
19930,72,53,0,0
19930,51,3,0,0
19930,52,7,0,0
19930,81,14,0,0
19930,54,13,0,0
19930,62,5,0,0
19931,00,5,7,145
19933,42,16,0,0
19933,00,151,1884,69992
19933,53,4,0,0
19933,56,10,0,0
19933,23,30,0,0
19933,72,9,0,0
19933,52,3,0,0
19933,81,14,0,0
19933,54,5,0,0
19933,62,8,0,0
19934,42,13,0,0
19934,00,300,4410,138894
19934,53,12,0,0
19934,56,13,0,0
19934,61,7,0,0
19934,23,35,0,0
19934,71,7,0,0
19934,72,62,0,0
19934,51,10,0,0
19934,52,12,0,0
19934,81,35,0,0
19934,54,23,0,0
19934,62,22,0,0
19936,00,10,115,4108
19938,42,3,0,0
19938,00,64,814,35104
19938,56,3,0,0
19938,23,17,0,0
19938,81,11,0,0
19938,54,5,0,0
19938,62,4,0,0
19939,42,3,0,0
19939,00,133,972,46657
19939,23,33,0,0
19939,72,4,0,0
19939,52,10,0,0
19939,53,5,0,0
19939,56,8,0,0
19939,61,4,0,0
19939,81,19,0,0
19939,54,11,0,0
19939,62,7,0,0
19940,42,14,0,0
19940,00,150,1267,50046
19940,53,9,0,0
19940,56,8,0,0
19940,23,19,0,0
19940,71,3,0,0
19940,72,7,0,0
19940,52,9,0,0
19940,81,18,0,0
19940,54,8,0,0
19940,62,3,0,0
19941,00,26,157,3492
19941,23,5,0,0
19941,81,5,0,0
19941,62,5,0,0
19943,00,113,725,24445
19943,42,6,0,0
19943,53,6,0,0
19943,56,13,0,0
19943,23,23,0,0
19943,72,3,0,0
19943,52,5,0,0
19943,81,14,0,0
19943,54,5,0,0
19943,62,6,0,0
19944,00,75,364,14512
19944,53,5,0,0
19944,72,24,0,0
19944,52,3,0,0
19944,81,6,0,0
19945,42,6,0,0
19945,00,134,804,28934
19945,53,5,0,0
19945,56,14,0,0
19945,23,46,0,0
19945,72,3,0,0
19945,81,16,0,0
19945,54,6,0,0
19945,62,12,0,0
19946,00,31,618,34716
19946,56,4,0,0
19946,23,4,0,0
19946,72,3,0,0
19946,62,3,0,0
19947,42,9,0,0
19947,00,440,8268,284897
19947,53,21,0,0
19947,56,33,0,0
19947,61,3,0,0
19947,23,53,0,0
19947,71,5,0,0
19947,72,25,0,0
19947,51,6,0,0
19947,52,25,0,0
19947,81,41,0,0
19947,54,47,0,0
19947,62,76,0,0
19950,42,7,0,0
19950,00,116,1316,55777
19950,56,8,0,0
19950,23,34,0,0
19950,72,8,0,0
19950,81,10,0,0
19950,54,3,0,0
19950,62,7,0,0
19951,42,3,0,0
19951,00,48,2501,70959
19951,56,7,0,0
19951,23,18,0,0
19951,81,5,0,0
19951,54,3,0,0
19951,62,3,0,0
19952,42,12,0,0
19952,00,183,2591,84543
19952,53,3,0,0
19952,56,6,0,0
19952,11,4,0,0
19952,23,38,0,0
19952,71,7,0,0
19952,72,15,0,0
19952,52,6,0,0
19952,81,19,0,0
19952,54,8,0,0
19952,62,11,0,0
19953,00,37,204,6467
19953,56,7,0,0
19953,23,15,0,0
19954,00,11,102,3348
19954,23,4,0,0
19955,00,6,0,0
19956,42,21,0,0
19956,23,54,0,0
19956,72,15,0,0
19956,51,3,0,0
19956,52,10,0,0
19956,00,278,2247,77300
19956,53,8,0,0
19956,56,16,0,0
19956,81,37,0,0
19956,54,11,0,0
19956,62,20,0,0
19958,42,25,0,0
19958,00,837,8597,411076
19958,53,45,0,0
19958,56,54,0,0
19958,61,6,0,0
19958,22,3,0,0
19958,23,62,0,0
19958,71,22,0,0
19958,72,75,0,0
19958,51,26,0,0
19958,52,42,0,0
19958,81,74,0,0
19958,54,141,0,0
19958,62,117,0,0
19958,55,3,0,0
19960,42,3,0,0
19960,00,55,235,8521
19960,56,6,0,0
19960,61,3,0,0
19960,23,19,0,0
19960,81,9,0,0
19960,62,6,0,0
19962,00,52,237,6479
19962,53,3,0,0
19962,56,6,0,0
19962,23,7,0,0
19962,72,6,0,0
19962,81,4,0,0
19962,54,3,0,0
19962,62,3,0,0
19963,42,20,0,0
19963,00,585,9864,375625
19963,53,26,0,0
19963,56,16,0,0
19963,61,7,0,0
19963,23,73,0,0
19963,71,5,0,0
19963,72,44,0,0
19963,51,15,0,0
19963,52,30,0,0
