Zipcode,NaicsCode,Establishments,Employees,Payroll
30002,72,6,0,0
30002,53,11,0,0
30002,62,9,0,0
30002,61,4,0,0
30002,71,3,0,0
30002,99,1,0,0
30002,00,127,914,38781
30002,56,6,0,0
30002,54,47,0,0
30002,81,9,0,0
30002,23,7,0,0
30002,51,2,0,0
30002,42,6,0,0
30002,52,2,0,0
30003,00,5,20,513
30003,54,1,0,0
30003,81,2,0,0
30003,23,1,0,0
30003,42,1,0,0
30004,72,162,0,0
30004,53,109,0,0
30004,62,126,0,0
30004,61,46,0,0
30004,11,6,0,0
30004,22,4,0,0
30004,71,36,0,0
30004,99,6,0,0
30004,00,2402,36119,2243799
30004,55,35,0,0
30004,56,175,0,0
30004,54,501,0,0
30004,81,175,0,0
30004,23,229,0,0
30004,51,86,0,0
30004,42,201,0,0
30004,52,170,0,0
30005,72,107,0,0
30005,53,94,0,0
30005,62,190,0,0
30005,61,37,0,0
30005,71,17,0,0
30005,99,1,0,0
30005,00,1741,38362,2862309
30005,55,32,0,0
30005,56,144,0,0
30005,54,453,0,0
30005,81,67,0,0
30005,23,66,0,0
30005,51,64,0,0
30005,42,173,0,0
30005,52,151,0,0
30006,53,1,0,0
30006,00,7,52,2214
30006,54,1,0,0
30006,23,1,0,0
30006,52,3,0,0
30007,72,1,0,0
30007,53,1,0,0
30007,62,1,0,0
30007,00,13,46,668
30007,54,3,0,0
30007,81,3,0,0
30007,23,1,0,0
30007,42,2,0,0
30008,72,27,0,0
30008,53,14,0,0
30008,62,25,0,0
30008,61,2,0,0
30008,71,1,0,0
30008,99,1,0,0
30008,00,238,2002,55313
30008,55,1,0,0
30008,56,18,0,0
30008,54,21,0,0
30008,81,32,0,0
30008,23,31,0,0
30008,51,2,0,0
30008,42,10,0,0
30008,52,8,0,0
30009,72,48,0,0
30009,53,36,0,0
30009,62,78,0,0
30009,61,19,0,0
30009,22,2,0,0
30009,71,12,0,0
30009,00,830,15216,1191706
30009,55,28,0,0
30009,56,76,0,0
30009,54,145,0,0
30009,81,60,0,0
30009,23,32,0,0
30009,51,45,0,0
30009,42,57,0,0
30009,52,87,0,0
30010,53,1,0,0
30010,00,9,0,0
30010,56,2,0,0
30010,54,2,0,0
30010,81,3,0,0
30010,23,1,0,0
30011,72,8,0,0
30011,53,8,0,0
30011,62,13,0,0
30011,61,4,0,0
30011,11,1,0,0
30011,21,1,0,0
30011,71,2,0,0
30011,00,165,1454,54603
30011,56,14,0,0
30011,54,16,0,0
30011,81,17,0,0
30011,23,29,0,0
30011,51,1,0,0
30011,42,13,0,0
30011,52,3,0,0
30012,72,47,0,0
30012,53,23,0,0
30012,62,90,0,0
30012,61,7,0,0
30012,22,3,0,0
30012,21,2,0,0
30012,71,3,0,0
30012,99,1,0,0
30012,00,658,9792,462712
30012,55,4,0,0
30012,56,37,0,0
30012,54,52,0,0
30012,81,70,0,0
30012,23,105,0,0
30012,51,10,0,0
30012,42,40,0,0
30012,52,26,0,0
30013,72,90,0,0
30013,53,34,0,0
30013,62,83,0,0
30013,61,11,0,0
30013,22,2,0,0
30013,21,2,0,0
30013,71,9,0,0
30013,00,776,16722,716722
30013,55,4,0,0
30013,56,29,0,0
30013,54,72,0,0
30013,81,80,0,0
30013,23,50,0,0
30013,51,13,0,0
30013,42,33,0,0
30013,52,66,0,0
30014,72,95,0,0
30014,53,45,0,0
30014,62,91,0,0
30014,61,6,0,0
30014,11,1,0,0
30014,21,2,0,0
30014,71,9,0,0
30014,99,1,0,0
30014,00,859,13266,514790
30014,55,5,0,0
30014,56,35,0,0
30014,54,67,0,0
30014,81,88,0,0
30014,23,66,0,0
30014,51,18,0,0
30014,42,49,0,0
30014,52,66,0,0
30015,62,2,0,0
30015,61,1,0,0
30015,00,22,180,7328
30015,55,2,0,0
30015,56,2,0,0
30015,54,3,0,0
30015,81,2,0,0
30015,23,3,0,0
30015,51,2,0,0
30015,42,2,0,0
30015,52,2,0,0
30016,72,20,0,0
30016,53,5,0,0
30016,62,26,0,0
30016,61,1,0,0
30016,11,1,0,0
30016,22,1,0,0
30016,71,5,0,0
30016,99,1,0,0
30016,00,294,2399,74456
30016,55,1,0,0
30016,56,23,0,0
30016,54,27,0,0
30016,81,29,0,0
30016,23,48,0,0
30016,51,2,0,0
30016,42,6,0,0
30016,52,7,0,0
30017,72,24,0,0
30017,53,11,0,0
30017,62,28,0,0
30017,61,3,0,0
30017,21,1,0,0
30017,71,5,0,0
30017,99,1,0,0
30017,00,345,2325,70881
30017,55,2,0,0
30017,56,41,0,0
30017,54,59,0,0
30017,81,32,0,0
30017,23,57,0,0
30017,51,4,0,0
30017,42,20,0,0
30017,52,17,0,0
30018,72,1,0,0
30018,53,1,0,0
30018,62,1,0,0
30018,00,9,57,1950
30018,81,1,0,0
30018,42,1,0,0
30018,52,2,0,0
30019,72,57,0,0
30019,53,38,0,0
30019,62,82,0,0
30019,61,12,0,0
30019,21,1,0,0
