Zipcode,NaicsCode,Establishments,Employees,Payroll
96701,621511,5,0,0
96701,621610,3,0,0
96701,621999,3,0,0
96701,624120,3,0,0
96701,624190,3,0,0
96701,624410,14,0,0
96701,713120,3,0,0
96701,713940,6,0,0
96701,713990,4,0,0
96701,522110,4,0,0
96701,522130,3,0,0
96701,522292,3,0,0
96701,523920,5,0,0
96701,524126,4,0,0
96701,524127,5,0,0
96701,524210,10,0,0
96701,531110,9,0,0
96701,531120,9,0,0
96701,531210,14,0,0
96701,531311,5,0,0
96701,531312,7,0,0
96701,532490,3,0,0
96701,541110,4,0,0
96701,541211,8,0,0
96701,541213,8,0,0
96701,445110,7,0,0
96701,445120,5,0,0
96701,445292,4,0,0
96701,446110,5,0,0
96701,446120,8,0,0
96701,446130,4,0,0
96701,446191,3,0,0
96701,448120,9,0,0
96701,448140,10,0,0
96701,448150,7,0,0
96701,448190,8,0,0
96701,448210,12,0,0
96701,448310,8,0,0
96701,451110,5,0,0
96701,238220,15,0,0
96701,238290,4,0,0
96701,238320,6,0,0
96701,238330,4,0,0
96701,238350,3,0,0
96701,323113,3,0,0
96701,423450,3,0,0
96701,423510,3,0,0
96701,423690,3,0,0
96701,423830,3,0,0
96701,424130,4,0,0
96701,424210,5,0,0
96701,424320,3,0,0
96701,424990,4,0,0
96701,425120,4,0,0
96701,441310,6,0,0
96701,441320,4,0,0
96701,442110,5,0,0
96701,443142,3,0,0
96701,722410,5,0,0
96701,722511,50,0,0
96701,722513,57,0,0
96701,722515,19,0,0
96701,611620,5,0,0
96701,611691,3,0,0
96701,621111,61,0,0
96701,621210,34,0,0
96701,621310,8,0,0
96701,621320,3,0,0
96701,621330,7,0,0
96701,621340,5,0,0
96701,621492,3,0,0
96701,813990,23,0,0
96701,561510,3,0,0
96701,561621,5,0,0
96701,561710,6,0,0
96701,561720,5,0,0
96701,561730,8,0,0
96701,561990,4,0,0
96701,611610,7,0,0
96701,811111,7,0,0
96701,811121,3,0,0
96701,811191,3,0,0
96701,811310,5,0,0
96701,812111,6,0,0
96701,812112,13,0,0
96701,812113,3,0,0
96701,812199,3,0,0
96701,813110,12,0,0
96701,812930,3,0,0
96701,453220,3,0,0
96701,453998,6,0,0
96701,454390,4,0,0
96701,484110,3,0,0
96701,236118,11,0,0
96701,236220,9,0,0
96701,237990,3,0,0
96701,238110,7,0,0
96701,238150,3,0,0
96701,238210,14,0,0
96701,541219,4,0,0
96701,541330,10,0,0
96701,541380,3,0,0
96701,541430,4,0,0
96701,541512,3,0,0
96701,541611,4,0,0
96701,541620,3,0,0
96701,551114,9,0,0
96703,812990,3,0,0
96704,447110,3,0,0
96704,238910,4,0,0
96704,722511,3,0,0
96704,813110,4,0,0
96704,236118,3,0,0
96705,722513,6,0,0
96705,561720,3,0,0
96705,487210,4,0,0
96706,624120,3,0,0
96706,624410,8,0,0
96706,711510,3,0,0
96706,713120,3,0,0
96706,522110,3,0,0
96706,522130,4,0,0
96706,524210,9,0,0
96706,531210,11,0,0
96706,531311,6,0,0
96706,541213,3,0,0
96706,541219,5,0,0
96706,445110,4,0,0
96706,446110,3,0,0
96706,447110,5,0,0
96706,238220,10,0,0
96706,238320,4,0,0
96706,238350,4,0,0
96706,722511,11,0,0
96706,722513,17,0,0
96706,722515,6,0,0
96706,621111,21,0,0
96706,621210,7,0,0
96706,621340,4,0,0
96706,813990,10,0,0
96706,561210,3,0,0
96706,561720,12,0,0
96706,561730,5,0,0
96706,811310,3,0,0
96706,812112,5,0,0
96706,813110,12,0,0
96706,454390,3,0,0
96706,236118,3,0,0
96706,238160,3,0,0
96706,238210,14,0,0
96706,541330,3,0,0
96706,541511,3,0,0
96706,541512,4,0,0
96706,551114,4,0,0
96707,624120,5,0,0
96707,624410,5,0,0
96707,711510,4,0,0
96707,713990,3,0,0
96707,522110,5,0,0
96707,522130,7,0,0
96707,522292,8,0,0
96707,524114,4,0,0
96707,524127,4,0,0
96707,524210,10,0,0
96707,531110,5,0,0
96707,531120,4,0,0
96707,531210,18,0,0
96707,531311,10,0,0
96707,531312,3,0,0
96707,531390,3,0,0
96707,532120,3,0,0
96707,532412,3,0,0
96707,532490,4,0,0
96707,541211,3,0,0
96707,541213,3,0,0
96707,541219,3,0,0
96707,445110,6,0,0
96707,446120,4,0,0
96707,446191,4,0,0
96707,447110,6,0,0
96707,448120,6,0,0
96707,448140,11,0,0
96707,448190,4,0,0
96707,448210,4,0,0
96707,448310,3,0,0
96707,238220,17,0,0
96707,238310,4,0,0
96707,238320,6,0,0
96707,238340,4,0,0
96707,238990,8,0,0
96707,327390,3,0,0
96707,339920,4,0,0
96707,423310,6,0,0
96707,423330,3,0,0
96707,423450,4,0,0
96707,423610,3,0,0
96707,423810,3,0,0
96707,423930,5,0,0
96707,424130,3,0,0
96707,424490,4,0,0
96707,424690,4,0,0
96707,424910,3,0,0
96707,425120,4,0,0
96707,441310,3,0,0
96707,442110,6,0,0
96707,442299,4,0,0
96707,443142,3,0,0
96707,721110,5,0,0
96707,722310,3,0,0
96707,722511,31,0,0
96707,722513,40,0,0
96707,722515,17,0,0
96707,611620,3,0,0
96707,611691,3,0,0
96707,621111,11,0,0
96707,621210,14,0,0
96707,621310,3,0,0
96707,621320,5,0,0
96707,621330,8,0,0
96707,621340,6,0,0
96707,621399,3,0,0
96707,621492,3,0,0
96707,813312,3,0,0
96707,813930,3,0,0
96707,813990,27,0,0
96707,561621,3,0,0
96707,561720,9,0,0
96707,561730,5,0,0
96707,561790,4,0,0
96707,562111,5,0,0
96707,562920,3,0,0
96707,562991,3,0,0
96707,811111,4,0,0
96707,811121,4,0,0
96707,811192,3,0,0
96707,811310,4,0,0
96707,812112,11,0,0
96707,812113,5,0,0
96707,812199,5,0,0
96707,812990,4,0,0
96707,813110,9,0,0
96707,453220,5,0,0
96707,454390,4,0,0
96707,484110,5,0,0
96707,484210,5,0,0
96707,484220,7,0,0
96707,487210,3,0,0
96707,488410,3,0,0
96707,488490,3,0,0
96707,493110,6,0,0
96707,493190,3,0,0
96707,512131,4,0,0
96707,221112,3,0,0
96707,236118,13,0,0
96707,236220,10,0,0
96707,237110,6,0,0
96707,237310,4,0,0
96707,238120,4,0,0
96707,238160,7,0,0
96707,238210,9,0,0
96707,541330,6,0,0
96707,541380,4,0,0
96707,541511,3,0,0
96707,541611,6,0,0
96707,551112,3,0,0
96707,551114,9,0,0
96708,711510,3,0,0
96708,541219,6,0,0
96708,445110,4,0,0
96708,238220,4,0,0
96708,238320,5,0,0
96708,238330,3,0,0
96708,238350,3,0,0
96708,238990,4,0,0
96708,337110,3,0,0
96708,339920,4,0,0
96708,423910,6,0,0
96708,722511,3,0,0
96708,722513,3,0,0
96708,813312,3,0,0
96708,561520,3,0,0
96708,561720,6,0,0
96708,561730,8,0,0
96708,813110,3,0,0
96708,236115,6,0,0
96708,236118,8,0,0
96708,238210,3,0,0
96708,541310,4,0,0
96708,541611,3,0,0
96712,711510,5,0,0
96712,722330,10,0,0
96712,722511,9,0,0
96712,713990,3,0,0
96712,531210,4,0,0
96712,531311,3,0,0
96712,445110,3,0,0
96712,447110,3,0,0
96712,448140,6,0,0
96712,448150,3,0,0
96712,448190,4,0,0
96712,448310,3,0,0
96712,451110,3,0,0
96712,238220,5,0,0
96712,722513,14,0,0
96712,722515,9,0,0
96712,611620,4,0,0
96712,621111,6,0,0
96712,621210,3,0,0
96712,561730,3,0,0
96712,813110,5,0,0
96712,453220,4,0,0
96712,453920,3,0,0
96712,454390,3,0,0
96712,487210,3,0,0
96712,512110,4,0,0
96712,236115,4,0,0
96712,236118,5,0,0
96712,238210,3,0,0
96713,624190,3,0,0
96714,624410,3,0,0
96714,531120,3,0,0
96714,531210,6,0,0
96714,448120,5,0,0
96714,448140,6,0,0
96714,722511,8,0,0
96714,722513,5,0,0
96714,722515,4,0,0
96714,611699,3,0,0
96714,453220,4,0,0
96714,487210,3,0,0
96714,236118,3,0,0
96716,722513,4,0,0
96716,621210,3,0,0
96716,453220,3,0,0
96717,238210,3,0,0
96717,722513,4,0,0
96719,453920,3,0,0
96720,621512,5,0,0
96720,621610,10,0,0
96720,621910,5,0,0
96720,623110,5,0,0
96720,623220,4,0,0
96720,624110,8,0,0
96720,624120,6,0,0
96720,624190,9,0,0
96720,624229,3,0,0
96720,624310,6,0,0
96720,624410,15,0,0
96720,522110,11,0,0
96720,522120,3,0,0
96720,522130,9,0,0
96720,522292,5,0,0
96720,522298,3,0,0
96720,522310,3,0,0
96720,522390,3,0,0
96720,523920,5,0,0
96720,524114,3,0,0
96720,524210,19,0,0
96720,531110,5,0,0
96720,531120,17,0,0
96720,531130,4,0,0
96720,531190,3,0,0
96720,531210,16,0,0
96720,531311,4,0,0
96720,531320,3,0,0
96720,532111,14,0,0
96720,541110,25,0,0
96720,541211,14,0,0
96720,541213,6,0,0
96720,541219,6,0,0
96720,445110,13,0,0
96720,445120,7,0,0
96720,446110,10,0,0
96720,446130,6,0,0
96720,446191,4,0,0
96720,446199,3,0,0
96720,447110,9,0,0
96720,447190,6,0,0
96720,448120,3,0,0
96720,448140,8,0,0
