Zipcode,NaicsCode,Establishments,Employees,Payroll
50001,81,1,0,0
50001,23,4,0,0
50001,00,9,23,793
50001,53,1,0,0
50001,71,1,0,0
50001,42,2,0,0
50002,81,3,0,0
50002,56,2,0,0
50002,54,4,0,0
50002,72,4,0,0
50002,22,1,0,0
50002,23,9,0,0
50002,11,2,0,0
50002,00,47,553,18972
50002,53,1,0,0
50002,51,1,0,0
50002,52,3,0,0
50002,62,2,0,0
50002,42,4,0,0
50003,81,26,0,0
50003,56,7,0,0
50003,54,32,0,0
50003,72,10,0,0
50003,22,1,0,0
50003,23,35,0,0
50003,11,3,0,0
50003,00,220,1520,50549
50003,53,8,0,0
50003,51,3,0,0
50003,71,6,0,0
50003,52,13,0,0
50003,62,25,0,0
50003,42,12,0,0
50003,61,1,0,0
50003,99,1,0,0
50005,00,6,0,0
50005,53,1,0,0
50005,52,1,0,0
50005,42,2,0,0
50006,81,7,0,0
50006,55,1,0,0
50006,56,2,0,0
50006,54,1,0,0
50006,72,1,0,0
50006,21,9,0,0
50006,23,9,0,0
50006,00,52,347,16387
50006,53,2,0,0
50006,52,3,0,0
50006,42,5,0,0
50007,81,1,0,0
50007,56,1,0,0
50007,54,1,0,0
50007,23,1,0,0
50007,00,6,0,794
50007,42,1,0,0
50008,56,1,0,0
50008,23,2,0,0
50008,00,12,0,4161
50008,52,1,0,0
50009,81,40,0,0
50009,55,2,0,0
50009,56,11,0,0
50009,54,28,0,0
50009,72,46,0,0
50009,21,1,0,0
50009,22,1,0,0
50009,23,39,0,0
50009,11,2,0,0
50009,00,354,7272,222672
50009,53,12,0,0
50009,51,2,0,0
50009,71,10,0,0
50009,52,25,0,0
50009,62,36,0,0
50009,42,20,0,0
50009,61,2,0,0
50009,99,1,0,0
50010,81,113,0,0
50010,55,9,0,0
50010,56,64,0,0
50010,54,124,0,0
50010,72,122,0,0
50010,21,2,0,0
50010,22,1,0,0
50010,23,71,0,0
50010,11,3,0,0
50010,00,1101,21924,909240
50010,53,59,0,0
50010,51,31,0,0
50010,71,20,0,0
50010,52,77,0,0
50010,62,113,0,0
50010,42,31,0,0
50010,61,13,0,0
50011,54,3,0,0
50011,72,2,0,0
50011,00,10,0,0
50011,51,1,0,0
50011,71,1,0,0
50011,61,2,0,0
50012,54,1,0,0
50012,00,2,0,0
50012,53,1,0,0
50014,81,41,0,0
50014,56,15,0,0
50014,54,27,0,0
50014,72,70,0,0
50014,23,36,0,0
50014,00,315,3593,87317
50014,53,29,0,0
50014,51,4,0,0
50014,71,6,0,0
50014,52,9,0,0
50014,62,22,0,0
50014,42,12,0,0
50014,61,8,0,0
50020,81,3,0,0
50020,54,3,0,0
50020,72,3,0,0
50020,23,6,0,0
50020,00,37,0,7221
50020,51,2,0,0
50020,71,1,0,0
50020,52,4,0,0
50020,62,4,0,0
50020,42,1,0,0
50020,61,1,0,0
50021,81,65,0,0
50021,55,10,0,0
50021,56,34,0,0
50021,54,55,0,0
50021,72,82,0,0
50021,23,78,0,0
50021,11,2,0,0
50021,00,707,16649,778670
50021,53,43,0,0
50021,51,9,0,0
50021,71,13,0,0
50021,52,39,0,0
50021,62,49,0,0
50021,42,57,0,0
50021,61,9,0,0
50021,99,1,0,0
50022,81,35,0,0
50022,55,2,0,0
50022,56,12,0,0
50022,54,19,0,0
50022,72,29,0,0
50022,21,1,0,0
50022,23,33,0,0
50022,11,2,0,0
50022,00,333,3942,127169
50022,53,13,0,0
50022,51,6,0,0
50022,71,5,0,0
50022,52,30,0,0
50022,62,41,0,0
50022,42,19,0,0
50022,61,2,0,0
50023,81,43,0,0
50023,55,1,0,0
50023,56,31,0,0
50023,54,52,0,0
50023,72,34,0,0
50023,21,1,0,0
50023,23,50,0,0
50023,11,1,0,0
50023,00,453,4232,139198
50023,53,28,0,0
50023,51,7,0,0
50023,71,7,0,0
50023,52,43,0,0
50023,62,55,0,0
50023,42,17,0,0
50023,61,12,0,0
50023,99,2,0,0
50025,81,18,0,0
50025,56,4,0,0
50025,54,10,0,0
50025,72,5,0,0
50025,22,1,0,0
50025,23,16,0,0
50025,11,3,0,0
50025,00,135,947,30248
50025,53,1,0,0
50025,51,1,0,0
50025,71,2,0,0
50025,52,12,0,0
50025,62,14,0,0
50025,42,10,0,0
50026,81,1,0,0
50026,54,1,0,0
50026,00,9,0,534
50026,52,1,0,0
50026,42,1,0,0
50027,81,1,0,0
50027,72,1,0,0
50027,23,2,0,0
50027,11,1,0,0
50027,00,7,22,849
50027,51,1,0,0
50028,81,4,0,0
50028,54,1,0,0
50028,23,3,0,0
50028,00,25,246,5032
50028,51,1,0,0
50028,52,5,0,0
50028,62,2,0,0
50028,42,1,0,0
50029,81,1,0,0
50029,23,1,0,0
50029,00,15,0,1899
50029,51,1,0,0
50029,52,1,0,0
50029,42,3,0,0
50031,00,2,0,0
50031,42,1,0,0
50032,23,1,0,0
50032,00,1,0,0
50033,72,1,0,0
50033,00,5,51,2071
50033,42,1,0,0
50034,81,3,0,0
50034,56,1,0,0
50034,22,2,0,0
50034,23,1,0,0
50034,00,13,0,4095
50034,52,2,0,0
50034,42,2,0,0
50035,81,9,0,0
50035,56,1,0,0
50035,54,2,0,0
50035,72,2,0,0
50035,23,34,0,0
50035,11,2,0,0
50035,00,93,433,14720
50035,53,8,0,0
50035,51,1,0,0
50035,71,1,0,0
50035,52,4,0,0
50035,62,6,0,0
50035,42,5,0,0
50036,81,53,0,0
50036,55,1,0,0
50036,56,13,0,0
50036,54,24,0,0
50036,72,33,0,0
50036,21,1,0,0
50036,22,2,0,0
50036,23,40,0,0
50036,11,1,0,0
50036,00,364,4917,171287
50036,53,12,0,0
50036,51,6,0,0
50036,71,12,0,0
50036,52,25,0,0
50036,62,40,0,0
50036,42,13,0,0
50036,61,2,0,0
50037,00,1,0,0
50038,72,1,0,0
50038,23,1,0,0
50038,00,4,130,5473
50038,42,1,0,0
50039,81,1,0,0
50039,56,1,0,0
50039,23,3,0,0
50039,00,6,0,435
50040,72,2,0,0
50040,00,4,0,0
50040,52,1,0,0
50040,42,1,0,0
50041,81,2,0,0
50041,23,2,0,0
50041,00,7,47,1838
50041,62,1,0,0
50041,42,1,0,0
50042,23,2,0,0
50042,00,4,8,326
50042,42,1,0,0
50043,00,2,0,0
50043,42,1,0,0
50044,81,2,0,0
50044,55,1,0,0
50044,54,1,0,0
50044,23,2,0,0
50044,00,17,90,3245
50044,51,1,0,0
50044,52,2,0,0
50044,62,1,0,0
50046,81,3,0,0
50046,54,2,0,0
50046,23,8,0,0
50046,11,2,0,0
50046,00,20,69,3226
50046,53,1,0,0
50046,52,1,0,0
50046,62,1,0,0
50046,42,1,0,0
50046,61,1,0,0
50047,81,11,0,0
50047,56,4,0,0
50047,54,8,0,0
50047,72,6,0,0
50047,23,23,0,0
50047,00,99,759,34162
50047,53,4,0,0
50047,51,1,0,0
50047,71,2,0,0
50047,52,9,0,0
50047,62,7,0,0
50047,42,5,0,0
50047,61,1,0,0
50048,81,1,0,0
50048,54,1,0,0
50048,23,2,0,0
50048,00,12,75,3561
50048,51,1,0,0
50048,52,2,0,0
50048,42,2,0,0
50049,81,19,0,0
50049,55,1,0,0
50049,56,5,0,0
50049,54,11,0,0
50049,72,14,0,0
50049,23,14,0,0
50049,00,148,2785,103200
50049,53,4,0,0
50049,51,3,0,0
50049,71,2,0,0
50049,52,12,0,0
50049,62,21,0,0
50049,42,5,0,0
50050,81,2,0,0
50050,72,1,0,0
50050,23,1,0,0
50050,00,9,67,1123
50050,52,1,0,0
50050,62,1,0,0
50050,42,1,0,0
50051,81,1,0,0
50051,00,1,0,0
50052,81,1,0,0
50052,23,1,0,0
50052,00,5,11,298
50054,81,9,0,0
50054,56,4,0,0
50054,54,3,0,0
50054,72,5,0,0
50054,21,1,0,0
50054,23,6,0,0
50054,00,60,383,9162
50054,53,1,0,0
50054,51,1,0,0
50054,71,2,0,0
50054,52,2,0,0
50054,62,6,0,0
50054,42,4,0,0
50055,81,1,0,0
50055,56,1,0,0
50055,72,2,0,0
50055,23,3,0,0
50055,00,13,24,1016
50055,52,3,0,0
50055,42,1,0,0
50056,81,4,0,0
50056,56,4,0,0
50056,72,4,0,0
50056,23,2,0,0
50056,00,25,93,1894
50056,51,1,0,0
50056,52,1,0,0
50056,62,2,0,0
50056,42,5,0,0
50057,81,1,0,0
50057,00,5,0,0
50057,42,1,0,0
50058,81,7,0,0
50058,56,2,0,0
50058,54,1,0,0
50058,72,3,0,0
50058,23,6,0,0
50058,11,1,0,0
50058,00,57,388,12005
50058,53,1,0,0
50058,51,2,0,0
50058,71,2,0,0
50058,52,7,0,0
