Zipcode,NaicsCode,Establishments,Employees,Payroll
83201,56,36,0,0
83201,55,5,0,0
83201,54,87,0,0
83201,72,102,0,0
83201,53,47,0,0
83201,11,1,0,0
83201,22,1,0,0
83201,23,79,0,0
83201,00,1063,14014,445070
83201,61,5,0,0
83201,52,89,0,0
83201,71,12,0,0
83201,81,86,0,0
83201,51,10,0,0
83201,62,243,0,0
83201,42,54,0,0
83202,56,17,0,0
83202,54,23,0,0
83202,72,37,0,0
83202,53,18,0,0
83202,11,1,0,0
83202,22,1,0,0
83202,23,67,0,0
83202,00,400,4910,120950
83202,61,5,0,0
83202,52,22,0,0
83202,71,7,0,0
83202,81,26,0,0
83202,51,6,0,0
83202,62,53,0,0
83202,42,13,0,0
83203,72,1,0,0
83203,00,6,0,0
83203,61,1,0,0
83203,71,1,0,0
83203,62,2,0,0
83204,56,17,0,0
83204,55,5,0,0
83204,54,46,0,0
83204,72,23,0,0
83204,53,24,0,0
83204,11,2,0,0
83204,21,1,0,0
83204,22,1,0,0
83204,23,48,0,0
83204,00,369,3913,131086
83204,61,4,0,0
83204,52,28,0,0
83204,71,7,0,0
83204,81,35,0,0
83204,51,6,0,0
83204,62,37,0,0
83204,42,19,0,0
83205,56,3,0,0
83205,54,1,0,0
83205,53,1,0,0
83205,23,1,0,0
83205,00,19,201,8344
83205,52,2,0,0
83205,81,2,0,0
83205,51,2,0,0
83205,62,3,0,0
83205,42,3,0,0
83206,54,3,0,0
83206,72,2,0,0
83206,00,18,111,4084
83206,52,5,0,0
83206,81,2,0,0
83206,62,1,0,0
83206,42,3,0,0
83209,72,1,0,0
83209,00,6,69,923
83209,71,1,0,0
83209,81,2,0,0
83209,62,1,0,0
83210,56,1,0,0
83210,72,1,0,0
83210,53,1,0,0
83210,11,3,0,0
83210,23,5,0,0
83210,00,56,706,25853
83210,52,3,0,0
83210,81,5,0,0
83210,51,1,0,0
83210,62,5,0,0
83210,99,1,0,0
83210,42,9,0,0
83211,56,3,0,0
83211,54,4,0,0
83211,72,12,0,0
83211,53,3,0,0
83211,11,3,0,0
83211,22,2,0,0
83211,23,13,0,0
83211,00,121,1669,55381
83211,52,9,0,0
83211,71,2,0,0
83211,81,14,0,0
83211,51,1,0,0
83211,62,10,0,0
83211,42,12,0,0
83212,00,1,0,0
83213,56,2,0,0
83213,54,2,0,0
83213,72,8,0,0
83213,53,2,0,0
83213,23,1,0,0
83213,00,49,330,6874
83213,61,2,0,0
83213,52,4,0,0
83213,81,6,0,0
83213,51,2,0,0
83213,62,4,0,0
83213,42,3,0,0
83214,72,1,0,0
83214,23,1,0,0
83214,00,2,0,0
83217,54,1,0,0
83217,23,1,0,0
83217,00,9,0,1657
83217,71,1,0,0
83217,42,2,0,0
83220,23,1,0,0
83220,00,1,0,0
83221,56,24,0,0
83221,55,1,0,0
83221,54,34,0,0
83221,72,37,0,0
83221,53,15,0,0
83221,11,2,0,0
83221,22,2,0,0
83221,23,90,0,0
83221,00,565,7075,244846
83221,61,9,0,0
83221,52,43,0,0
83221,71,7,0,0
83221,81,40,0,0
83221,51,3,0,0
83221,62,80,0,0
83221,42,38,0,0
83223,23,2,0,0
83223,00,4,0,290
83223,62,1,0,0
83226,56,4,0,0
83226,54,5,0,0
83226,72,10,0,0
83226,53,5,0,0
83226,21,1,0,0
83226,22,1,0,0
83226,23,17,0,0
83226,00,89,488,11261
83226,52,4,0,0
83226,71,9,0,0
83226,81,5,0,0
83226,51,3,0,0
83226,62,7,0,0
83227,72,1,0,0
83227,00,2,0,0
83228,56,2,0,0
83228,23,1,0,0
83228,00,9,51,671
83228,81,2,0,0
83228,42,1,0,0
83232,56,1,0,0
83232,23,4,0,0
83232,00,8,0,414
83232,81,1,0,0
83232,62,1,0,0
83234,72,1,0,0
83234,22,2,0,0
83234,23,3,0,0
83234,00,16,108,2769
83234,52,1,0,0
83234,71,1,0,0
83234,62,4,0,0
83234,42,1,0,0
83235,00,1,0,0
83235,71,1,0,0
83236,56,1,0,0
83236,54,5,0,0
83236,72,3,0,0
83236,23,10,0,0
83236,00,38,403,10876
83236,52,2,0,0
83236,71,1,0,0
83236,81,5,0,0
83236,62,1,0,0
83236,42,1,0,0
83237,56,1,0,0
83237,54,1,0,0
83237,23,3,0,0
83237,00,16,0,3340
83237,71,1,0,0
83237,81,1,0,0
83237,42,1,0,0
83238,22,1,0,0
83238,00,2,0,0
83239,72,1,0,0
83239,00,4,5,115
83239,62,1,0,0
83241,56,2,0,0
83241,54,1,0,0
83241,72,3,0,0
83241,22,4,0,0
83241,23,9,0,0
83241,00,43,0,0
83241,52,1,0,0
83241,71,1,0,0
83241,81,5,0,0
83241,62,1,0,0
83241,42,3,0,0
83243,00,1,0,0
83244,00,2,0,0
83245,54,3,0,0
83245,23,15,0,0
83245,00,34,0,3619
83245,52,3,0,0
83245,71,1,0,0
83245,81,3,0,0
83245,62,2,0,0
83245,42,1,0,0
83246,56,2,0,0
83246,54,1,0,0
83246,72,14,0,0
83246,22,1,0,0
83246,23,5,0,0
83246,00,38,201,3555
83246,61,2,0,0
83246,52,1,0,0
83246,71,2,0,0
83246,81,1,0,0
83246,62,4,0,0
83250,54,1,0,0
83250,72,2,0,0
83250,23,3,0,0
83250,00,12,0,0
83250,42,1,0,0
83251,56,2,0,0
83251,54,2,0,0
83251,72,5,0,0
83251,53,1,0,0
83251,22,1,0,0
83251,23,5,0,0
83251,00,38,119,4788
83251,61,1,0,0
83251,52,2,0,0
83251,71,3,0,0
83251,81,2,0,0
83251,62,2,0,0
83251,99,1,0,0
83252,56,2,0,0
83252,54,3,0,0
83252,72,11,0,0
83252,53,4,0,0
83252,11,1,0,0
83252,21,1,0,0
83252,23,5,0,0
83252,00,85,686,18281
83252,52,6,0,0
83252,71,2,0,0
83252,81,2,0,0
83252,51,2,0,0
83252,62,10,0,0
83252,42,1,0,0
83253,72,1,0,0
83253,23,1,0,0
83253,00,3,7,152
83253,81,1,0,0
83254,56,2,0,0
83254,54,3,0,0
83254,72,14,0,0
83254,53,6,0,0
83254,11,1,0,0
83254,22,1,0,0
83254,23,8,0,0
83254,00,94,861,23565
83254,52,9,0,0
83254,71,4,0,0
83254,81,3,0,0
83254,51,2,0,0
83254,62,10,0,0
83254,42,5,0,0
83255,54,1,0,0
83255,53,1,0,0
83255,11,1,0,0
83255,22,1,0,0
83255,23,2,0,0
83255,00,9,30,274
83255,62,1,0,0
83256,54,1,0,0
83256,00,5,0,497
83256,42,1,0,0
83261,72,2,0,0
83261,23,2,0,0
83261,00,7,0,595
83262,56,2,0,0
83262,54,1,0,0
83262,23,3,0,0
83262,00,15,0,6467
83262,42,1,0,0
83263,56,1,0,0
83263,54,15,0,0
83263,72,16,0,0
83263,53,8,0,0
83263,11,2,0,0
83263,21,3,0,0
83263,22,5,0,0
83263,23,40,0,0
83263,00,231,1660,46543
83263,52,19,0,0
83263,71,4,0,0
83263,81,15,0,0
83263,51,4,0,0
83263,62,23,0,0
83263,42,9,0,0
83271,56,2,0,0
83271,54,2,0,0
83271,00,6,0,0
83271,52,1,0,0
83271,51,1,0,0
83272,22,1,0,0
83272,00,1,0,0
83274,56,2,0,0
83274,54,11,0,0
83274,72,6,0,0
83274,53,3,0,0
83274,22,1,0,0
83274,23,29,0,0
83274,00,129,1026,33339
83274,61,1,0,0
83274,52,6,0,0
83274,81,11,0,0
83274,51,2,0,0
