Zipcode,NaicsCode,Establishments,Employees,Payroll
60001,00,9,43,2970
60002,81,57,0,0
60002,00,550,4444,171292
60002,62,28,0,0
60002,71,15,0,0
60002,72,56,0,0
60002,51,10,0,0
60002,52,27,0,0
60002,11,3,0,0
60002,23,90,0,0
60002,42,32,0,0
60002,56,29,0,0
60002,61,6,0,0
60002,54,48,0,0
60002,53,28,0,0
60004,81,146,0,0
60004,00,1570,21230,1087028
60004,62,186,0,0
60004,71,30,0,0
60004,72,94,0,0
60004,51,22,0,0
60004,52,96,0,0
60004,23,154,0,0
60004,42,110,0,0
60004,56,84,0,0
60004,61,17,0,0
60004,54,303,0,0
60004,53,76,0,0
60004,55,12,0,0
60005,81,112,0,0
60005,00,1468,21907,1239007
60005,62,249,0,0
60005,71,17,0,0
60005,72,95,0,0
60005,51,34,0,0
60005,52,102,0,0
60005,23,160,0,0
60005,42,113,0,0
60005,56,56,0,0
60005,61,23,0,0
60005,54,210,0,0
60005,53,49,0,0
60005,55,10,0,0
60006,00,17,1105,32103
60006,62,3,0,0
60006,72,4,0,0
60006,23,3,0,0
60007,81,141,0,0
60007,00,2575,49256,2939105
60007,62,146,0,0
60007,71,18,0,0
60007,72,130,0,0
60007,51,33,0,0
60007,52,73,0,0
60007,23,260,0,0
60007,42,468,0,0
60007,56,104,0,0
60007,61,12,0,0
60007,54,167,0,0
60007,53,54,0,0
60007,55,22,0,0
60008,81,54,0,0
60008,00,991,23913,1909303
60008,62,67,0,0
60008,71,7,0,0
60008,72,73,0,0
60008,51,21,0,0
60008,52,94,0,0
60008,23,96,0,0
60008,42,96,0,0
60008,56,67,0,0
60008,61,16,0,0
60008,54,213,0,0
60008,53,34,0,0
60008,55,12,0,0
60009,00,10,169,8079
60009,54,3,0,0
60010,81,150,0,0
60010,00,2001,20327,1165626
60010,62,251,0,0
60010,71,35,0,0
60010,72,103,0,0
60010,51,37,0,0
60010,52,180,0,0
60010,11,5,0,0
60010,23,187,0,0
60010,42,131,0,0
60010,56,106,0,0
60010,61,22,0,0
60010,54,401,0,0
60010,53,105,0,0
60010,55,18,0,0
60011,00,15,125,4840
60011,56,3,0,0
60011,53,3,0,0
60012,81,23,0,0
60012,00,271,2603,147371
60012,62,42,0,0
60012,71,5,0,0
60012,72,12,0,0
60012,51,3,0,0
60012,52,12,0,0
60012,23,46,0,0
60012,42,20,0,0
60012,56,16,0,0
60012,61,3,0,0
60012,54,39,0,0
60012,53,10,0,0
60012,55,3,0,0
60013,81,55,0,0
60013,00,594,5719,286313
60013,62,37,0,0
60013,71,12,0,0
60013,72,41,0,0
60013,51,8,0,0
60013,52,33,0,0
60013,23,89,0,0
60013,42,44,0,0
60013,56,51,0,0
60013,61,8,0,0
60013,54,92,0,0
60013,53,20,0,0
60013,55,3,0,0
60014,81,149,0,0
60014,00,1634,19299,795865
60014,62,204,0,0
60014,71,30,0,0
60014,72,121,0,0
60014,51,19,0,0
60014,52,111,0,0
60014,23,156,0,0
60014,42,109,0,0
60014,56,90,0,0
60014,61,24,0,0
60014,54,211,0,0
60014,53,53,0,0
60014,55,15,0,0
60015,81,83,0,0
60015,00,1457,35981,3802311
60015,62,145,0,0
60015,71,28,0,0
60015,72,88,0,0
60015,51,40,0,0
60015,52,155,0,0
60015,23,74,0,0
60015,42,83,0,0
60015,56,101,0,0
60015,61,41,0,0
60015,54,311,0,0
60015,53,105,0,0
60015,55,49,0,0
60016,81,152,0,0
60016,00,1364,18170,771017
60016,62,179,0,0
60016,71,10,0,0
60016,72,90,0,0
60016,51,14,0,0
60016,52,57,0,0
60016,23,228,0,0
60016,42,63,0,0
60016,56,77,0,0
60016,61,22,0,0
60016,54,135,0,0
60016,53,43,0,0
60016,55,13,0,0
60017,00,14,178,15083
60018,81,119,0,0
60018,00,1702,50542,3418202
60018,62,92,0,0
60018,71,15,0,0
60018,72,170,0,0
60018,51,30,0,0
60018,52,129,0,0
60018,23,141,0,0
60018,42,116,0,0
60018,56,128,0,0
60018,61,16,0,0
60018,54,189,0,0
60018,53,95,0,0
60018,55,50,0,0
60020,81,29,0,0
60020,00,242,2318,77044
60020,62,9,0,0
60020,71,9,0,0
60020,72,38,0,0
60020,51,8,0,0
60020,52,16,0,0
60020,23,30,0,0
60020,42,4,0,0
60020,56,12,0,0
60020,54,18,0,0
60020,53,9,0,0
60021,81,14,0,0
60021,00,152,900,29947
60021,62,14,0,0
60021,71,4,0,0
60021,72,12,0,0
60021,52,9,0,0
60021,23,20,0,0
60021,42,6,0,0
60021,56,13,0,0
60021,54,28,0,0
60021,53,3,0,0
60022,81,27,0,0
60022,00,257,2197,95072
60022,62,21,0,0
60022,71,13,0,0
60022,72,17,0,0
60022,51,3,0,0
60022,52,22,0,0
60022,23,12,0,0
60022,42,4,0,0
60022,56,8,0,0
60022,61,10,0,0
60022,54,62,0,0
60022,53,28,0,0
60025,81,138,0,0
60025,00,1526,17186,1046689
60025,62,177,0,0
60025,71,26,0,0
60025,72,125,0,0
60025,51,16,0,0
60025,52,104,0,0
60025,23,211,0,0
60025,42,78,0,0
60025,56,80,0,0
60025,61,23,0,0
60025,54,235,0,0
60025,53,86,0,0
60025,55,10,0,0
60026,81,52,0,0
60026,00,531,9280,610747
60026,62,112,0,0
60026,71,10,0,0
60026,72,33,0,0
60026,51,9,0,0
60026,52,36,0,0
60026,23,35,0,0
60026,42,40,0,0
60026,56,28,0,0
60026,61,7,0,0
60026,54,75,0,0
60026,53,25,0,0
60026,55,6,0,0
60029,00,14,197,12020
60029,71,4,0,0
60029,54,3,0,0
60030,81,101,0,0
60030,00,867,7165,282795
60030,62,107,0,0
60030,71,19,0,0
60030,72,69,0,0
60030,51,14,0,0
60030,52,45,0,0
60030,23,103,0,0
60030,42,39,0,0
60030,56,66,0,0
60030,61,23,0,0
60030,54,112,0,0
60030,53,32,0,0
60030,55,4,0,0
60031,81,87,0,0
60031,00,1314,21136,739944
