Zipcode,NaicsCode,Establishments,Employees,Payroll
46001,54,8,0,0
46001,56,14,0,0
46001,52,17,0,0
46001,81,29,0,0
46001,00,175,1462,45841
46001,11,1,0,0
46001,62,9,0,0
46001,72,16,0,0
46001,71,5,0,0
46001,23,22,0,0
46001,42,4,0,0
46001,51,4,0,0
46001,61,4,0,0
46011,54,9,0,0
46011,55,2,0,0
46011,56,14,0,0
46011,52,6,0,0
46011,81,26,0,0
46011,00,201,4130,164698
46011,21,1,0,0
46011,62,47,0,0
46011,72,17,0,0
46011,71,3,0,0
46011,23,24,0,0
46011,42,5,0,0
46011,53,3,0,0
46011,51,3,0,0
46012,54,18,0,0
46012,55,1,0,0
46012,56,12,0,0
46012,52,31,0,0
46012,81,44,0,0
46012,00,309,4672,105449
46012,21,1,0,0
46012,62,38,0,0
46012,72,26,0,0
46012,71,9,0,0
46012,23,29,0,0
46012,42,9,0,0
46012,53,10,0,0
46012,51,1,0,0
46012,61,8,0,0
46013,54,22,0,0
46013,55,1,0,0
46013,56,20,0,0
46013,52,29,0,0
46013,81,55,0,0
46013,00,417,9885,258994
46013,62,36,0,0
46013,72,61,0,0
46013,71,10,0,0
46013,23,20,0,0
46013,42,19,0,0
46013,53,22,0,0
46013,51,6,0,0
46013,61,2,0,0
46014,55,1,0,0
46014,00,8,0,0
46014,21,1,0,0
46014,72,2,0,0
46015,54,2,0,0
46015,52,2,0,0
46015,81,2,0,0
46015,00,11,0,0
46015,21,1,0,0
46015,62,2,0,0
46015,71,1,0,0
46015,53,1,0,0
46016,54,68,0,0
46016,55,2,0,0
46016,56,13,0,0
46016,52,29,0,0
46016,81,70,0,0
46016,00,468,7262,213999
46016,22,2,0,0
46016,62,64,0,0
46016,72,44,0,0
46016,71,5,0,0
46016,23,16,0,0
46016,42,15,0,0
46016,53,20,0,0
46016,51,10,0,0
46016,61,7,0,0
46017,54,3,0,0
46017,56,4,0,0
46017,52,3,0,0
46017,81,18,0,0
46017,00,87,638,22600
46017,62,7,0,0
46017,72,7,0,0
46017,23,13,0,0
46017,42,6,0,0
46017,53,4,0,0
46017,51,1,0,0
46017,61,2,0,0
46018,81,3,0,0
46018,00,7,0,4995
46018,23,2,0,0
46030,54,4,0,0
46030,55,1,0,0
46030,56,9,0,0
46030,52,2,0,0
46030,81,10,0,0
46030,00,69,500,17142
46030,11,1,0,0
46030,62,5,0,0
46030,72,2,0,0
46030,23,14,0,0
46030,42,5,0,0
46030,53,2,0,0
46031,54,5,0,0
46031,56,2,0,0
46031,52,1,0,0
46031,81,5,0,0
46031,00,35,107,3466
46031,62,1,0,0
46031,72,2,0,0
46031,23,8,0,0
46031,42,6,0,0
46031,51,1,0,0
46032,54,339,0,0
46032,55,30,0,0
46032,56,125,0,0
46032,52,252,0,0
46032,81,180,0,0
46032,00,2246,37286,1975825
46032,22,3,0,0
46032,21,1,0,0
46032,62,302,0,0
46032,72,161,0,0
46032,71,50,0,0
46032,99,3,0,0
46032,23,102,0,0
46032,42,151,0,0
46032,53,133,0,0
46032,51,38,0,0
46032,61,49,0,0
46033,54,139,0,0
46033,55,2,0,0
46033,56,41,0,0
46033,52,33,0,0
46033,81,46,0,0
46033,00,562,4206,111131
46033,62,47,0,0
46033,72,33,0,0
46033,71,19,0,0
46033,99,1,0,0
46033,23,46,0,0
46033,42,43,0,0
46033,53,45,0,0
46033,51,10,0,0
46033,61,9,0,0
46034,54,11,0,0
46034,56,6,0,0
46034,52,8,0,0
46034,81,17,0,0
46034,00,136,817,23974
46034,11,3,0,0
46034,62,10,0,0
46034,72,11,0,0
46034,71,3,0,0
46034,23,18,0,0
46034,42,11,0,0
46034,53,8,0,0
46034,51,3,0,0
46034,61,1,0,0
46035,81,2,0,0
46035,00,9,44,1193
46035,72,1,0,0
46035,42,1,0,0
46035,53,1,0,0
46036,54,8,0,0
46036,56,5,0,0
46036,52,11,0,0
46036,81,30,0,0
46036,00,177,2516,86106
46036,22,2,0,0
46036,62,19,0,0
46036,72,23,0,0
46036,71,3,0,0
46036,99,1,0,0
46036,23,6,0,0
46036,42,4,0,0
46036,53,8,0,0
46036,51,1,0,0
46036,61,2,0,0
46037,54,132,0,0
46037,55,7,0,0
46037,56,44,0,0
46037,52,57,0,0
46037,81,42,0,0
46037,00,696,8121,311160
46037,62,84,0,0
46037,72,67,0,0
46037,71,11,0,0
46037,99,3,0,0
46037,23,44,0,0
46037,42,55,0,0
46037,53,35,0,0
46037,51,13,0,0
46037,61,16,0,0
46038,54,199,0,0
46038,55,9,0,0
46038,56,64,0,0
46038,52,105,0,0
46038,81,102,0,0
46038,00,1141,17058,671577
46038,11,1,0,0
46038,21,1,0,0
46038,22,1,0,0
46038,62,129,0,0
46038,72,112,0,0
46038,71,22,0,0
46038,99,2,0,0
46038,23,81,0,0
46038,42,62,0,0
46038,53,57,0,0
46038,51,16,0,0
46038,61,17,0,0
46039,54,1,0,0
46039,52,1,0,0
46039,81,1,0,0
46039,00,8,0,293
46039,11,2,0,0
46039,42,1,0,0
46040,54,22,0,0
46040,55,1,0,0
46040,56,7,0,0
46040,52,5,0,0
46040,81,16,0,0
46040,00,173,1013,37323
46040,21,2,0,0
46040,62,11,0,0
46040,72,11,0,0
46040,71,2,0,0
46040,23,36,0,0
46040,42,13,0,0
46040,53,11,0,0
46040,51,1,0,0
46040,61,1,0,0
46041,54,31,0,0
46041,55,1,0,0
46041,56,21,0,0
46041,52,25,0,0
46041,81,62,0,0
46041,00,445,8233,285063
46041,11,2,0,0
46041,62,36,0,0
46041,72,42,0,0
46041,71,5,0,0
46041,99,1,0,0
46041,23,43,0,0
46041,42,20,0,0
46041,53,11,0,0
46041,51,7,0,0
46041,61,6,0,0
46044,54,1,0,0
46044,52,1,0,0
46044,81,5,0,0
46044,00,25,119,3010
46044,62,2,0,0
46044,72,2,0,0
46044,23,4,0,0
46044,42,1,0,0
46044,53,2,0,0
46045,00,1,0,0
46047,81,1,0,0
46047,00,2,0,0
46048,81,1,0,0
46048,00,5,0,0
46048,72,1,0,0
46048,23,1,0,0
46049,00,5,0,812
46049,23,1,0,0
46049,42,2,0,0
46050,54,2,0,0
46050,52,1,0,0
46050,81,3,0,0
46050,00,24,74,2217
46050,11,1,0,0
46050,72,1,0,0
46050,71,1,0,0
46050,23,5,0,0
46050,42,3,0,0
46051,54,3,0,0
46051,56,1,0,0
46051,52,4,0,0
46051,81,9,0,0
46051,00,43,466,18561
46051,62,1,0,0
46051,72,3,0,0
46051,23,8,0,0
46051,42,3,0,0
46052,54,41,0,0
46052,56,30,0,0
46052,52,34,0,0
46052,81,60,0,0
46052,00,564,9083,338877
