Zipcode,NaicsCode,Establishments,Employees,Payroll
66002,323111,1,0,0
66002,541611,1,0,0
66002,541613,2,0,0
66002,812199,1,0,0
66002,812210,2,0,0
66002,323113,1,0,0
66002,325193,1,0,0
66002,327310,1,0,0
66002,327320,1,0,0
66002,331210,1,0,0
66002,331512,1,0,0
66002,332111,1,0,0
66002,332420,1,0,0
66002,812220,1,0,0
66002,445310,2,0,0
66002,446110,2,0,0
66002,447110,6,0,0
66002,486210,1,0,0
66002,488510,1,0,0
66002,511110,1,0,0
66002,621111,4,0,0
66002,621210,7,0,0
66002,488210,1,0,0
66002,493110,1,0,0
66002,238110,1,0,0
66002,238160,1,0,0
66002,453998,1,0,0
66002,454111,1,0,0
66002,621310,5,0,0
66002,621320,1,0,0
66002,621340,2,0,0
66002,621420,1,0,0
66002,454210,2,0,0
66002,621391,1,0,0
66002,423820,1,0,0
66002,541211,3,0,0
66002,541219,3,0,0
66002,722515,2,0,0
66002,811111,5,0,0
66002,811121,2,0,0
66002,423860,1,0,0
66002,423990,1,0,0
66002,424130,1,0,0
66002,551114,1,0,0
66002,561110,1,0,0
66002,813110,15,0,0
66002,813211,1,0,0
66002,813410,3,0,0
66002,813910,1,0,0
66002,311119,1,0,0
66002,311211,1,0,0
66002,314999,1,0,0
66002,316998,1,0,0
66002,551111,1,0,0
66002,561311,1,0,0
66002,561312,1,0,0
66002,813212,1,0,0
66002,813219,1,0,0
66002,813311,1,0,0
66002,813312,1,0,0
66002,442110,1,0,0
66002,443141,1,0,0
66002,443142,2,0,0
66002,444130,1,0,0
66002,444190,2,0,0
66002,524210,7,0,0
66002,531110,3,0,0
66002,624410,4,0,0
66002,712110,3,0,0
66002,713910,1,0,0
66002,442299,1,0,0
66002,711110,1,0,0
66002,425120,1,0,0
66002,441110,1,0,0
66002,441120,1,0,0
66002,441310,2,0,0
66002,441320,2,0,0
66002,522110,5,0,0
66002,522130,2,0,0
66002,812112,2,0,0
66002,522291,1,0,0
66002,811412,1,0,0
66002,221210,1,0,0
66002,484110,1,0,0
66002,484121,5,0,0
66002,484220,1,0,0
66002,484230,1,0,0
66002,722310,8,0,0
66002,722513,8,0,0
66002,212312,1,0,0
66002,212321,1,0,0
66002,221122,1,0,0
66002,484210,1,0,0
66002,485410,1,0,0
66002,722320,1,0,0
66002,722511,11,0,0
66002,424510,2,0,0
66002,517110,2,0,0
66002,424490,1,0,0
66002,424990,2,0,0
66002,515112,1,0,0
66002,518210,1,0,0
66002,238170,1,0,0
66002,238210,6,0,0
66002,238220,6,0,0
66002,561720,2,0,0
66002,561730,3,0,0
66002,452990,3,0,0
66002,453110,1,0,0
66002,611110,3,0,0
66002,611610,2,0,0
66002,337110,2,0,0
66002,423220,1,0,0
66002,451140,1,0,0
66002,451211,1,0,0
66002,452910,1,0,0
66002,453210,1,0,0
66002,611310,1,0,0
66002,238320,1,0,0
66002,238330,1,0,0
66002,238350,1,0,0
66002,238910,5,0,0
66002,238990,2,0,0
66002,561320,2,0,0
66002,561499,1,0,0
66002,561599,1,0,0
66002,333111,1,0,0
66002,541110,6,0,0
66002,713940,3,0,0
66002,721110,1,0,0
66002,332999,1,0,0
66002,336320,1,0,0
66002,532291,1,0,0
66002,541191,1,0,0
66002,713950,1,0,0
66002,721191,1,0,0
66002,445110,3,0,0
66002,531210,3,0,0
66002,531311,1,0,0
66002,623312,2,0,0
66002,624120,2,0,0
66002,624190,3,0,0
66002,624210,1,0,0
66002,445120,1,0,0
66002,531190,1,0,0
66002,624110,2,0,0
66002,624221,1,0,0
66002,624310,1,0,0
66002,236115,1,0,0
66002,236117,1,0,0
66002,236118,4,0,0
66002,236220,2,0,0
66002,448140,1,0,0
66002,448210,1,0,0
66002,541921,1,0,0
66002,541940,3,0,0
66002,813930,2,0,0
