Zipcode,NaicsCode,Establishments,Employees,Payroll
40003,54161,1,0,0
40003,33231,1,0,0
40003,23822,1,0,0
40003,52421,1,0,0
40003,81111,1,0,0
40003,81112,1,0,0
40003,81119,1,0,0
40003,31111,1,0,0
40003,54121,1,0,0
40003,81222,1,0,0
40003,81311,3,0,0
40003,21311,1,0,0
40003,22131,1,0,0
40003,44511,1,0,0
40003,44711,2,0,0
40003,42314,1,0,0
40003,52211,1,0,0
40003,56173,1,0,0
40004,32619,2,0,0
40004,32732,1,0,0
40004,33271,2,0,0
40004,54151,4,0,0
40004,54161,6,0,0
40004,62412,2,0,0
40004,62419,2,0,0
40004,62431,1,0,0
40004,62441,7,0,0
40004,32599,1,0,0
40004,32611,1,0,0
40004,32615,1,0,0
40004,32616,1,0,0
40004,32733,1,0,0
40004,32739,1,0,0
40004,33231,3,0,0
40004,62423,1,0,0
40004,23821,5,0,0
40004,23822,8,0,0
40004,23829,1,0,0
40004,23831,1,0,0
40004,23832,1,0,0
40004,52421,18,0,0
40004,53111,3,0,0
40004,53112,2,0,0
40004,53113,1,0,0
40004,62151,1,0,0
40004,62161,5,0,0
40004,62211,1,0,0
40004,62311,3,0,0
40004,62321,4,0,0
40004,62331,2,0,0
40004,32311,2,0,0
40004,54199,1,0,0
40004,55111,2,0,0
40004,56111,2,0,0
40004,81112,6,0,0
40004,81119,3,0,0
40004,31111,1,0,0
40004,31181,2,0,0
40004,31191,1,0,0
40004,31194,1,0,0
40004,31214,3,0,0
40004,32191,1,0,0
40004,32192,1,0,0
40004,32221,1,0,0
40004,81111,3,0,0
40004,23611,12,0,0
40004,23622,4,0,0
40004,23711,2,0,0
40004,45121,1,0,0
40004,45291,1,0,0
40004,45299,5,0,0
40004,45311,2,0,0
40004,45322,3,0,0
40004,61111,2,0,0
40004,61161,1,0,0
40004,61162,1,0,0
40004,23621,2,0,0
40004,45113,1,0,0
40004,45114,1,0,0
40004,61142,1,0,0
40004,54121,16,0,0
40004,54133,1,0,0
40004,81231,2,0,0
40004,81291,1,0,0
40004,81311,17,0,0
40004,33272,1,0,0
40004,33299,1,0,0
40004,33351,1,0,0
40004,33392,1,0,0
40004,33399,1,0,0
40004,33631,1,0,0
40004,33632,1,0,0
40004,33636,1,0,0
40004,33637,1,0,0
40004,33639,1,0,0
40004,33711,1,0,0
40004,81299,1,0,0
40004,22112,2,0,0
40004,48411,4,0,0
40004,48412,8,0,0
40004,48422,6,0,0
40004,48423,1,0,0
40004,71391,5,0,0
40004,71394,6,0,0
40004,21231,1,0,0
40004,22111,1,0,0
40004,22121,1,0,0
40004,48121,1,0,0
40004,71111,1,0,0
40004,71113,2,0,0
40004,71132,1,0,0
40004,71211,2,0,0
40004,71395,1,0,0
40004,44422,3,0,0
40004,44511,3,0,0
40004,56132,2,0,0
40004,56161,3,0,0
40004,56162,2,0,0
40004,56171,3,0,0
40004,81131,3,0,0
40004,81211,5,0,0
40004,81219,1,0,0
40004,81221,4,0,0
40004,44421,1,0,0
40004,44521,1,0,0
40004,44523,1,0,0
40004,44529,1,0,0
40004,56133,1,0,0
40004,56142,1,0,0
40004,56149,1,0,0
40004,42512,4,0,0
40004,44111,3,0,0
40004,44112,2,0,0
40004,44122,2,0,0
40004,44131,5,0,0
40004,44132,4,0,0
40004,52239,2,0,0
40004,52312,6,0,0
40004,81321,2,0,0
40004,81331,3,0,0
40004,81391,1,0,0
40004,81393,2,0,0
40004,52231,1,0,0
40004,52392,1,0,0
40004,52393,2,0,0
40004,52411,1,0,0
40004,52412,1,0,0
40004,81392,1,0,0
40004,42382,2,0,0
40004,42383,1,0,0
40004,54192,1,0,0
40004,54194,4,0,0
40004,42421,1,0,0
40004,54189,1,0,0
40004,42471,2,0,0
40004,42491,2,0,0
40004,53223,1,0,0
40004,54111,19,0,0
40004,72241,5,0,0
40004,72251,44,0,0
40004,42441,1,0,0
40004,42443,1,0,0
40004,42448,1,0,0
40004,42481,2,0,0
40004,53231,1,0,0
40004,53249,2,0,0
40004,44531,5,0,0
40004,44611,4,0,0
40004,44619,2,0,0
40004,44711,15,0,0
40004,51511,1,0,0
40004,51711,2,0,0
40004,51119,1,0,0
40004,51211,1,0,0
40004,51213,1,0,0
40004,51521,1,0,0
40004,51791,1,0,0
40004,51821,1,0,0
40004,23731,3,0,0
40004,23811,6,0,0
40004,23813,1,0,0
40004,53119,2,0,0
40004,53121,5,0,0
40004,53131,1,0,0
40004,53132,3,0,0
40004,53211,2,0,0
40004,23721,2,0,0
40004,23812,3,0,0
40004,53221,1,0,0
40004,23833,2,0,0
40004,23835,2,0,0
40004,23891,6,0,0
40004,23899,6,0,0
40004,45331,6,0,0
40004,45399,1,0,0
40004,45411,1,0,0
40004,45439,3,0,0
40004,62132,4,0,0
40004,62134,6,0,0
40004,62139,4,0,0
40004,62142,1,0,0
40004,62149,3,0,0
40004,23839,1,0,0
40004,62141,1,0,0
40004,42312,1,0,0
40004,48851,4,0,0
40004,49211,1,0,0
40004,49311,1,0,0
40004,51111,2,0,0
40004,72111,7,0,0
40004,48541,1,0,0
40004,48711,1,0,0
40004,48811,1,0,0
40004,48841,2,0,0
40004,49313,1,0,0
40004,72119,2,0,0
40004,72232,1,0,0
40004,44211,5,0,0
40004,44229,2,0,0
40004,44314,9,0,0
40004,44411,1,0,0
40004,44412,3,0,0
40004,44413,2,0,0
40004,44419,3,0,0
40004,52211,14,0,0
40004,52213,2,0,0
40004,52229,9,0,0
40004,62111,17,0,0
40004,62121,13,0,0
40004,62131,6,0,0
40004,44221,2,0,0
40004,42351,2,0,0
40004,42361,3,0,0
40004,42381,2,0,0
40004,44719,2,0,0
40004,44812,4,0,0
40004,44814,2,0,0
40004,44831,2,0,0
40004,45111,1,0,0
40004,56172,4,0,0
40004,56173,7,0,0
40004,56174,1,0,0
40004,56179,1,0,0
40004,56199,1,0,0
40004,42342,1,0,0
40004,42345,1,0,0
40004,42373,1,0,0
40004,44815,1,0,0
40004,44819,2,0,0
40004,44821,2,0,0
40004,56191,1,0,0
40004,56192,1,0,0
40006,52421,2,0,0
40006,62311,1,0,0
40006,62191,1,0,0
40006,81111,1,0,0
40006,23611,2,0,0
40006,45299,1,0,0
40006,56221,1,0,0
40006,54133,1,0,0
40006,81311,3,0,0
40006,33272,1,0,0
40006,54136,1,0,0
40006,48412,2,0,0
40006,71391,1,0,0
40006,22111,3,0,0
40006,81221,1,0,0
40006,44131,1,0,0
40006,54194,1,0,0
40006,54111,2,0,0
40006,72251,1,0,0
40006,44711,2,0,0
40006,23811,2,0,0
40006,23812,1,0,0
40006,23835,1,0,0
40006,23891,2,0,0
40006,51111,1,0,0
40006,48833,1,0,0
40006,44413,1,0,0
40006,44419,1,0,0
40006,52211,1,0,0
40006,52229,1,0,0
40006,56173,3,0,0
40007,23891,1,0,0
40007,62111,1,0,0
40008,33271,1,0,0
40008,54151,1,0,0
40008,62441,1,0,0
40008,23821,1,0,0
40008,23822,1,0,0
40008,23831,1,0,0
40008,32111,1,0,0
40008,31182,1,0,0
40008,23611,3,0,0
40008,23622,1,0,0
40008,45299,1,0,0
40008,81291,1,0,0
40008,81311,5,0,0
40008,44511,1,0,0
40008,81211,1,0,0
40008,56141,1,0,0
40008,44112,1,0,0
40008,44131,1,0,0
40008,44132,1,0,0
40008,52392,1,0,0
40008,52393,1,0,0
40008,52412,1,0,0
40008,42382,1,0,0
40008,72251,1,0,0
40008,44531,1,0,0
40008,44611,1,0,0
40008,44711,2,0,0
40008,23813,1,0,0
40008,23814,1,0,0
40008,23816,1,0,0
40008,53121,1,0,0
40008,45439,1,0,0
40008,44413,1,0,0
40008,52211,3,0,0
40008,62111,1,0,0
40008,62121,1,0,0
40008,56172,1,0,0
40009,23822,1,0,0
40009,23611,1,0,0
40009,81311,1,0,0
40009,72251,1,0,0
40009,23891,2,0,0
40010,32619,1,0,0
40010,33271,1,0,0
40010,54161,1,0,0
40010,62441,1,0,0
40010,32612,1,0,0
40010,32799,1,0,0
40010,33231,1,0,0
40010,23821,1,0,0
40010,23822,2,0,0
40010,32311,1,0,0
40010,81111,1,0,0
40010,31142,1,0,0
40010,32199,1,0,0
40010,23611,3,0,0
40010,23622,1,0,0
40010,23711,1,0,0
40010,33299,1,0,0
40010,33324,1,0,0
40010,33351,1,0,0
40010,54138,1,0,0
40010,48423,1,0,0
40010,56161,1,0,0
40010,44111,1,0,0
40010,81341,1,0,0
40010,54194,2,0,0
