Zipcode,NaicsCode,Establishments,Employees,Payroll
70001,72,93,0,0
70001,55,7,0,0
70001,56,93,0,0
70001,61,15,0,0
70001,81,102,0,0
70001,21,3,0,0
70001,22,7,0,0
70001,99,4,0,0
70001,00,1201,15183,670214
70001,71,11,0,0
70001,42,96,0,0
70001,23,116,0,0
70001,54,190,0,0
70001,53,68,0,0
70001,62,132,0,0
70001,51,20,0,0
70001,52,102,0,0
70002,72,134,0,0
70002,55,31,0,0
70002,56,100,0,0
70002,61,18,0,0
70002,81,94,0,0
70002,11,1,0,0
70002,21,8,0,0
70002,22,1,0,0
70002,00,1738,34981,1393151
70002,71,14,0,0
70002,42,67,0,0
70002,23,80,0,0
70002,54,327,0,0
70002,53,98,0,0
70002,62,188,0,0
70002,51,41,0,0
70002,52,198,0,0
70003,72,73,0,0
70003,55,3,0,0
70003,56,43,0,0
70003,61,13,0,0
70003,81,60,0,0
70003,11,1,0,0
70003,99,1,0,0
70003,00,614,8957,460470
70003,71,17,0,0
70003,42,29,0,0
70003,23,71,0,0
70003,54,56,0,0
70003,53,28,0,0
70003,62,49,0,0
70003,51,10,0,0
70003,52,43,0,0
70004,81,2,0,0
70004,00,13,77,2951
70004,42,3,0,0
70004,23,4,0,0
70004,54,2,0,0
70005,72,72,0,0
70005,55,1,0,0
70005,56,52,0,0
70005,61,8,0,0
70005,81,72,0,0
70005,21,2,0,0
70005,99,3,0,0
70005,00,821,8879,397442
70005,71,9,0,0
70005,42,25,0,0
70005,23,64,0,0
70005,54,126,0,0
70005,53,49,0,0
70005,62,96,0,0
70005,51,16,0,0
70005,52,103,0,0
70006,72,72,0,0
70006,55,5,0,0
70006,56,26,0,0
70006,61,7,0,0
70006,81,53,0,0
70006,99,2,0,0
70006,00,717,10132,376509
70006,71,5,0,0
70006,42,16,0,0
70006,23,39,0,0
70006,54,70,0,0
70006,53,31,0,0
70006,62,240,0,0
70006,51,8,0,0
70006,52,42,0,0
70009,99,1,0,0
70009,00,3,0,0
70009,23,1,0,0
70010,00,3,0,0
