Zipcode,NaicsCode,Establishments,Employees,Payroll
01001,32799,1,0,0
01001,33232,1,0,0
01001,33271,7,0,0
01001,54151,6,0,0
01001,54161,2,0,0
01001,54162,3,0,0
01001,81331,1,0,0
01001,81341,1,0,0
01001,81391,1,0,0
01001,32599,2,0,0
01001,32611,1,0,0
01001,33152,1,0,0
01001,33261,1,0,0
01001,44611,6,0,0
01001,44613,1,0,0
01001,44619,2,0,0
01001,44711,5,0,0
01001,44719,2,0,0
01001,54199,2,0,0
01001,55111,1,0,0
01001,56132,1,0,0
01001,33911,1,0,0
01001,33995,1,0,0
01001,42312,3,0,0
01001,62132,1,0,0
01001,62133,2,0,0
01001,62134,6,0,0
01001,62139,1,0,0
01001,33791,2,0,0
01001,33792,1,0,0
01001,48621,1,0,0
01001,44111,2,0,0
01001,44112,5,0,0
01001,44122,1,0,0
01001,48412,4,0,0
01001,48422,2,0,0
01001,62419,2,0,0
01001,62431,2,0,0
01001,62441,2,0,0
01001,48423,1,0,0
01001,42343,2,0,0
01001,42349,2,0,0
01001,42351,1,0,0
01001,42371,3,0,0
01001,42372,1,0,0
01001,52211,1,0,0
01001,52212,4,0,0
01001,52229,1,0,0
01001,81221,2,0,0
01001,81291,2,0,0
01001,81299,2,0,0
01001,81311,6,0,0
01001,42344,2,0,0
01001,42383,12,0,0
01001,42399,2,0,0
01001,42413,1,0,0
01001,44821,1,0,0
01001,44831,2,0,0
01001,45111,2,0,0
01001,53111,1,0,0
01001,53112,1,0,0
01001,53113,1,0,0
01001,81121,1,0,0
01001,81131,1,0,0
01001,81141,2,0,0
01001,81211,6,0,0
01001,81219,2,0,0
01001,42412,1,0,0
01001,54187,1,0,0
01001,54194,1,0,0
01001,81399,2,0,0
01001,22132,1,0,0
01001,54172,1,0,0
01001,54169,2,0,0
01001,31181,2,0,0
01001,32311,4,0,0
01001,53121,2,0,0
01001,53131,3,0,0
01001,53211,1,0,0
01001,53212,1,0,0
01001,72232,1,0,0
01001,72241,3,0,0
01001,72251,33,0,0
01001,31141,1,0,0
01001,31151,1,0,0
01001,31499,1,0,0
01001,32223,1,0,0
01001,23611,8,0,0
01001,23622,1,0,0
01001,45391,1,0,0
01001,45399,1,0,0
01001,45411,3,0,0
01001,45439,4,0,0
01001,62111,6,0,0
01001,62121,6,0,0
01001,62131,1,0,0
01001,48411,3,0,0
01001,23833,1,0,0
01001,23835,2,0,0
01001,23839,3,0,0
01001,23891,1,0,0
01001,23899,9,0,0
01001,45299,2,0,0
01001,45311,1,0,0
01001,61161,1,0,0
01001,61162,2,0,0
01001,61169,1,0,0
01001,56221,2,0,0
01001,56291,1,0,0
01001,23821,6,0,0
01001,23822,11,0,0
01001,23829,2,0,0
01001,23831,1,0,0
01001,23832,3,0,0
01001,56162,1,0,0
01001,56171,2,0,0
01001,56172,5,0,0
01001,23731,1,0,0
01001,23811,1,0,0
01001,23813,2,0,0
01001,23814,4,0,0
01001,23817,1,0,0
01001,56173,15,0,0
01001,56174,2,0,0
01001,56179,3,0,0
01001,56199,5,0,0
01001,56211,1,0,0
01001,23812,1,0,0
01001,56191,1,0,0
01001,44511,6,0,0
01001,44512,6,0,0
01001,44521,1,0,0
01001,44531,6,0,0
01001,51211,2,0,0
01001,51711,4,0,0
01001,71391,1,0,0
01001,71394,1,0,0
01001,71311,1,0,0
01001,71312,2,0,0
01001,44229,1,0,0
01001,44413,1,0,0
01001,44419,5,0,0
01001,44421,1,0,0
01001,53229,1,0,0
01001,54111,11,0,0
01001,54121,7,0,0
01001,71395,1,0,0
01001,72111,1,0,0
01001,53241,1,0,0
01001,33272,6,0,0
01001,33281,3,0,0
01001,33324,1,0,0
01001,33351,2,0,0
01001,52421,6,0,0
01001,81111,8,0,0
01001,81112,4,0,0
01001,33291,1,0,0
01001,33361,2,0,0
01001,33392,1,0,0
01001,33641,1,0,0
01001,81119,1,0,0
01001,42449,3,0,0
01001,42499,2,0,0
01001,42512,1,0,0
01001,54131,2,0,0
01001,54133,2,0,0
01001,54138,2,0,0
01001,62161,3,0,0
01001,62311,5,0,0
01001,62321,4,0,0
01001,62331,4,0,0
01001,42461,1,0,0
01001,42493,1,0,0
01001,54134,1,0,0
01002,54143,1,0,0
01002,54151,11,0,0
01002,54161,14,0,0
01002,54162,4,0,0
01002,81321,5,0,0
01002,81331,7,0,0
01002,81341,8,0,0
01002,81391,2,0,0
01002,81392,2,0,0
01002,81393,1,0,0
01002,32312,1,0,0
01002,32562,1,0,0
01002,32721,1,0,0
01002,44611,4,0,0
01002,44613,1,0,0
01002,44711,3,0,0
01002,44719,2,0,0
01002,54199,2,0,0
01002,55111,3,0,0
01002,56111,1,0,0
01002,56132,1,0,0
01002,33911,1,0,0
01002,48841,1,0,0
01002,62133,3,0,0
01002,62134,3,0,0
01002,62139,4,0,0
01002,62142,2,0,0
01002,44112,2,0,0
01002,44131,2,0,0
01002,48421,1,0,0
01002,48599,1,0,0
01002,62399,2,0,0
01002,62411,2,0,0
01002,62412,5,0,0
01002,62419,7,0,0
01002,62421,1,0,0
01002,62422,1,0,0
01002,62431,1,0,0
01002,62441,12,0,0
01002,42369,2,0,0
01002,52211,4,0,0
01002,52212,3,0,0
01002,52222,1,0,0
01002,81221,1,0,0
01002,81222,1,0,0
01002,81231,1,0,0
01002,81232,1,0,0
01002,81293,2,0,0
01002,81299,3,0,0
01002,81311,18,0,0
01002,42383,2,0,0
01002,44812,2,0,0
01002,45111,1,0,0
01002,45112,1,0,0
01002,52429,1,0,0
01002,53111,11,0,0
01002,53112,3,0,0
01002,81121,1,0,0
01002,81131,1,0,0
01002,81149,1,0,0
01002,81211,11,0,0
01002,81219,1,0,0
01002,42392,1,0,0
01002,42432,1,0,0
01002,54171,2,0,0
01002,54181,1,0,0
01002,54189,1,0,0
01002,54191,1,0,0
01002,54194,5,0,0
01002,81399,3,0,0
01002,21231,1,0,0
01002,54172,1,0,0
01002,54193,1,0,0
01002,54169,9,0,0
01002,31181,1,0,0
01002,32311,1,0,0
01002,53121,6,0,0
01002,53131,10,0,0
01002,53211,2,0,0
01002,72232,3,0,0
01002,72233,2,0,0
01002,72241,4,0,0
01002,72251,58,0,0
01002,31182,1,0,0
01002,31194,1,0,0
01002,32111,1,0,0
01002,23611,11,0,0
01002,23622,3,0,0
01002,45391,1,0,0
01002,45399,2,0,0
01002,45411,2,0,0
01002,45431,2,0,0
01002,61171,8,0,0
01002,62111,9,0,0
01002,62121,6,0,0
01002,62131,3,0,0
01002,23891,2,0,0
01002,45121,1,0,0
01002,45299,1,0,0
01002,45311,1,0,0
01002,45321,1,0,0
01002,45322,1,0,0
01002,45331,2,0,0
01002,61111,1,0,0
01002,61131,3,0,0
01002,61143,4,0,0
01002,61151,1,0,0
01002,61161,6,0,0
01002,61162,4,0,0
01002,61169,4,0,0
01002,45114,1,0,0
01002,23821,2,0,0
01002,23822,3,0,0
01002,23832,3,0,0
01002,56143,2,0,0
01002,56151,2,0,0
01002,56172,1,0,0
01002,56152,1,0,0
01002,23731,1,0,0
01002,23799,1,0,0
01002,56173,6,0,0
01002,44511,6,0,0
01002,44512,3,0,0
01002,44531,5,0,0
01002,51113,4,0,0
01002,51121,2,0,0
01002,51211,1,0,0
01002,51213,1,0,0
01002,51711,2,0,0
01002,51821,2,0,0
01002,51913,1,0,0
01002,71113,1,0,0
01002,71132,1,0,0
01002,71151,4,0,0
01002,71211,2,0,0
01002,71391,2,0,0
01002,71394,3,0,0
01002,51521,1,0,0
01002,44221,1,0,0
01002,44419,1,0,0
01002,44421,1,0,0
01002,44422,2,0,0
01002,54111,12,0,0
01002,54121,6,0,0
01002,71399,1,0,0
01002,72111,2,0,0
01002,72119,2,0,0
01002,72231,2,0,0
01002,53223,1,0,0
01002,72131,3,0,0
01002,33272,1,0,0
01002,33441,1,0,0
01002,33451,3,0,0
01002,52312,5,0,0
01002,52392,4,0,0
01002,52393,1,0,0
01002,52411,1,0,0
01002,52421,11,0,0
01002,81111,1,0,0
01002,81112,3,0,0
01002,33361,1,0,0
01002,52232,1,0,0
01002,81119,1,0,0
01002,42469,2,0,0
01002,54131,5,0,0
01002,54133,9,0,0
01002,54141,1,0,0
01002,62161,2,0,0
01002,62311,2,0,0
01002,62321,9,0,0
01002,62322,1,0,0
01002,62331,1,0,0
01003,54151,1,0,0
01003,81321,1,0,0
01003,81391,2,0,0
01003,81392,1,0,0
01003,81393,3,0,0
01003,56111,1,0,0
01003,49311,1,0,0
01003,51112,1,0,0
01003,62142,1,0,0
01003,42349,1,0,0
01003,52213,1,0,0
01003,42373,1,0,0
01003,62121,1,0,0
01003,45121,1,0,0
01003,56159,1,0,0
01003,51113,1,0,0
01003,51511,1,0,0
01003,62321,1,0,0
01004,81321,1,0,0
01004,56132,1,0,0
01004,62411,1,0,0
01004,62419,1,0,0
01004,81311,1,0,0
01004,72251,2,0,0
01004,62111,1,0,0
01004,61111,1,0,0
01004,23814,1,0,0
01004,56173,2,0,0
01004,51113,1,0,0
01004,51121,1,0,0
01005,33271,1,0,0
01005,54151,3,0,0
01005,54161,2,0,0
01005,81391,1,0,0
01005,32412,1,0,0
01005,44611,1,0,0
01005,44711,1,0,0
01005,48841,1,0,0
01005,62139,1,0,0
01005,62149,1,0,0
01005,48422,1,0,0
01005,48599,1,0,0
01005,62441,1,0,0
01005,48423,1,0,0
01005,52212,2,0,0
01005,81222,1,0,0
01005,81311,4,0,0
01005,42383,1,0,0
01005,45111,1,0,0
01005,53111,1,0,0
01005,53112,1,0,0
01005,81211,1,0,0
01005,54194,1,0,0
01005,11331,1,0,0
01005,11531,1,0,0
01005,22111,1,0,0
01005,54169,1,0,0
01005,53119,1,0,0
