Zipcode,NaicsCode,Establishments,Employees,Payroll
20588,56,1,0,0
20588,00,1,0,0
20601,81,75,0,0
20601,56,19,0,0
20601,62,61,0,0
20601,42,16,0,0
20601,99,1,0,0
20601,00,564,7588,266886
20601,23,47,0,0
20601,21,2,0,0
20601,53,26,0,0
20601,51,11,0,0
20601,61,9,0,0
20601,54,54,0,0
20601,72,69,0,0
20601,52,29,0,0
20601,71,5,0,0
20602,81,41,0,0
20602,55,3,0,0
20602,56,16,0,0
20602,62,112,0,0
20602,42,21,0,0
20602,00,435,5886,244082
20602,23,61,0,0
20602,53,9,0,0
20602,51,7,0,0
20602,61,10,0,0
20602,54,46,0,0
20602,72,21,0,0
20602,52,23,0,0
20602,71,3,0,0
20603,81,32,0,0
20603,55,1,0,0
20603,56,11,0,0
20603,62,48,0,0
20603,42,3,0,0
20603,00,432,6465,157423
20603,11,1,0,0
20603,23,22,0,0
20603,53,13,0,0
20603,51,7,0,0
20603,61,4,0,0
20603,54,38,0,0
20603,72,61,0,0
20603,52,17,0,0
20603,71,5,0,0
20604,81,5,0,0
20604,56,1,0,0
20604,62,3,0,0
20604,00,25,213,6183
20604,23,1,0,0
20604,53,1,0,0
20604,54,3,0,0
20604,72,2,0,0
20604,52,3,0,0
20606,81,1,0,0
20606,00,2,0,0
20606,72,1,0,0
20607,81,17,0,0
20607,56,9,0,0
20607,62,4,0,0
20607,42,7,0,0
20607,00,114,1094,41133
20607,23,15,0,0
20607,53,4,0,0
20607,51,3,0,0
20607,61,2,0,0
20607,54,16,0,0
20607,72,13,0,0
20607,52,4,0,0
20607,71,3,0,0
20608,81,2,0,0
20608,56,1,0,0
20608,42,1,0,0
20608,00,10,249,23722
20608,22,1,0,0
20608,51,1,0,0
20608,54,1,0,0
20609,81,2,0,0
20609,00,10,61,1495
20609,23,2,0,0
20610,00,1,0,0
20610,72,1,0,0
20611,81,1,0,0
20611,56,1,0,0
20611,62,1,0,0
20611,00,14,136,3695
20611,23,3,0,0
20611,54,2,0,0
20611,72,5,0,0
20612,81,1,0,0
20612,00,6,19,293
20612,11,1,0,0
20612,23,1,0,0
20612,72,2,0,0
20612,52,1,0,0
20613,81,22,0,0
20613,55,2,0,0
20613,56,14,0,0
20613,62,14,0,0
20613,42,7,0,0
20613,00,202,2849,92734
20613,23,31,0,0
20613,21,2,0,0
20613,53,9,0,0
20613,51,5,0,0
20613,54,20,0,0
20613,72,18,0,0
20613,52,4,0,0
20613,71,1,0,0
20615,81,2,0,0
20615,00,8,21,671
20615,23,4,0,0
20615,53,1,0,0
20615,72,1,0,0
20616,81,10,0,0
20616,56,2,0,0
20616,62,5,0,0
20616,00,71,635,17119
20616,23,11,0,0
20616,53,2,0,0
20616,61,2,0,0
20616,72,11,0,0
20616,52,4,0,0
20617,81,1,0,0
20617,56,2,0,0
20617,42,1,0,0
20617,00,12,108,4510
20617,23,4,0,0
20617,52,1,0,0
20618,81,2,0,0
20618,56,1,0,0
20618,62,1,0,0
20618,00,18,178,4481
20618,11,1,0,0
20618,23,8,0,0
20618,53,1,0,0
20618,54,1,0,0
20619,81,32,0,0
20619,55,1,0,0
20619,56,10,0,0
20619,62,31,0,0
20619,42,2,0,0
20619,00,306,6696,286112
20619,23,14,0,0
20619,53,13,0,0
20619,51,3,0,0
20619,61,7,0,0
20619,54,52,0,0
20619,72,49,0,0
20619,52,23,0,0
20619,71,5,0,0
20620,81,4,0,0
20620,62,2,0,0
20620,00,30,318,10244
20620,23,4,0,0
20620,53,2,0,0
20620,61,1,0,0
20620,54,2,0,0
20620,72,5,0,0
20620,52,1,0,0
20621,81,3,0,0
20621,00,15,81,1648
20621,23,8,0,0
20621,54,2,0,0
20622,81,17,0,0
20622,56,3,0,0
20622,62,20,0,0
20622,42,5,0,0
20622,00,142,2148,68121
20622,23,14,0,0
20622,53,3,0,0
20622,51,3,0,0
20622,61,1,0,0
20622,54,7,0,0
20622,72,22,0,0
20622,52,7,0,0
20622,71,1,0,0
20623,81,1,0,0
20623,56,3,0,0
20623,62,1,0,0
20623,42,3,0,0
20623,00,18,82,2599
20623,23,1,0,0
20623,54,5,0,0
20624,81,3,0,0
20624,42,2,0,0
20624,00,26,119,4639
20624,11,1,0,0
20624,23,8,0,0
20624,54,1,0,0
20624,72,1,0,0
20625,56,1,0,0
20625,00,8,71,1854
20625,54,1,0,0
20625,72,4,0,0
20626,81,1,0,0
20626,42,1,0,0
20626,00,6,25,769
20626,23,2,0,0
20626,54,1,0,0
20626,71,1,0,0
20627,81,1,0,0
20627,62,1,0,0
20627,00,2,0,0
20628,00,8,51,1575
20628,23,2,0,0
20629,81,2,0,0
20629,62,1,0,0
20629,00,18,163,5001
20629,23,3,0,0
20629,53,2,0,0
20629,54,2,0,0
20629,72,3,0,0
20629,71,1,0,0
20630,81,1,0,0
20630,00,7,29,945
20630,23,1,0,0
20630,54,2,0,0
20630,72,1,0,0
20630,71,1,0,0
20632,81,3,0,0
20632,56,2,0,0
20632,00,10,67,2400
20632,23,2,0,0
20634,81,5,0,0
20634,56,5,0,0
20634,62,4,0,0
20634,42,1,0,0
20634,00,46,346,17049
20634,23,11,0,0
20634,53,4,0,0
20634,51,1,0,0
20634,54,5,0,0
20634,72,1,0,0
20634,52,2,0,0
20635,00,1,0,0
20635,61,1,0,0
20636,81,15,0,0
20636,55,1,0,0
20636,56,8,0,0
20636,62,20,0,0
20636,42,4,0,0
20636,00,168,2436,119497
20636,23,25,0,0
20636,53,5,0,0
20636,51,3,0,0
20636,61,3,0,0
20636,54,27,0,0
20636,72,8,0,0
20636,52,4,0,0
20636,71,5,0,0
20637,81,11,0,0
20637,55,3,0,0
20637,56,8,0,0
20637,62,9,0,0
20637,42,4,0,0
20637,00,102,1142,74252
20637,22,3,0,0
20637,23,30,0,0
20637,53,3,0,0
20637,51,2,0,0
20637,54,10,0,0
20637,72,4,0,0
20637,52,3,0,0
20639,81,20,0,0
20639,55,3,0,0
20639,56,15,0,0
20639,62,21,0,0
20639,42,2,0,0
20639,00,235,1417,59865
20639,23,69,0,0
20639,53,14,0,0
20639,51,2,0,0
20639,61,4,0,0
20639,54,41,0,0
20639,72,5,0,0
20639,52,4,0,0
20639,71,6,0,0
20640,81,18,0,0
20640,56,7,0,0
20640,62,4,0,0
20640,42,1,0,0
20640,00,99,556,25033
20640,23,8,0,0
20640,53,6,0,0
20640,51,1,0,0
20640,61,2,0,0
20640,54,26,0,0
20640,72,8,0,0
20640,52,4,0,0
20643,00,1,0,0
20645,00,9,27,1504
20645,23,5,0,0
20645,53,1,0,0
20645,54,2,0,0
20645,71,1,0,0
20646,81,52,0,0
20646,55,6,0,0
20646,56,20,0,0
20646,62,62,0,0
20646,42,8,0,0
20646,00,489,7452,287915
20646,11,2,0,0
20646,23,68,0,0
20646,53,16,0,0
20646,51,10,0,0
20646,61,5,0,0
20646,54,74,0,0
20646,72,55,0,0
20646,52,28,0,0
20646,71,7,0,0
20650,81,30,0,0
20650,55,2,0,0
20650,56,8,0,0
20650,62,52,0,0
20650,42,5,0,0
20650,00,311,4630,194085
20650,11,2,0,0
20650,22,1,0,0
20650,23,41,0,0
20650,53,9,0,0
20650,51,6,0,0
20650,61,7,0,0
20650,54,46,0,0
20650,72,34,0,0
20650,52,13,0,0
20650,71,1,0,0
20653,81,35,0,0
20653,55,3,0,0
20653,56,11,0,0
20653,62,32,0,0
20653,42,7,0,0
20653,00,390,8864,598752
20653,23,14,0,0
20653,53,29,0,0
20653,51,9,0,0
20653,61,3,0,0
20653,54,103,0,0
20653,72,43,0,0
20653,52,15,0,0
20653,71,5,0,0
20656,00,5,28,869
20656,23,1,0,0
20657,81,19,0,0
20657,56,8,0,0
20657,62,13,0,0
20657,42,3,0,0
20657,99,1,0,0
20657,00,173,2626,191855
20657,22,5,0,0
20657,23,26,0,0
20657,53,7,0,0
20657,51,2,0,0
20657,61,3,0,0
20657,54,28,0,0
20657,72,19,0,0
20657,52,9,0,0
20657,71,2,0,0
20658,81,2,0,0
20658,00,12,60,1369
20658,23,2,0,0
20658,51,1,0,0
20658,72,1,0,0
20659,81,26,0,0
20659,56,22,0,0
20659,62,18,0,0
20659,42,11,0,0
20659,00,296,1976,69461
20659,11,1,0,0
20659,23,97,0,0
20659,21,1,0,0
20659,53,11,0,0
20659,51,4,0,0
20659,61,4,0,0
20659,54,16,0,0
20659,72,12,0,0
20659,52,6,0,0
20659,71,5,0,0
20660,81,1,0,0
20660,00,1,0,0
20661,00,2,0,0
20661,71,1,0,0
20662,81,4,0,0
20662,62,2,0,0
20662,42,2,0,0
20662,00,17,86,2190
20662,22,1,0,0
20662,23,5,0,0
20662,53,1,0,0
20662,72,1,0,0
20664,81,3,0,0
20664,56,3,0,0
20664,42,1,0,0
20664,00,39,435,39622
20664,22,1,0,0
20664,23,10,0,0
20664,51,2,0,0
20664,54,6,0,0
20664,72,4,0,0
20664,71,1,0,0
20667,56,1,0,0
20667,00,4,27,283
20667,23,1,0,0
20667,61,1,0,0
