Zipcode,NaicsCode,Establishments,Employees,Payroll
03901,53,5,0,0
03901,52,3,0,0
03901,54,5,0,0
03901,62,9,0,0
03901,23,25,0,0
03901,00,105,517,26301
03901,56,11,0,0
03901,72,6,0,0
03901,81,13,0,0
03901,42,3,0,0
03902,53,5,0,0
03902,54,10,0,0
03902,23,17,0,0
03902,00,66,507,24526
03902,56,5,0,0
03902,72,10,0,0
03902,81,4,0,0
03903,53,3,0,0
03903,52,7,0,0
03903,54,18,0,0
03903,62,15,0,0
03903,23,33,0,0
03903,00,153,988,58176
03903,56,15,0,0
03903,72,7,0,0
03903,81,11,0,0
03903,42,9,0,0
03904,53,17,0,0
03904,52,12,0,0
03904,54,24,0,0
03904,62,18,0,0
03904,23,26,0,0
03904,00,335,2972,109955
03904,56,12,0,0
03904,72,50,0,0
03904,81,24,0,0
03904,42,10,0,0
03904,71,10,0,0
03904,55,4,0,0
03905,54,4,0,0
03905,23,3,0,0
03905,00,26,75,5079
03905,72,3,0,0
03905,81,4,0,0
03906,54,7,0,0
03906,62,11,0,0
03906,23,25,0,0
03906,00,88,2211,194467
03906,56,9,0,0
03906,72,8,0,0
03906,81,7,0,0
03907,53,9,0,0
03907,52,4,0,0
03907,54,5,0,0
03907,23,7,0,0
03907,00,181,817,58243
03907,72,93,0,0
03907,81,11,0,0
03907,71,3,0,0
03908,53,6,0,0
03908,54,13,0,0
03908,62,10,0,0
03908,23,28,0,0
03908,22,3,0,0
03908,00,129,847,41021
03908,56,12,0,0
03908,61,4,0,0
03908,72,13,0,0
03908,81,10,0,0
03908,42,4,0,0
03908,71,8,0,0
03909,53,32,0,0
03909,51,5,0,0
03909,52,23,0,0
03909,54,32,0,0
03909,62,44,0,0
03909,23,49,0,0
03909,00,380,3969,221629
03909,56,29,0,0
03909,61,3,0,0
03909,72,43,0,0
03909,81,29,0,0
03909,42,15,0,0
03909,71,12,0,0
03910,00,36,129,11568
03910,72,21,0,0
03911,00,13,61,5102
03911,72,4,0,0
04001,54,9,0,0
04001,23,10,0,0
04001,00,43,182,5224
04001,56,4,0,0
04001,81,3,0,0
04002,53,6,0,0
04002,52,3,0,0
04002,54,8,0,0
04002,62,7,0,0
04002,23,50,0,0
04002,00,149,675,28199
04002,56,12,0,0
04002,72,7,0,0
04002,81,19,0,0
04002,42,4,0,0
04003,53,3,0,0
04003,11,3,0,0
04003,23,4,0,0
04003,00,24,70,4190
04003,72,7,0,0
04004,00,8,42,1692
04005,53,20,0,0
04005,51,9,0,0
04005,52,27,0,0
04005,54,47,0,0
04005,62,95,0,0
04005,23,102,0,0
04005,00,691,11496,562150
04005,56,45,0,0
04005,61,7,0,0
04005,72,75,0,0
04005,81,49,0,0
04005,42,27,0,0
04005,71,10,0,0
04005,55,4,0,0
04006,00,8,11,847
04008,53,3,0,0
04008,54,8,0,0
04008,23,19,0,0
04008,00,58,179,7835
04008,56,4,0,0
04008,81,7,0,0
04009,53,8,0,0
04009,51,7,0,0
04009,52,10,0,0
04009,54,13,0,0
04009,62,35,0,0
04009,23,38,0,0
04009,00,227,1859,86722
04009,56,10,0,0
04009,61,3,0,0
04009,72,32,0,0
04009,81,17,0,0
04009,42,5,0,0
04009,71,5,0,0
04010,23,4,0,0
04010,00,27,92,2983
04010,56,6,0,0
04010,72,6,0,0
04011,53,36,0,0
04011,51,19,0,0
04011,52,41,0,0
04011,54,111,0,0
04011,62,139,0,0
04011,11,6,0,0
04011,23,56,0,0
04011,22,4,0,0
04011,00,800,12481,629360
04011,56,42,0,0
04011,61,9,0,0
04011,72,86,0,0
04011,81,68,0,0
04011,42,18,0,0
04011,71,21,0,0
04011,55,3,0,0
04014,00,4,9,458
04015,53,7,0,0
04015,54,3,0,0
04015,62,10,0,0
04015,23,15,0,0
04015,00,76,544,28654
04015,56,7,0,0
04015,72,11,0,0
04015,81,7,0,0
04016,00,8,83,4619
04017,23,4,0,0
04017,00,25,68,3402
04017,71,3,0,0
04020,51,3,0,0
04020,54,3,0,0
04020,62,5,0,0
04020,23,8,0,0
04020,00,61,493,15793
04020,56,3,0,0
04020,72,9,0,0
04020,81,5,0,0
04021,53,7,0,0
04021,52,5,0,0
04021,54,41,0,0
04021,62,15,0,0
04021,23,28,0,0
04021,00,175,1638,125647
04021,56,18,0,0
04021,61,4,0,0
04021,72,8,0,0
04021,81,16,0,0
04021,42,6,0,0
04022,51,3,0,0
04022,23,6,0,0
04022,00,21,95,6139
04022,56,3,0,0
04022,72,3,0,0
04024,00,12,118,6738
04027,53,4,0,0
04027,54,3,0,0
04027,62,4,0,0
04027,23,22,0,0
04027,00,80,326,12616
04027,56,5,0,0
04027,72,5,0,0
04027,81,8,0,0
04027,42,4,0,0
04027,71,3,0,0
04029,62,3,0,0
04029,23,9,0,0
04029,00,33,106,4490
04029,72,5,0,0
04030,52,3,0,0
04030,62,5,0,0
04030,23,13,0,0
04030,00,44,500,16716
04030,56,3,0,0
04030,72,4,0,0
04030,81,3,0,0
04032,53,13,0,0
04032,51,10,0,0
04032,52,10,0,0
04032,54,45,0,0
