Zipcode,NaicsCode,Establishments,Employees,Payroll
48001,56,11,0,0
48001,71,6,0,0
48001,72,21,0,0
48001,62,13,0,0
48001,11,1,0,0
48001,21,1,0,0
48001,23,30,0,0
48001,81,17,0,0
48001,51,1,0,0
48001,52,10,0,0
48001,53,8,0,0
48001,61,2,0,0
48001,99,1,0,0
48001,00,188,1098,32063
48001,42,5,0,0
48001,54,12,0,0
48002,56,2,0,0
48002,72,2,0,0
48002,23,16,0,0
48002,81,4,0,0
48002,52,2,0,0
48002,00,42,140,4961
48002,42,1,0,0
48002,54,4,0,0
48003,56,9,0,0
48003,71,1,0,0
48003,72,16,0,0
48003,62,7,0,0
48003,23,24,0,0
48003,81,15,0,0
48003,51,1,0,0
48003,52,9,0,0
48003,53,1,0,0
48003,00,138,1018,35984
48003,42,7,0,0
48003,54,10,0,0
48004,62,1,0,0
48004,23,3,0,0
48004,81,1,0,0
48004,52,1,0,0
48004,00,11,279,6711
48004,42,1,0,0
48004,54,2,0,0
48005,56,9,0,0
48005,71,2,0,0
48005,72,4,0,0
48005,62,17,0,0
48005,21,1,0,0
48005,22,1,0,0
48005,23,15,0,0
48005,81,8,0,0
48005,52,4,0,0
48005,53,2,0,0
48005,61,2,0,0
48005,99,1,0,0
48005,00,115,1321,58861
48005,42,4,0,0
48005,54,9,0,0
48006,72,1,0,0
48006,62,2,0,0
48006,22,1,0,0
48006,23,9,0,0
48006,81,1,0,0
48006,51,2,0,0
48006,00,24,159,9001
48006,54,2,0,0
48007,55,1,0,0
48007,72,1,0,0
48007,00,11,266,16771
48007,42,1,0,0
48007,54,3,0,0
48009,55,15,0,0
48009,56,60,0,0
48009,71,31,0,0
48009,72,82,0,0
48009,62,153,0,0
48009,23,51,0,0
48009,81,105,0,0
48009,51,33,0,0
48009,52,142,0,0
48009,53,96,0,0
48009,61,26,0,0
48009,99,2,0,0
48009,00,1383,14761,899250
48009,42,88,0,0
48009,54,308,0,0
48012,56,1,0,0
48012,71,2,0,0
48012,72,3,0,0
48012,62,1,0,0
48012,23,4,0,0
48012,81,2,0,0
48012,52,1,0,0
48012,53,4,0,0
48012,00,23,110,4043
48012,54,4,0,0
48014,56,3,0,0
48014,71,1,0,0
48014,72,8,0,0
48014,62,11,0,0
48014,23,10,0,0
48014,81,8,0,0
48014,51,1,0,0
48014,52,4,0,0
48014,53,3,0,0
48014,00,76,807,25724
48014,42,6,0,0
48014,54,4,0,0
48015,56,8,0,0
48015,72,13,0,0
48015,62,25,0,0
48015,23,11,0,0
48015,81,24,0,0
48015,51,3,0,0
48015,52,11,0,0
48015,53,4,0,0
48015,61,2,0,0
48015,00,188,3788,215217
48015,42,7,0,0
48015,54,16,0,0
48017,55,1,0,0
48017,56,16,0,0
48017,71,1,0,0
48017,72,49,0,0
48017,62,40,0,0
48017,23,17,0,0
48017,81,35,0,0
48017,51,3,0,0
48017,52,15,0,0
48017,53,7,0,0
48017,61,2,0,0
48017,00,322,3191,120931
48017,42,19,0,0
48017,54,32,0,0
48021,55,1,0,0
48021,56,26,0,0
