Zipcode,NaicsCode,Establishments,Employees,Payroll
55001,23,14,0,0
55001,55,1,0,0
55001,56,8,0,0
55001,72,5,0,0
55001,42,4,0,0
55001,00,89,0,14283
55001,52,5,0,0
55001,81,6,0,0
55001,71,4,0,0
55001,62,7,0,0
55001,54,18,0,0
55001,51,3,0,0
55001,53,1,0,0
55002,00,1,0,0
55003,22,2,0,0
55003,23,5,0,0
55003,55,1,0,0
55003,72,9,0,0
55003,42,2,0,0
55003,00,54,0,0
55003,52,2,0,0
55003,81,10,0,0
55003,71,1,0,0
55003,62,6,0,0
55003,54,7,0,0
55003,51,1,0,0
55003,53,1,0,0
55005,23,28,0,0
55005,56,10,0,0
55005,72,3,0,0
55005,42,2,0,0
55005,00,84,293,10134
55005,81,11,0,0
55005,62,2,0,0
55005,54,6,0,0
55005,53,5,0,0
55006,99,1,0,0
55006,11,1,0,0
55006,22,1,0,0
55006,23,10,0,0
55006,56,2,0,0
55006,72,4,0,0
55006,42,2,0,0
55006,00,70,461,15102
55006,52,2,0,0
55006,81,11,0,0
55006,61,1,0,0
55006,62,6,0,0
55006,54,2,0,0
55006,51,2,0,0
55006,53,1,0,0
55007,11,1,0,0
55007,21,1,0,0
55007,23,4,0,0
55007,56,2,0,0
55007,42,1,0,0
55007,00,18,0,2406
55007,81,2,0,0
55007,62,3,0,0
55007,53,1,0,0
55008,11,1,0,0
55008,22,1,0,0
55008,23,46,0,0
55008,55,2,0,0
55008,56,14,0,0
55008,72,35,0,0
55008,42,12,0,0
55008,00,390,6452,235855
55008,52,26,0,0
55008,81,42,0,0
55008,61,3,0,0
55008,71,10,0,0
55008,62,55,0,0
55008,54,30,0,0
55008,51,7,0,0
55008,53,15,0,0
55009,99,1,0,0
55009,21,1,0,0
55009,22,1,0,0
55009,23,41,0,0
55009,56,13,0,0
55009,72,16,0,0
55009,42,13,0,0
55009,00,259,2743,113139
55009,52,19,0,0
55009,81,29,0,0
55009,61,1,0,0
55009,71,4,0,0
55009,62,23,0,0
55009,54,18,0,0
55009,51,4,0,0
55009,53,3,0,0
55010,23,2,0,0
55010,42,1,0,0
55010,00,8,122,6872
55010,52,2,0,0
55010,81,1,0,0
55010,62,1,0,0
55011,99,1,0,0
55011,23,73,0,0
55011,56,19,0,0
55011,72,4,0,0
55011,42,10,0,0
55011,00,221,1054,41393
55011,52,5,0,0
55011,81,24,0,0
55011,61,4,0,0
55011,71,6,0,0
55011,62,6,0,0
55011,54,20,0,0
55011,51,2,0,0
55011,53,12,0,0
55012,23,9,0,0
55012,56,4,0,0
55012,72,2,0,0
55012,00,48,0,0
55012,52,3,0,0
55012,81,4,0,0
55012,62,3,0,0
55012,54,6,0,0
55012,53,4,0,0
55013,99,1,0,0
55013,21,1,0,0
55013,23,30,0,0
55013,55,1,0,0
55013,56,10,0,0
55013,72,11,0,0
55013,42,7,0,0
55013,00,147,1329,38663
55013,52,5,0,0
55013,81,8,0,0
55013,61,3,0,0
55013,71,2,0,0
55013,62,20,0,0
55013,54,4,0,0
55013,51,3,0,0
55013,53,5,0,0
55014,99,1,0,0
55014,23,64,0,0
55014,56,25,0,0
