Zipcode,NaicsCode,Establishments,Employees,Payroll
63005,72,73,0,0
63005,55,18,0,0
63005,56,74,0,0
63005,62,65,0,0
63005,99,2,0,0
63005,11,2,0,0
63005,22,2,0,0
63005,23,86,0,0
63005,00,1161,21031,864045
63005,61,19,0,0
63005,51,23,0,0
63005,71,24,0,0
63005,53,59,0,0
63005,81,57,0,0
63005,42,124,0,0
63005,54,185,0,0
63005,52,104,0,0
63006,72,1,0,0
63006,55,1,0,0
63006,56,3,0,0
63006,00,14,53,1300
63006,61,1,0,0
63006,71,1,0,0
63006,81,1,0,0
63006,42,2,0,0
63006,54,2,0,0
63006,52,1,0,0
63010,72,82,0,0
63010,55,4,0,0
63010,56,54,0,0
63010,62,100,0,0
63010,11,1,0,0
63010,21,1,0,0
63010,22,1,0,0
63010,23,119,0,0
63010,00,815,11188,345242
63010,61,8,0,0
63010,51,8,0,0
63010,71,7,0,0
63010,53,35,0,0
63010,81,89,0,0
63010,42,26,0,0
63010,54,48,0,0
63010,52,72,0,0
63011,72,115,0,0
63011,55,15,0,0
63011,56,72,0,0
63011,62,158,0,0
63011,99,3,0,0
63011,21,1,0,0
63011,23,86,0,0
63011,00,1324,16525,568646
63011,61,19,0,0
63011,51,22,0,0
63011,71,25,0,0
63011,53,46,0,0
63011,81,131,0,0
63011,42,68,0,0
63011,54,142,0,0
63011,52,131,0,0
63012,72,8,0,0
63012,56,12,0,0
63012,62,7,0,0
63012,23,32,0,0
63012,00,137,803,24728
63012,51,6,0,0
63012,53,5,0,0
63012,81,19,0,0
63012,42,5,0,0
63012,54,8,0,0
63012,52,9,0,0
63013,56,2,0,0
63013,23,11,0,0
63013,00,31,0,0
63013,81,5,0,0
63013,42,3,0,0
63013,52,1,0,0
63014,56,2,0,0
63014,23,1,0,0
63014,00,7,12,203
63014,53,1,0,0
63014,81,1,0,0
63014,42,1,0,0
63015,56,1,0,0
63015,22,1,0,0
63015,23,10,0,0
63015,00,25,107,2861
63015,81,4,0,0
63015,42,2,0,0
63015,54,3,0,0
63016,72,3,0,0
63016,56,9,0,0
63016,62,14,0,0
63016,22,1,0,0
63016,23,25,0,0
63016,00,98,678,20403
63016,81,16,0,0
63016,42,3,0,0
63016,54,3,0,0
63016,52,2,0,0
63017,72,127,0,0
63017,55,37,0,0
63017,56,72,0,0
63017,62,271,0,0
63017,99,3,0,0
63017,23,49,0,0
63017,00,1743,46013,2971019
63017,61,30,0,0
63017,51,49,0,0
63017,71,24,0,0
63017,53,76,0,0
63017,81,129,0,0
63017,42,90,0,0
63017,54,265,0,0
63017,52,270,0,0
63019,72,13,0,0
63019,55,2,0,0
63019,62,36,0,0
63019,23,16,0,0
63019,00,189,3009,112343
63019,61,2,0,0
63019,71,3,0,0
63019,53,7,0,0
63019,81,19,0,0
63019,42,4,0,0
63019,54,12,0,0
63019,52,22,0,0
63020,72,24,0,0
63020,56,16,0,0
63020,62,63,0,0
63020,99,1,0,0
63020,21,2,0,0
63020,23,48,0,0
63020,00,304,2265,53843
63020,51,2,0,0
63020,71,3,0,0
63020,53,8,0,0
63020,81,41,0,0
63020,42,8,0,0
63020,54,11,0,0
63020,52,23,0,0
63021,72,27,0,0
63021,55,6,0,0
63021,56,70,0,0
63021,62,76,0,0
63021,99,2,0,0
63021,11,1,0,0
63021,22,2,0,0
63021,23,97,0,0
63021,00,727,6079,228186
63021,61,17,0,0
63021,51,5,0,0
63021,71,14,0,0
63021,53,32,0,0
63021,81,46,0,0
63021,42,63,0,0
63021,54,141,0,0
63021,52,56,0,0
63022,56,2,0,0
63022,62,1,0,0
63022,23,1,0,0
63022,00,11,24,1550
63022,51,1,0,0
63022,81,2,0,0
63022,42,2,0,0
63022,52,1,0,0
63023,72,1,0,0
63023,56,4,0,0
63023,62,4,0,0
63023,23,11,0,0
63023,00,42,187,5922
63023,71,1,0,0
63023,81,7,0,0
63023,42,1,0,0
63023,54,5,0,0
63024,00,1,0,0
63024,42,1,0,0
63025,72,31,0,0
63025,55,2,0,0
63025,56,26,0,0
63025,62,36,0,0
63025,99,1,0,0
63025,21,2,0,0
63025,23,49,0,0
63025,00,396,5739,174069
63025,61,4,0,0
63025,51,5,0,0
63025,71,14,0,0
63025,53,11,0,0
63025,81,41,0,0
63025,42,22,0,0
63025,54,45,0,0
63025,52,28,0,0
63026,72,86,0,0
63026,55,16,0,0
63026,56,93,0,0
63026,62,103,0,0
63026,99,2,0,0
63026,11,1,0,0
63026,23,166,0,0
63026,00,1339,24964,1186703
63026,61,11,0,0
63026,51,24,0,0
63026,71,19,0,0
63026,53,61,0,0
63026,81,90,0,0
63026,42,170,0,0
63026,54,118,0,0
63026,52,82,0,0
63028,72,39,0,0
63028,55,9,0,0
63028,56,35,0,0
63028,62,205,0,0
63028,99,32,0,0
63028,21,2,0,0
63028,22,3,0,0
63028,23,70,0,0
63028,00,712,7491,255661
63028,61,5,0,0
63028,51,8,0,0
63028,71,5,0,0
63028,53,26,0,0
63028,81,59,0,0
63028,42,12,0,0
63028,54,43,0,0
63028,52,44,0,0
63030,62,1,0,0
63030,00,3,0,0
63030,81,1,0,0
63030,42,1,0,0
63031,72,65,0,0
63031,55,1,0,0
63031,56,36,0,0
63031,62,186,0,0
63031,99,7,0,0
63031,11,1,0,0
63031,22,1,0,0
63031,23,53,0,0
63031,00,717,7374,210593
63031,61,13,0,0
63031,51,4,0,0
63031,71,8,0,0
63031,53,18,0,0
63031,81,88,0,0
63031,42,15,0,0
63031,54,44,0,0
63031,52,50,0,0
63032,72,1,0,0
63032,23,1,0,0
63032,00,3,0,0
63032,81,1,0,0
63033,72,72,0,0
63033,55,2,0,0
63033,56,28,0,0
63033,62,344,0,0
63033,99,25,0,0
63033,23,42,0,0
63033,00,846,7951,174010
63033,61,9,0,0
63033,51,6,0,0
63033,71,5,0,0
63033,53,23,0,0
63033,81,75,0,0
63033,42,12,0,0
63033,54,21,0,0
63033,52,43,0,0
63034,72,9,0,0
63034,56,21,0,0
63034,62,63,0,0
63034,99,4,0,0
63034,21,3,0,0
63034,22,1,0,0
63034,23,15,0,0
63034,00,215,1381,32415
63034,61,6,0,0
63034,51,1,0,0
63034,71,3,0,0
63034,53,2,0,0
63034,81,27,0,0
63034,42,5,0,0
63034,54,14,0,0
63034,52,11,0,0
63036,72,1,0,0
63036,62,4,0,0
63036,11,2,0,0
63036,23,2,0,0
63036,00,12,52,1020
63036,81,1,0,0
63036,42,1,0,0
63037,72,2,0,0
63037,56,4,0,0
63037,62,4,0,0
63037,22,1,0,0
63037,23,5,0,0
63037,00,54,740,23942
63037,51,1,0,0
63037,71,1,0,0
63037,53,1,0,0
63037,81,7,0,0
63037,42,2,0,0
63037,54,1,0,0
63037,52,2,0,0
63038,72,2,0,0
63038,56,17,0,0
63038,62,11,0,0
63038,99,2,0,0
63038,11,3,0,0
63038,23,39,0,0
63038,00,155,857,36262
63038,61,2,0,0
63038,51,3,0,0
63038,71,3,0,0
63038,53,7,0,0
63038,81,15,0,0
63038,42,16,0,0
63038,54,23,0,0
63038,52,3,0,0
63039,72,1,0,0
63039,62,1,0,0
63039,23,1,0,0
63039,00,19,0,0
63039,51,3,0,0
63039,71,1,0,0
63039,53,1,0,0
63039,81,2,0,0
63039,42,2,0,0
63039,54,1,0,0
63039,52,1,0,0
63040,72,17,0,0
63040,56,7,0,0
63040,62,31,0,0
63040,99,1,0,0
63040,23,18,0,0
63040,00,191,1952,56063
63040,61,4,0,0
63040,51,2,0,0
63040,53,9,0,0
63040,81,17,0,0
63040,42,16,0,0
63040,54,24,0,0
63040,52,25,0,0
63041,56,2,0,0
63041,62,1,0,0
63041,23,1,0,0
63041,00,6,0,0
