Zipcode,NaicsCode,Establishments,Employees,Payroll
38601,22,2,0,0
38601,62,2,0,0
38601,00,19,110,3172
38601,81,2,0,0
38601,23,4,0,0
38601,52,1,0,0
38601,42,1,0,0
38603,11,2,0,0
38603,56,2,0,0
38603,62,6,0,0
38603,00,37,446,13822
38603,81,5,0,0
38603,23,1,0,0
38603,54,2,0,0
38603,52,2,0,0
38606,11,3,0,0
38606,22,6,0,0
38606,56,14,0,0
38606,72,39,0,0
38606,62,53,0,0
38606,53,14,0,0
38606,00,461,7467,233342
38606,81,36,0,0
38606,61,2,0,0
38606,23,27,0,0
38606,71,4,0,0
38606,54,28,0,0
38606,52,43,0,0
38606,51,5,0,0
38606,42,25,0,0
38609,72,1,0,0
38609,00,1,0,0
38610,21,1,0,0
38610,56,2,0,0
38610,62,1,0,0
38610,00,22,412,10564
38610,81,5,0,0
38610,61,1,0,0
38610,23,1,0,0
38610,42,1,0,0
38611,11,2,0,0
38611,22,1,0,0
38611,56,6,0,0
38611,72,7,0,0
38611,62,6,0,0
38611,53,2,0,0
38611,00,142,1808,61249
38611,81,19,0,0
38611,61,1,0,0
38611,23,22,0,0
38611,54,2,0,0
38611,52,8,0,0
38611,42,9,0,0
38614,11,5,0,0
38614,22,3,0,0
38614,55,1,0,0
38614,56,10,0,0
38614,72,45,0,0
38614,62,74,0,0
38614,53,33,0,0
38614,00,504,5707,178516
38614,81,46,0,0
38614,61,7,0,0
38614,23,19,0,0
38614,71,10,0,0
38614,54,39,0,0
38614,52,45,0,0
38614,51,9,0,0
38614,42,25,0,0
38617,53,1,0,0
38617,00,3,0,0
38617,81,1,0,0
38617,54,1,0,0
38618,11,1,0,0
38618,22,2,0,0
38618,56,6,0,0
38618,72,5,0,0
38618,62,6,0,0
38618,00,92,549,18038
38618,81,18,0,0
38618,23,13,0,0
38618,54,2,0,0
38618,52,4,0,0
38618,51,1,0,0
38618,42,7,0,0
38619,22,1,0,0
38619,56,1,0,0
38619,72,6,0,0
38619,62,2,0,0
