Zipcode,NaicsCode,Establishments,Employees,Payroll
59001,81,6,0,0
59001,62,5,0,0
59001,54,8,0,0
59001,00,62,165,5191
59001,72,4,0,0
59001,23,15,0,0
59001,56,4,0,0
59002,00,5,32,824
59003,81,3,0,0
59003,00,18,374,11812
59003,72,4,0,0
59006,00,13,36,630
59006,23,3,0,0
59007,00,3,4,95
59008,00,7,13,238
59011,81,18,0,0
59011,52,6,0,0
59011,51,4,0,0
59011,62,7,0,0
59011,54,12,0,0
59011,00,162,1207,66667
59011,71,8,0,0
59011,72,19,0,0
59011,23,32,0,0
59011,56,6,0,0
59011,42,3,0,0
59011,53,8,0,0
59013,00,6,5,154
59014,81,3,0,0
59014,54,4,0,0
59014,00,42,262,9218
59014,72,3,0,0
59014,23,7,0,0
59014,22,3,0,0
59015,00,11,38,1429
59016,00,4,14,189
59018,00,28,146,4901
59018,72,4,0,0
59018,23,3,0,0
59018,56,3,0,0
59019,81,14,0,0
59019,52,7,0,0
59019,62,14,0,0
59019,54,12,0,0
59019,00,137,1491,87034
59019,71,7,0,0
59019,72,11,0,0
59019,23,17,0,0
59019,22,3,0,0
59019,56,4,0,0
59019,42,3,0,0
59019,53,4,0,0
59020,00,22,78,1703
59020,72,12,0,0
59022,00,12,330,25425
59024,00,7,21,348
59024,72,3,0,0
59025,00,5,499,41678
59025,21,3,0,0
59026,00,7,33,1074
59026,42,3,0,0
59027,54,4,0,0
59027,00,44,151,6942
59027,71,6,0,0
59027,72,11,0,0
59027,23,9,0,0
59027,53,3,0,0
59028,00,8,65,2404
59028,72,3,0,0
59029,00,12,26,1495
59029,72,3,0,0
59030,81,7,0,0
59030,00,84,488,21927
59030,71,12,0,0
59030,72,31,0,0
59030,23,5,0,0
59030,53,3,0,0
59032,00,6,36,361
59033,00,3,22,1097
59034,81,10,0,0
59034,52,9,0,0
59034,51,4,0,0
59034,62,17,0,0
59034,54,12,0,0
59034,00,151,1340,51021
59034,71,6,0,0
59034,72,19,0,0
59034,23,14,0,0
59034,22,3,0,0
59034,56,5,0,0
59034,42,7,0,0
59034,53,8,0,0
59035,00,11,32,1403
59035,71,3,0,0
59035,72,3,0,0
59036,81,5,0,0
59036,52,4,0,0
59036,62,3,0,0
59036,54,4,0,0
59036,00,51,375,11462
59036,72,6,0,0
59036,23,5,0,0
59037,81,4,0,0
59037,00,35,178,7920
59037,71,3,0,0
59037,72,4,0,0
59037,23,9,0,0
59038,54,3,0,0
59038,00,14,59,2682
59038,23,3,0,0
59041,81,4,0,0
59041,62,3,0,0
59041,54,4,0,0
59041,00,51,177,4962
59041,72,4,0,0
59041,23,15,0,0
59043,81,5,0,0
59043,00,19,270,7348
59044,81,38,0,0
59044,52,10,0,0
59044,51,5,0,0
59044,62,24,0,0
59044,54,19,0,0
59044,00,285,2826,131381
59044,71,10,0,0
59044,72,24,0,0
59044,23,42,0,0
59044,11,4,0,0
59044,56,13,0,0
59044,42,7,0,0
59044,53,12,0,0
59046,00,11,26,485
59047,81,54,0,0
59047,52,22,0,0
59047,51,14,0,0
59047,62,58,0,0
59047,54,70,0,0
59047,00,618,4124,145779
59047,99,3,0,0
59047,71,32,0,0
59047,72,65,0,0
59047,23,89,0,0
59047,11,8,0,0
59047,22,4,0,0
59047,56,26,0,0
59047,61,7,0,0
59047,42,17,0,0
59047,53,37,0,0
59050,00,5,50,1173
59052,00,4,19,350
59053,00,5,4,354
59054,00,8,19,461
59057,00,12,12,863
59057,23,5,0,0
59061,00,9,723,82552
59063,54,3,0,0
59063,00,31,112,3135
59063,23,12,0,0
59063,56,3,0,0
59064,00,3,4,119
59065,00,12,29,787
59065,23,5,0,0
59067,00,6,13,202
59068,81,16,0,0
59068,52,8,0,0
59068,51,5,0,0
59068,62,19,0,0
59068,54,23,0,0
59068,00,243,1643,45242
59068,71,12,0,0
59068,72,47,0,0
59068,23,37,0,0
59068,22,4,0,0
59068,56,7,0,0
59068,61,3,0,0
59068,42,6,0,0
59068,53,13,0,0
59069,00,9,23,764
59069,23,6,0,0
59070,00,24,63,2773
59070,23,7,0,0
59070,56,3,0,0
59070,42,3,0,0
59071,00,3,3,92
59072,81,10,0,0
59072,52,4,0,0
59072,51,3,0,0
59072,62,11,0,0
59072,54,6,0,0
59072,00,104,809,42855
59072,71,4,0,0
59072,72,9,0,0
59072,23,11,0,0
59072,21,9,0,0
59072,56,3,0,0
59072,42,6,0,0
59074,00,6,49,1212
59075,00,7,6,463
59079,81,9,0,0
59079,54,6,0,0
59079,00,66,223,6812
59079,72,5,0,0
59079,23,17,0,0
59079,56,5,0,0
59081,00,6,7,301
59081,72,4,0,0
59086,81,3,0,0
59086,00,19,58,2036
59086,23,8,0,0
59087,00,9,17,263
59088,81,3,0,0
59088,54,3,0,0
59088,00,29,148,6767
59088,23,6,0,0
59088,42,3,0,0
59088,53,3,0,0
59101,81,190,0,0
59101,52,95,0,0
59101,51,35,0,0
59101,62,178,0,0
59101,54,228,0,0
59101,00,1978,29546,1596011
59101,99,4,0,0
59101,71,38,0,0
59101,72,155,0,0
59101,23,235,0,0
59101,11,3,0,0
59101,21,25,0,0
59101,22,5,0,0
59101,56,85,0,0
59101,61,20,0,0
59101,42,184,0,0
59101,53,97,0,0
59101,55,7,0,0
59102,81,188,0,0
59102,52,165,0,0
59102,51,27,0,0
59102,62,274,0,0
59102,54,177,0,0
59102,00,2017,26362,913837
59102,71,75,0,0
59102,72,167,0,0
59102,23,174,0,0
59102,21,12,0,0
59102,56,97,0,0
59102,61,24,0,0
59102,42,94,0,0
59102,53,141,0,0
59102,55,5,0,0
59103,81,7,0,0
59103,52,3,0,0
59103,62,3,0,0
59103,54,7,0,0
59103,00,53,916,82903
59103,23,5,0,0
59103,21,3,0,0
59103,42,7,0,0
59104,52,4,0,0
59104,00,26,513,35001
59104,23,5,0,0
59104,56,3,0,0
59104,42,4,0,0
59105,81,57,0,0
59105,52,34,0,0
59105,51,5,0,0
59105,62,69,0,0
59105,54,65,0,0
59105,00,656,5623,191155
59105,71,23,0,0
59105,72,39,0,0
59105,23,125,0,0
59105,21,6,0,0
59105,56,45,0,0
59105,61,8,0,0
59105,42,26,0,0
59105,53,42,0,0
59106,81,32,0,0
59106,52,10,0,0
59106,62,32,0,0
59106,54,47,0,0
59106,00,409,2644,117415
59106,71,12,0,0
59106,72,5,0,0
59106,23,99,0,0
59106,11,3,0,0
59106,21,5,0,0
59106,56,29,0,0
59106,61,5,0,0
59106,42,24,0,0
59106,53,43,0,0
59107,54,4,0,0
59107,00,27,324,13034
59107,56,3,0,0
59108,52,5,0,0
59108,62,3,0,0
59108,00,30,647,39353
59108,23,3,0,0
59108,56,3,0,0
59108,42,3,0,0
59201,81,9,0,0
59201,52,10,0,0
59201,51,4,0,0
59201,62,9,0,0
59201,54,8,0,0
59201,00,108,1084,35981
59201,71,3,0,0
59201,72,16,0,0
59201,23,7,0,0
59201,56,4,0,0
59201,42,7,0,0
59211,00,4,7,262
59212,00,15,79,2116
59212,71,5,0,0
59212,21,3,0,0
59213,00,3,16,455
59215,81,5,0,0
59215,52,6,0,0
59215,62,3,0,0
59215,00,50,327,12958
59215,72,4,0,0
59215,23,9,0,0
59215,42,4,0,0
59217,00,6,10,389
59218,81,3,0,0
59218,54,4,0,0
59218,00,44,227,8470
59218,72,7,0,0
59218,23,4,0,0
59219,00,6,9,343
59221,81,7,0,0
59221,54,3,0,0
59221,00,54,370,22260
59221,72,5,0,0
59221,23,6,0,0
59221,21,6,0,0
59222,00,4,17,532
59223,00,11,16,772
59223,23,4,0,0
59225,00,5,38,1225
59226,52,3,0,0
59226,00,10,23,1110
59226,42,3,0,0
59230,81,21,0,0
59230,52,13,0,0
59230,51,5,0,0
59230,62,29,0,0
59230,54,15,0,0
59230,00,214,1971,70307
59230,71,5,0,0
59230,72,24,0,0
59230,23,20,0,0
59230,21,3,0,0
59230,22,3,0,0
59230,56,6,0,0
59230,42,12,0,0
59230,53,6,0,0
59231,00,3,12,505
59241,00,8,19,535
59243,81,3,0,0
59243,00,13,43,2308
59247,00,9,45,2679
59248,81,3,0,0
59248,00,13,39,1039
59248,72,3,0,0
59248,23,3,0,0
59250,00,3,19,756
59252,00,4,7,147
59253,00,3,10,402
59254,81,13,0,0
59254,52,12,0,0
59254,51,3,0,0
59254,62,10,0,0
59254,54,8,0,0
59254,00,110,703,22740
59254,72,14,0,0
59254,23,7,0,0
59254,21,8,0,0
59254,56,4,0,0
59254,42,4,0,0
59254,53,4,0,0
59255,62,4,0,0
59255,00,33,379,12758
59255,72,4,0,0
59255,23,4,0,0
59258,00,6,7,310
59259,00,11,36,1246
59261,00,8,47,1572
59261,72,3,0,0
59262,00,17,72,3991
59262,23,4,0,0
59262,21,3,0,0
59262,56,3,0,0
59263,81,7,0,0
59263,52,5,0,0
59263,51,4,0,0
