Zipcode,NaicsCode,Establishments,Employees,Payroll
27006,44511,2,0,0
27006,44512,1,0,0
27006,44531,1,0,0
27006,54111,1,0,0
27006,54121,9,0,0
27006,71151,2,0,0
27006,71312,1,0,0
27006,71391,1,0,0
27006,71393,1,0,0
27006,71394,2,0,0
27006,54119,1,0,0
27006,44611,3,0,0
27006,44612,1,0,0
27006,44711,4,0,0
27006,53111,1,0,0
27006,53113,2,0,0
27006,62441,1,0,0
27006,44112,1,0,0
27006,44122,1,0,0
27006,44131,2,0,0
27006,44132,1,0,0
27006,44211,3,0,0
27006,52211,6,0,0
27006,61161,1,0,0
27006,61169,1,0,0
27006,23835,3,0,0
27006,23891,4,0,0
27006,48411,2,0,0
27006,48412,2,0,0
27006,48421,1,0,0
27006,48422,2,0,0
27006,48423,1,0,0
27006,71399,1,0,0
27006,72111,1,0,0
27006,72121,1,0,0
27006,23899,1,0,0
27006,42342,1,0,0
27006,42382,1,0,0
27006,53121,7,0,0
27006,53132,3,0,0
27006,53212,1,0,0
27006,81112,1,0,0
27006,81119,2,0,0
27006,81111,2,0,0
27006,42491,1,0,0
27006,42512,8,0,0
27006,54169,1,0,0
27006,54181,1,0,0
27006,54191,1,0,0
27006,54192,2,0,0
27006,54194,4,0,0
27006,81221,1,0,0
27006,81232,1,0,0
27006,81291,2,0,0
27006,81311,10,0,0
27006,42495,1,0,0
27006,11511,1,0,0
27006,56172,6,0,0
27006,56173,8,0,0
27006,56174,1,0,0
27006,56199,1,0,0
27006,23817,1,0,0
27006,23821,6,0,0
27006,23822,4,0,0
27006,23829,1,0,0
27006,48841,1,0,0
27006,62151,1,0,0
27006,62311,2,0,0
27006,62331,1,0,0
27006,81321,1,0,0
27006,48811,1,0,0
27006,42383,1,0,0
27006,42384,1,0,0
27006,42391,1,0,0
27006,42393,1,0,0
27006,42394,1,0,0
27006,42431,1,0,0
27006,42432,1,0,0
27006,52312,5,0,0
27006,52392,2,0,0
27006,52421,5,0,0
27006,72251,17,0,0
27006,42441,1,0,0
27006,33271,3,0,0
27006,54151,6,0,0
27006,54161,6,0,0
27006,31499,1,0,0
27006,32191,1,0,0
27006,32311,1,0,0
27006,54131,1,0,0
27006,54133,1,0,0
27006,54137,1,0,0
27006,31111,1,0,0
27006,31211,1,0,0
27006,31213,1,0,0
27006,44413,1,0,0
27006,45392,1,0,0
27006,45399,2,0,0
27006,45411,1,0,0
27006,45431,1,0,0
27006,45439,3,0,0
27006,62111,6,0,0
27006,62121,4,0,0
27006,44314,1,0,0
27006,61171,1,0,0
27006,45121,1,0,0
27006,45299,1,0,0
27006,45331,1,0,0
27006,56149,1,0,0
27006,56151,2,0,0
27006,23811,2,0,0
27006,23812,1,0,0
27006,23814,4,0,0
27006,23816,1,0,0
27006,51112,1,0,0
27006,51211,1,0,0
27006,81141,2,0,0
27006,81142,1,0,0
27006,81211,4,0,0
27006,62132,1,0,0
27006,62134,1,0,0
27006,62149,1,0,0
27006,23611,14,0,0
27006,23621,1,0,0
27006,23622,3,0,0
27006,44812,1,0,0
27006,54199,1,0,0
27006,55111,1,0,0
27006,56111,2,0,0
27006,56131,1,0,0
27007,48412,1,0,0
27007,48422,1,0,0
27007,72121,1,0,0
27007,53132,1,0,0
27007,54194,1,0,0
27007,81311,2,0,0
27007,56172,1,0,0
27007,56173,2,0,0
27007,54161,1,0,0
27007,45411,1,0,0
27007,45439,2,0,0
27007,33311,1,0,0
27007,23611,2,0,0
27009,44512,1,0,0
27009,44711,1,0,0
27009,53112,1,0,0
27009,44112,1,0,0
27009,44122,1,0,0
27009,23833,1,0,0
27009,23835,1,0,0
27009,23891,1,0,0
27009,48412,1,0,0
27009,48422,2,0,0
27009,23899,1,0,0
27009,42512,1,0,0
27009,81311,1,0,0
27009,22112,1,0,0
27009,56173,4,0,0
27009,22111,2,0,0
27009,23821,1,0,0
27009,23831,1,0,0
27009,62161,1,0,0
27009,62331,3,0,0
27009,42386,1,0,0
27009,32799,1,0,0
27009,54151,1,0,0
27009,54161,2,0,0
27009,54134,1,0,0
27009,62111,1,0,0
27009,56151,1,0,0
27009,23731,1,0,0
27009,81121,1,0,0
27009,51741,1,0,0
27009,62139,1,0,0
27009,23611,3,0,0
27010,44422,1,0,0
27010,71391,1,0,0
27010,53111,2,0,0
27010,81119,1,0,0
27010,81111,1,0,0
27010,23822,1,0,0
27010,54151,1,0,0
27010,54137,1,0,0
27011,44422,1,0,0
27011,44511,1,0,0
27011,71391,1,0,0
27011,44611,1,0,0
27011,44711,1,0,0
27011,53113,1,0,0
27011,62412,1,0,0
27011,62419,2,0,0
27011,44112,2,0,0
27011,44131,1,0,0
27011,52211,1,0,0
27011,48412,1,0,0
27011,71399,1,0,0
27011,72121,1,0,0
27011,42361,2,0,0
27011,53121,1,0,0
27011,81111,2,0,0
27011,81112,1,0,0
27011,81119,4,0,0
27011,81311,7,0,0
27011,56173,2,0,0
27011,56179,1,0,0
27011,56199,1,0,0
27011,23821,3,0,0
27011,62161,1,0,0
27011,62321,1,0,0
27011,62331,1,0,0
27011,48551,1,0,0
27011,49312,1,0,0
27011,72251,4,0,0
27011,33231,1,0,0
27011,54151,1,0,0
27011,31311,1,0,0
27011,31121,1,0,0
27011,31213,2,0,0
27011,44314,1,0,0
27011,42311,2,0,0
27011,42321,1,0,0
27011,45299,1,0,0
27011,45311,1,0,0
27011,45331,1,0,0
27011,51912,1,0,0
27011,23611,2,0,0
27012,44422,3,0,0
27012,44511,5,0,0
27012,44529,1,0,0
27012,44531,2,0,0
27012,54111,7,0,0
27012,54121,8,0,0
27012,71121,1,0,0
27012,71132,2,0,0
27012,71151,2,0,0
27012,71312,1,0,0
27012,71391,2,0,0
27012,71394,8,0,0
27012,44611,4,0,0
27012,44612,1,0,0
27012,44619,4,0,0
27012,44711,9,0,0
27012,44719,1,0,0
27012,53111,5,0,0
27012,53112,1,0,0
27012,53113,1,0,0
27012,62419,1,0,0
27012,62441,4,0,0
27012,44112,1,0,0
27012,44122,1,0,0
27012,44131,2,0,0
27012,44132,2,0,0
27012,44211,1,0,0
27012,52211,7,0,0
27012,52212,2,0,0
27012,52213,3,0,0
27012,56291,1,0,0
27012,56299,1,0,0
27012,61111,1,0,0
27012,61161,4,0,0
27012,52229,1,0,0
27012,23833,1,0,0
27012,23839,2,0,0
27012,23891,3,0,0
27012,48411,1,0,0
27012,48412,2,0,0
27012,48421,1,0,0
27012,48422,2,0,0
27012,48423,1,0,0
27012,71399,2,0,0
27012,72111,2,0,0
27012,72121,1,0,0
27012,72232,2,0,0
27012,23899,2,0,0
27012,42339,1,0,0
27012,42342,2,0,0
27012,42343,1,0,0
27012,42351,1,0,0
27012,42361,2,0,0
27012,42373,1,0,0
27012,53121,7,0,0
27012,53131,4,0,0
27012,53132,2,0,0
27012,53139,1,0,0
27012,53221,1,0,0
27012,81111,11,0,0
27012,81112,5,0,0
27012,81119,3,0,0
27012,42341,1,0,0
27012,42469,2,0,0
27012,42512,4,0,0
27012,54169,1,0,0
27012,54171,1,0,0
27012,54181,1,0,0
27012,54191,1,0,0
