Zipcode,NaicsCode,Establishments,Employees,Payroll
58012,624410,3,0,0
58012,522110,3,0,0
58012,423820,3,0,0
58012,424510,4,0,0
58012,447110,3,0,0
58012,813110,4,0,0
58012,238210,3,0,0
58012,722410,3,0,0
58012,238220,5,0,0
58027,624410,3,0,0
58027,424910,4,0,0
58027,813110,4,0,0
58030,424510,3,0,0
58038,424510,3,0,0
58040,813110,3,0,0
58041,811111,3,0,0
58041,813110,4,0,0
58042,238910,3,0,0
58045,522110,3,0,0
58045,524210,5,0,0
58045,423820,4,0,0
58045,813110,4,0,0
58045,484121,3,0,0
58045,484220,4,0,0
58045,722410,3,0,0
58045,238220,4,0,0
58047,561720,4,0,0
58047,561730,4,0,0
58047,531210,8,0,0
58047,813110,3,0,0
58047,236115,5,0,0
58047,238210,3,0,0
58047,484121,3,0,0
58047,722511,3,0,0
58047,238990,3,0,0
58047,541512,4,0,0
58053,524210,3,0,0
58053,424510,3,0,0
58053,722410,3,0,0
58054,621111,3,0,0
58054,621210,4,0,0
58054,621310,3,0,0
58054,624410,6,0,0
58054,811111,3,0,0
58054,522110,4,0,0
58054,524210,6,0,0
58054,531210,3,0,0
58054,541110,4,0,0
58054,424910,3,0,0
58054,813110,4,0,0
58054,484220,3,0,0
58054,721110,3,0,0
58054,238910,4,0,0
58059,424910,3,0,0
58059,484230,3,0,0
58072,621310,3,0,0
58072,623210,13,0,0
58072,624120,3,0,0
58072,624410,3,0,0
58072,811121,3,0,0
58072,561720,4,0,0
58072,561730,4,0,0
58072,522110,3,0,0
58072,523920,4,0,0
58072,524210,12,0,0
58072,531210,5,0,0
58072,541211,3,0,0
58072,423820,4,0,0
58072,441310,4,0,0
58072,445110,3,0,0
58072,445310,3,0,0
58072,446110,3,0,0
58072,447110,4,0,0
58072,813110,12,0,0
58072,236118,4,0,0
58072,238210,6,0,0
58072,484121,4,0,0
58072,484230,3,0,0
58072,485410,3,0,0
58072,721110,4,0,0
58072,722410,5,0,0
58072,722511,8,0,0
58072,722513,7,0,0
58072,238220,3,0,0
58072,238910,4,0,0
58074,541110,3,0,0
58075,621210,6,0,0
58075,621310,5,0,0
58075,623210,7,0,0
58075,624120,3,0,0
58075,811121,3,0,0
58075,811310,3,0,0
58075,561730,4,0,0
58075,562111,4,0,0
58075,522110,6,0,0
58075,523920,3,0,0
58075,524210,10,0,0
58075,531110,3,0,0
58075,531210,3,0,0
58075,541110,5,0,0
58075,541211,3,0,0
58075,424910,3,0,0
58075,441110,3,0,0
58075,441310,3,0,0
58075,446110,3,0,0
58075,447110,4,0,0
58075,813110,8,0,0
58075,236118,3,0,0
58075,238210,4,0,0
58075,484220,4,0,0
58075,488190,3,0,0
58075,722410,4,0,0
58075,722511,8,0,0
58075,722513,9,0,0
58075,238990,3,0,0
58077,813110,3,0,0
58078,621111,4,0,0
58078,621210,4,0,0
58078,621310,6,0,0
58078,621330,3,0,0
58078,621340,5,0,0
58078,621498,4,0,0
58078,623210,7,0,0
58078,624410,17,0,0
58078,811111,17,0,0
58078,811121,4,0,0
58078,811192,3,0,0
58078,811310,8,0,0
58078,812112,19,0,0
58078,812199,3,0,0
58078,812910,3,0,0
58078,812990,3,0,0
58078,551114,8,0,0
58078,561110,5,0,0
58078,561510,3,0,0
58078,561720,24,0,0
58078,561730,24,0,0
58078,561790,3,0,0
58078,522110,7,0,0
58078,522120,3,0,0
58078,522320,6,0,0
58078,523920,7,0,0
58078,524210,17,0,0
58078,531210,24,0,0
58078,531311,5,0,0
58078,531312,3,0,0
58078,541110,6,0,0
58078,541211,3,0,0
58078,423510,3,0,0
58078,423710,3,0,0
58078,423820,7,0,0
58078,423830,8,0,0
58078,424130,3,0,0
58078,424710,4,0,0
58078,424910,5,0,0
58078,425120,4,0,0
58078,441120,7,0,0
58078,441210,3,0,0
58078,441228,5,0,0
58078,441310,6,0,0
58078,441320,5,0,0
58078,442110,4,0,0
58078,442210,3,0,0
58078,444130,4,0,0
58078,444190,3,0,0
58078,445110,3,0,0
58078,445299,4,0,0
58078,446110,7,0,0
58078,447110,8,0,0
58078,447190,3,0,0
58078,448120,5,0,0
58078,451120,3,0,0
58078,813110,16,0,0
58078,813410,3,0,0
58078,236115,11,0,0
58078,236117,5,0,0
58078,236118,11,0,0
58078,236220,8,0,0
58078,238110,11,0,0
58078,238130,9,0,0
58078,238140,4,0,0
58078,238160,4,0,0
58078,238170,6,0,0
58078,238210,18,0,0
58078,453998,4,0,0
58078,454390,4,0,0
58078,484110,3,0,0
58078,484121,18,0,0
58078,484210,4,0,0
58078,484220,11,0,0
58078,484230,8,0,0
58078,488510,8,0,0
58078,518210,3,0,0
58078,713940,4,0,0
58078,713990,3,0,0
58078,721110,3,0,0
58078,722330,3,0,0
58078,722410,9,0,0
58078,722511,16,0,0
58078,722513,17,0,0
58078,722515,8,0,0
58078,238220,20,0,0
58078,238310,9,0,0
58078,238320,7,0,0
58078,238330,9,0,0
58078,238350,7,0,0
58078,238910,5,0,0
58078,238990,10,0,0
58078,311812,3,0,0
58078,323111,3,0,0
58078,541219,3,0,0
58078,541330,9,0,0
58078,541511,5,0,0
58078,541512,6,0,0
58078,541611,8,0,0
58078,541613,6,0,0
58078,541890,3,0,0
58078,541940,3,0,0
58081,238990,3,0,0
58102,423120,11,0,0
