Zipcode,NaicsCode,Establishments,Employees,Payroll
68001,00,5,14,379
68001,72,2,0,0
68001,23,1,0,0
68001,52,1,0,0
68002,51,1,0,0
68002,00,48,474,17610
68002,72,1,0,0
68002,56,4,0,0
68002,54,4,0,0
68002,23,15,0,0
68002,61,1,0,0
68002,52,3,0,0
68002,62,2,0,0
68002,81,5,0,0
68003,51,2,0,0
68003,00,104,919,27312
68003,72,11,0,0
68003,56,3,0,0
68003,54,8,0,0
68003,11,1,0,0
68003,21,1,0,0
68003,22,1,0,0
68003,53,1,0,0
68003,42,5,0,0
68003,23,21,0,0
68003,61,1,0,0
68003,52,3,0,0
68003,62,6,0,0
68003,81,12,0,0
68003,71,4,0,0
68004,00,35,125,3849
68004,72,1,0,0
68004,54,1,0,0
68004,53,1,0,0
68004,42,2,0,0
68004,23,4,0,0
68004,52,3,0,0
68004,62,1,0,0
68004,81,8,0,0
68005,51,9,0,0
68005,00,483,7745,276329
68005,99,1,0,0
68005,72,58,0,0
68005,55,1,0,0
68005,56,22,0,0
68005,54,52,0,0
68005,21,1,0,0
68005,53,38,0,0
68005,42,9,0,0
68005,23,42,0,0
68005,61,6,0,0
68005,52,37,0,0
68005,62,55,0,0
68005,81,63,0,0
68005,71,9,0,0
68007,00,141,602,21068
68007,72,9,0,0
68007,56,23,0,0
68007,54,16,0,0
68007,53,10,0,0
68007,42,3,0,0
68007,23,35,0,0
68007,61,1,0,0
68007,52,7,0,0
68007,62,10,0,0
68007,81,12,0,0
68007,71,3,0,0
68008,51,7,0,0
68008,00,402,5655,273294
68008,72,32,0,0
68008,55,3,0,0
68008,56,17,0,0
68008,54,43,0,0
68008,11,1,0,0
68008,22,2,0,0
68008,53,12,0,0
68008,42,14,0,0
68008,23,71,0,0
68008,61,1,0,0
68008,52,29,0,0
68008,62,29,0,0
68008,81,39,0,0
68008,71,5,0,0
68009,00,1,0,0
68009,54,1,0,0
68010,00,6,0,0
68010,53,1,0,0
68010,52,2,0,0
68010,62,1,0,0
68010,81,2,0,0
68014,00,5,25,1135
68014,42,2,0,0
68014,23,3,0,0
68015,00,23,74,1633
68015,99,1,0,0
68015,72,3,0,0
68015,56,2,0,0
68015,42,3,0,0
68015,23,4,0,0
68015,52,2,0,0
68015,62,1,0,0
68015,81,3,0,0
68016,00,8,21,741
68016,72,2,0,0
68016,53,1,0,0
68016,23,3,0,0
68017,00,32,179,5317
68017,99,2,0,0
68017,56,5,0,0
68017,42,3,0,0
68017,23,7,0,0
68017,52,4,0,0
68017,81,2,0,0
68018,00,11,35,1231
68018,72,1,0,0
68018,42,4,0,0
68018,23,4,0,0
68018,52,1,0,0
68019,00,3,1,82
68019,56,1,0,0
68019,52,1,0,0
68020,00,17,101,1892
68020,72,2,0,0
68020,23,3,0,0
68020,52,1,0,0
68020,62,2,0,0
68020,81,1,0,0
68020,71,2,0,0
68022,51,16,0,0
68022,00,505,8063,478397
68022,99,1,0,0
68022,72,25,0,0
68022,55,6,0,0
68022,56,32,0,0
68022,54,53,0,0
68022,11,3,0,0
68022,21,1,0,0
68022,53,33,0,0
68022,42,24,0,0
68022,23,109,0,0
68022,61,10,0,0
68022,52,35,0,0
68022,62,51,0,0
68022,81,40,0,0
68022,71,8,0,0
68023,00,67,287,12130
68023,72,3,0,0
68023,56,2,0,0
68023,54,7,0,0
68023,11,1,0,0
68023,21,1,0,0
68023,42,3,0,0
68023,23,21,0,0
68023,61,1,0,0
68023,52,3,0,0
68023,62,4,0,0
68023,81,7,0,0
68023,71,4,0,0
68025,51,9,0,0
68025,00,832,13511,461710
68025,99,4,0,0
68025,72,74,0,0
68025,55,5,0,0
68025,56,47,0,0
68025,54,43,0,0
68025,11,3,0,0
68025,21,2,0,0
68025,53,36,0,0
68025,42,50,0,0
68025,23,82,0,0
68025,61,6,0,0
68025,52,63,0,0
68025,62,100,0,0
68025,81,104,0,0
68025,71,12,0,0
68026,00,21,300,16993
68026,72,1,0,0
68026,56,3,0,0
68026,54,1,0,0
68026,53,2,0,0
68026,42,3,0,0
68026,23,2,0,0
68026,62,2,0,0
68026,81,2,0,0
68028,51,3,0,0
68028,00,429,3803,121666
68028,99,1,0,0
68028,72,24,0,0
68028,55,1,0,0
68028,56,33,0,0
68028,54,31,0,0
68028,11,1,0,0
68028,21,1,0,0
68028,53,15,0,0
68028,42,15,0,0
68028,23,93,0,0
68028,61,3,0,0
68028,52,20,0,0
68028,62,26,0,0
68028,81,37,0,0
68028,71,6,0,0
68029,00,15,85,2371
68029,72,1,0,0
68029,56,2,0,0
68029,54,1,0,0
68029,53,1,0,0
68029,42,2,0,0
68029,23,1,0,0
68029,81,1,0,0
68030,00,22,121,5554
68030,72,4,0,0
68030,56,1,0,0
68030,53,1,0,0
68030,23,6,0,0
68030,52,2,0,0
68030,81,1,0,0
68030,71,1,0,0
68031,51,1,0,0
68031,00,41,304,10559
68031,72,2,0,0
68031,55,1,0,0
68031,56,2,0,0
68031,54,1,0,0
68031,53,1,0,0
68031,42,3,0,0
68031,23,7,0,0
68031,52,1,0,0
68031,62,2,0,0
68031,81,8,0,0
68031,71,1,0,0
68033,00,12,25,844
68033,56,2,0,0
68033,54,3,0,0
68033,42,1,0,0
68033,23,4,0,0
68034,00,18,44,1665
68034,72,2,0,0
68034,56,1,0,0
68034,53,1,0,0
68034,42,1,0,0
68034,23,6,0,0
68034,62,1,0,0
68034,81,3,0,0
68036,00,1,0,0
68036,56,1,0,0
68037,00,68,474,21323
68037,72,7,0,0
68037,56,3,0,0
68037,54,5,0,0
68037,11,1,0,0
68037,53,2,0,0
68037,42,4,0,0
68037,23,14,0,0
68037,52,5,0,0
68037,62,5,0,0
68037,81,5,0,0
68037,71,2,0,0
68038,51,1,0,0
68038,00,48,314,9789
68038,72,1,0,0
68038,56,3,0,0
68038,54,1,0,0
68038,53,1,0,0
68038,42,5,0,0
68038,23,11,0,0
68038,52,2,0,0
68038,62,4,0,0
68038,81,9,0,0
68039,00,2,0,0
68039,53,1,0,0
68040,00,9,16,607
68040,56,1,0,0
68040,54,1,0,0
68040,53,1,0,0
68040,23,2,0,0
68040,52,1,0,0
68040,81,2,0,0
68041,00,21,206,6227
68041,72,1,0,0
68041,55,1,0,0
68041,56,1,0,0
68041,42,2,0,0
68041,23,2,0,0
68041,52,2,0,0
68041,62,1,0,0
68041,81,1,0,0
68042,00,2,0,0
68042,72,1,0,0
68042,23,1,0,0
68044,00,9,43,1896
68044,72,2,0,0
68044,56,1,0,0
68044,53,2,0,0
68044,42,2,0,0
68045,00,72,425,20674
68045,72,3,0,0
68045,54,8,0,0
68045,11,1,0,0
68045,53,1,0,0
68045,42,8,0,0
68045,23,8,0,0
68045,52,5,0,0
68045,62,8,0,0
68045,81,9,0,0
68045,71,3,0,0
68046,51,10,0,0
68046,00,639,9756,360552
68046,99,2,0,0
68046,72,41,0,0
68046,55,3,0,0
68046,56,35,0,0
68046,54,56,0,0
68046,21,1,0,0
68046,22,1,0,0
68046,53,29,0,0
68046,42,15,0,0
68046,23,85,0,0
68046,61,5,0,0
68046,52,52,0,0
68046,62,103,0,0
68046,81,75,0,0
68046,71,12,0,0
68047,51,1,0,0
68047,00,62,521,18534
68047,72,2,0,0
68047,56,1,0,0
68047,54,4,0,0
68047,53,1,0,0
68047,42,7,0,0
68047,23,6,0,0
68047,52,6,0,0
68047,62,2,0,0
68047,81,10,0,0
68047,71,1,0,0
68048,51,2,0,0
68048,00,246,1746,55550
68048,99,1,0,0
68048,72,17,0,0
68048,56,10,0,0
68048,54,15,0,0
68048,21,4,0,0
68048,22,1,0,0
68048,53,16,0,0
68048,42,3,0,0
68048,23,36,0,0
68048,61,2,0,0
68048,52,19,0,0
68048,62,22,0,0
68048,81,37,0,0
68048,71,7,0,0
68050,00,9,38,755
68050,72,2,0,0
68050,42,2,0,0
68050,23,1,0,0
68050,52,2,0,0
68050,81,1,0,0
68055,00,1,0,0
68055,23,1,0,0
68056,00,1,0,0
68056,81,1,0,0
68057,00,43,276,6804
68057,72,3,0,0
68057,55,1,0,0
68057,56,1,0,0
68057,54,2,0,0
68057,21,1,0,0
68057,42,4,0,0
68057,23,7,0,0
68057,52,5,0,0
68057,62,3,0,0
68057,81,6,0,0
68058,00,2,0,0
68058,23,1,0,0
68058,52,1,0,0
68059,51,1,0,0
68059,00,88,399,14625
68059,72,3,0,0
68059,56,11,0,0
68059,54,5,0,0
68059,53,6,0,0
68059,42,7,0,0
68059,23,24,0,0
68059,52,3,0,0
68059,62,3,0,0
68059,81,4,0,0
68059,71,1,0,0
68061,51,1,0,0
68061,00,67,339,10541
68061,72,5,0,0
68061,56,3,0,0
68061,54,2,0,0
68061,11,1,0,0
68061,42,5,0,0
68061,23,9,0,0
68061,52,6,0,0
68061,62,6,0,0
68061,81,6,0,0
68061,71,2,0,0
68062,00,5,0,0
68062,99,1,0,0
68062,72,1,0,0
68062,42,1,0,0
68063,00,7,30,517
68063,72,1,0,0
68063,23,2,0,0
68063,52,2,0,0
68064,00,93,3671,180094
68064,72,3,0,0
68064,56,11,0,0
68064,54,4,0,0
68064,21,2,0,0
68064,22,2,0,0
68064,53,1,0,0
68064,42,7,0,0
68064,23,25,0,0
68064,52,5,0,0
68064,62,7,0,0
68064,81,6,0,0
68064,71,2,0,0
68065,00,23,182,7855
68065,72,1,0,0
68065,54,2,0,0
68065,53,1,0,0
68065,42,1,0,0
68065,23,8,0,0
68065,52,2,0,0
68065,62,1,0,0
68065,81,1,0,0
68066,51,2,0,0
68066,00,218,2089,65846
68066,99,1,0,0
68066,72,17,0,0
68066,56,9,0,0
68066,54,26,0,0
68066,11,2,0,0
68066,22,2,0,0
68066,53,7,0,0
68066,42,7,0,0
68066,23,27,0,0
68066,61,3,0,0
68066,52,20,0,0
68066,62,20,0,0
68066,81,24,0,0
68066,71,4,0,0
68067,00,15,76,3566
68067,56,1,0,0
68067,42,2,0,0
68067,23,1,0,0
68067,52,1,0,0
68067,62,4,0,0
68067,81,2,0,0
68067,71,1,0,0
68068,00,3,14,613
68068,56,1,0,0
68069,00,76,466,15837
68069,72,8,0,0
68069,56,12,0,0
68069,54,6,0,0
68069,53,10,0,0
68069,42,5,0,0
68069,23,13,0,0
68069,52,1,0,0
68069,62,3,0,0
68069,81,5,0,0
68069,71,1,0,0
68070,00,15,87,1361
68070,72,1,0,0
68070,54,2,0,0
68070,42,2,0,0
68070,23,4,0,0
68070,52,1,0,0
68070,81,1,0,0
68071,51,1,0,0
68071,00,29,513,34326
68071,56,2,0,0
68071,54,6,0,0
68071,53,1,0,0
68071,42,3,0,0
68071,23,1,0,0
68071,61,2,0,0
68071,52,1,0,0
68071,62,2,0,0
68071,81,2,0,0
68072,00,1,0,0
68072,72,1,0,0
68073,00,34,122,5249
68073,72,2,0,0
68073,56,2,0,0
68073,54,2,0,0
68073,53,3,0,0
68073,23,8,0,0
68073,52,1,0,0
68073,62,3,0,0
68073,81,1,0,0
68101,00,9,93,5353
68101,56,1,0,0
68101,53,1,0,0
68101,42,2,0,0
68101,52,1,0,0
68101,81,1,0,0
68102,51,20,0,0
68102,00,695,19070,1363669
68102,72,121,0,0
68102,55,21,0,0
68102,56,24,0,0
68102,54,165,0,0
68102,22,4,0,0
68102,53,35,0,0
68102,42,33,0,0
68102,23,12,0,0
68102,61,2,0,0
68102,52,55,0,0
68102,62,34,0,0
68102,81,61,0,0
68102,71,21,0,0
68103,00,14,1084,132902
68103,55,1,0,0
68103,56,2,0,0
68103,42,4,0,0
68103,52,2,0,0
68103,62,1,0,0
68103,81,2,0,0
68103,71,1,0,0
68104,51,2,0,0
68104,00,349,3791,104164
68104,99,1,0,0
68104,72,31,0,0
68104,55,1,0,0
68104,56,28,0,0
68104,54,28,0,0
68104,53,7,0,0
68104,42,2,0,0
68104,23,46,0,0
68104,61,10,0,0
68104,52,13,0,0
68104,62,66,0,0
68104,81,61,0,0
68104,71,8,0,0
68105,51,4,0,0
68105,00,308,7289,395174
68105,72,22,0,0
68105,55,6,0,0
68105,56,30,0,0
68105,54,22,0,0
68105,53,17,0,0
68105,42,9,0,0
68105,23,36,0,0
68105,61,1,0,0
68105,52,11,0,0
68105,62,55,0,0
68105,81,41,0,0
68105,71,4,0,0
68106,51,8,0,0
68106,00,522,9983,489390
68106,99,2,0,0
68106,72,53,0,0
68106,56,27,0,0
68106,54,72,0,0
68106,53,28,0,0
68106,42,25,0,0
68106,23,55,0,0
68106,61,10,0,0
68106,52,33,0,0
68106,62,56,0,0
68106,81,62,0,0
68106,71,11,0,0
68107,51,8,0,0
68107,00,450,9356,329115
68107,72,49,0,0
68107,55,2,0,0
68107,56,23,0,0
68107,54,28,0,0
68107,11,1,0,0
68107,53,12,0,0
68107,42,29,0,0
68107,23,43,0,0
68107,61,5,0,0
68107,52,22,0,0
68107,62,44,0,0
68107,81,56,0,0
68107,71,5,0,0
68108,51,5,0,0
68108,00,249,3871,136952
68108,72,30,0,0
68108,55,2,0,0
68108,56,11,0,0
68108,54,13,0,0
68108,53,8,0,0
68108,42,17,0,0
68108,23,29,0,0
68108,61,4,0,0
68108,52,10,0,0
68108,62,26,0,0
68108,81,29,0,0
68108,71,6,0,0
68110,51,2,0,0
68110,00,207,6194,259946
68110,72,9,0,0
68110,55,2,0,0
68110,56,10,0,0
68110,54,8,0,0
68110,53,13,0,0
68110,42,19,0,0
68110,23,18,0,0
68110,61,2,0,0
68110,52,5,0,0
68110,62,18,0,0
68110,81,18,0,0
68110,71,1,0,0
68111,51,1,0,0
68111,00,136,1244,38061
68111,72,9,0,0
68111,56,9,0,0
68111,54,4,0,0
68111,53,3,0,0
