Zipcode,NaicsCode,Establishments,Employees,Payroll
03031,53,10,0,0
03031,23,46,0,0
03031,54,70,0,0
03031,81,35,0,0
03031,71,7,0,0
03031,72,23,0,0
03031,51,5,0,0
03031,52,18,0,0
03031,00,428,4580,220589
03031,61,16,0,0
03031,62,36,0,0
03031,42,30,0,0
03031,56,18,0,0
03032,53,7,0,0
03032,23,45,0,0
03032,54,15,0,0
03032,81,10,0,0
03032,72,6,0,0
03032,52,3,0,0
03032,00,144,1793,111378
03032,62,6,0,0
03032,42,19,0,0
03032,56,14,0,0
03033,23,14,0,0
03033,54,8,0,0
03033,81,4,0,0
03033,72,9,0,0
03033,00,74,607,38056
03033,62,3,0,0
03033,42,3,0,0
03033,56,10,0,0
03034,53,3,0,0
03034,23,30,0,0
03034,54,4,0,0
03034,81,8,0,0
03034,72,5,0,0
03034,52,3,0,0
03034,00,92,653,30840
03034,62,5,0,0
03034,42,4,0,0
03034,56,9,0,0
03036,23,22,0,0
03036,54,8,0,0
03036,81,5,0,0
03036,72,4,0,0
03036,00,64,267,13604
03036,42,6,0,0
03036,56,6,0,0
03037,23,29,0,0
03037,54,9,0,0
03037,81,7,0,0
03037,72,3,0,0
03037,52,3,0,0
03037,00,88,437,19005
03037,62,7,0,0
03037,42,3,0,0
03037,56,11,0,0
03038,53,20,0,0
03038,23,85,0,0
03038,54,46,0,0
03038,81,85,0,0
03038,71,10,0,0
03038,72,64,0,0
03038,51,11,0,0
03038,52,21,0,0
03038,00,673,8302,368795
03038,61,15,0,0
03038,62,91,0,0
03038,42,24,0,0
03038,56,48,0,0
03041,00,4,24,669
03042,23,30,0,0
03042,54,15,0,0
03042,81,25,0,0
03042,71,10,0,0
03042,72,28,0,0
03042,51,7,0,0
03042,52,7,0,0
03042,00,212,3067,92731
03042,62,14,0,0
03042,42,4,0,0
03042,56,13,0,0
03043,23,8,0,0
03043,54,3,0,0
03043,00,23,97,4417
03044,23,15,0,0
03044,54,3,0,0
03044,81,4,0,0
03044,72,3,0,0
03044,00,57,347,13648
03044,62,3,0,0
03044,56,8,0,0
03045,53,7,0,0
03045,23,46,0,0
03045,54,26,0,0
03045,81,38,0,0
03045,71,9,0,0
03045,72,20,0,0
03045,52,11,0,0
03045,00,269,2315,93292
03045,62,21,0,0
03045,42,9,0,0
03045,56,28,0,0
03046,23,19,0,0
03046,54,4,0,0
03046,81,3,0,0
03046,00,37,197,11951
03046,56,4,0,0
03047,23,4,0,0
03047,81,4,0,0
03047,72,5,0,0
03047,00,33,765,33680
03047,62,4,0,0
03047,42,4,0,0
03047,56,4,0,0
03048,23,16,0,0
03048,54,4,0,0
03048,81,7,0,0
03048,71,3,0,0
03048,72,5,0,0
03048,00,63,431,14606
03048,62,3,0,0
03048,56,11,0,0
03049,53,10,0,0
03049,23,21,0,0
03049,11,4,0,0
03049,54,30,0,0
03049,81,4,0,0
03049,71,3,0,0
03049,72,11,0,0
03049,52,9,0,0
03049,00,166,1571,86303
03049,61,3,0,0
03049,62,6,0,0
03049,42,14,0,0
03049,56,18,0,0
03051,53,15,0,0
03051,23,112,0,0
03051,54,52,0,0
03051,81,75,0,0
03051,71,10,0,0
03051,72,49,0,0
03051,51,8,0,0
03051,52,15,0,0
03051,00,633,10188,597276
03051,61,13,0,0
03051,62,35,0,0
03051,42,43,0,0
03051,56,38,0,0
03051,55,3,0,0
03052,23,37,0,0
03052,54,4,0,0
03052,81,8,0,0
03052,72,5,0,0
03052,00,84,537,26794
03052,42,4,0,0
03052,56,11,0,0
03053,53,25,0,0
03053,23,80,0,0
03053,22,3,0,0
03053,54,78,0,0
03053,81,63,0,0
03053,71,10,0,0
03053,72,54,0,0
03053,51,10,0,0
03053,52,31,0,0
03053,00,725,14588,762045
03053,61,12,0,0
03053,62,76,0,0
03053,42,51,0,0
03053,56,57,0,0
03053,55,13,0,0
03054,53,21,0,0
03054,23,82,0,0
03054,54,73,0,0
03054,81,70,0,0
03054,71,10,0,0
03054,72,62,0,0
03054,51,14,0,0
03054,52,56,0,0
03054,00,757,16874,1365231
03054,61,11,0,0
03054,62,56,0,0
03054,42,32,0,0
03054,56,55,0,0
03054,55,5,0,0
03055,53,15,0,0
03055,23,42,0,0
03055,54,28,0,0
03055,81,47,0,0
03055,72,43,0,0
03055,51,4,0,0
03055,52,13,0,0
03055,00,384,6319,300026
03055,62,32,0,0
03055,42,13,0,0
03055,56,32,0,0
03057,23,7,0,0
03057,54,5,0,0
03057,51,3,0,0
03057,00,28,117,16143
03057,56,3,0,0
03060,53,45,0,0
03060,23,73,0,0
03060,54,119,0,0
03060,81,98,0,0
03060,71,15,0,0
03060,72,133,0,0
03060,51,40,0,0
03060,52,49,0,0
03060,00,1280,23130,986270
03060,61,14,0,0
03060,62,216,0,0
03060,42,51,0,0
03060,56,46,0,0
03060,55,8,0,0
03061,53,4,0,0
03061,23,5,0,0
03061,52,3,0,0
03061,00,24,2178,229365
03062,53,25,0,0
03062,23,39,0,0
03062,54,74,0,0
03062,81,32,0,0
03062,71,19,0,0
03062,72,25,0,0
03062,51,10,0,0
03062,52,21,0,0
03062,00,452,9690,718091
03062,61,12,0,0
03062,62,65,0,0
03062,42,36,0,0
03062,56,31,0,0
03062,55,9,0,0
03063,53,29,0,0
03063,23,38,0,0
03063,54,68,0,0
03063,81,58,0,0
03063,71,13,0,0
03063,72,61,0,0
03063,51,18,0,0
03063,52,46,0,0
03063,00,623,11606,584268
03063,61,11,0,0
03063,62,55,0,0
03063,42,42,0,0
03063,56,36,0,0
03063,55,4,0,0
03064,53,10,0,0
03064,23,29,0,0
03064,54,31,0,0
03064,81,34,0,0
03064,71,4,0,0
03064,72,21,0,0
03064,51,5,0,0
03064,52,14,0,0
03064,00,252,3866,279436
03064,61,6,0,0
03064,62,28,0,0
03064,42,17,0,0
03064,56,13,0,0
03070,53,6,0,0
03070,23,23,0,0
03070,54,13,0,0
03070,81,11,0,0
03070,72,3,0,0
03070,00,106,592,25041
03070,62,10,0,0
03070,42,6,0,0
03070,56,10,0,0
03071,23,55,0,0
03071,54,5,0,0
03071,62,7,0,0
03071,81,9,0,0
03071,71,3,0,0
03071,72,5,0,0
03071,52,3,0,0
03071,00,110,870,48811
03071,56,3,0,0
03073,23,3,0,0
03073,00,5,29,1634
03076,53,13,0,0
03076,23,71,0,0
03076,54,23,0,0
03076,81,29,0,0
03076,71,5,0,0
03076,72,18,0,0
03076,51,3,0,0
03076,52,7,0,0
03076,00,292,2099,99562
03076,61,4,0,0
03076,62,15,0,0
03076,42,15,0,0
03076,56,21,0,0
03077,53,3,0,0
03077,23,27,0,0
03077,54,10,0,0
03077,81,32,0,0
03077,72,16,0,0
03077,52,7,0,0
03077,00,186,2885,131999
03077,62,21,0,0
03077,42,6,0,0
03077,56,17,0,0
03079,53,37,0,0
03079,23,87,0,0
03079,54,126,0,0
03079,81,108,0,0
03079,71,27,0,0
03079,72,110,0,0
03079,51,21,0,0
03079,52,71,0,0
03079,00,1278,23877,1169213
03079,61,15,0,0
03079,62,116,0,0
03079,42,98,0,0
03079,56,67,0,0
03079,55,13,0,0
03082,23,8,0,0
03082,54,4,0,0
03082,00,24,64,4151
03084,23,4,0,0
03084,81,5,0,0
03084,00,27,139,3727
03084,62,5,0,0
03086,23,11,0,0
03086,54,18,0,0
03086,81,5,0,0
03086,71,4,0,0
03086,72,10,0,0
03086,51,4,0,0
03086,52,3,0,0
03086,00,103,1442,62478
03086,61,3,0,0
03086,62,4,0,0
03086,56,9,0,0
03087,53,15,0,0
03087,23,61,0,0
03087,54,35,0,0
03087,81,32,0,0
03087,71,14,0,0
03087,72,29,0,0
03087,51,10,0,0
03087,52,23,0,0
