Zipcode,NaicsCode,Establishments,Employees,Payroll
07001,23,13,0,0
07001,00,380,5857,256871
07001,55,5,0,0
07001,56,21,0,0
07001,54,32,0,0
07001,72,37,0,0
07001,53,8,0,0
07001,51,3,0,0
07001,52,16,0,0
07001,61,3,0,0
07001,71,1,0,0
07001,62,33,0,0
07001,42,48,0,0
07001,81,31,0,0
07002,22,2,0,0
07002,23,79,0,0
07002,00,1116,12890,518466
07002,55,3,0,0
07002,56,33,0,0
07002,54,76,0,0
07002,72,130,0,0
07002,53,37,0,0
07002,51,6,0,0
07002,52,56,0,0
07002,61,9,0,0
07002,71,9,0,0
07002,62,182,0,0
07002,42,57,0,0
07002,99,3,0,0
07002,81,146,0,0
07003,23,79,0,0
07003,00,977,13508,478026
07003,55,9,0,0
07003,56,63,0,0
07003,54,110,0,0
07003,72,95,0,0
07003,53,55,0,0
07003,51,9,0,0
07003,52,48,0,0
07003,61,12,0,0
07003,71,19,0,0
07003,62,148,0,0
07003,42,40,0,0
07003,99,1,0,0
07003,81,114,0,0
07004,22,1,0,0
07004,23,130,0,0
07004,00,1303,21922,1262748
07004,55,9,0,0
07004,56,99,0,0
07004,54,197,0,0
07004,72,56,0,0
07004,53,45,0,0
07004,51,20,0,0
07004,52,76,0,0
07004,61,21,0,0
07004,71,14,0,0
07004,62,48,0,0
07004,42,246,0,0
07004,99,1,0,0
07004,81,58,0,0
07005,11,2,0,0
07005,22,2,0,0
07005,23,60,0,0
07005,00,507,4194,199773
07005,55,2,0,0
07005,56,36,0,0
07005,54,81,0,0
07005,72,42,0,0
07005,53,11,0,0
07005,51,16,0,0
07005,52,20,0,0
07005,61,10,0,0
07005,71,3,0,0
07005,62,32,0,0
07005,42,33,0,0
07005,99,1,0,0
07005,81,53,0,0
07006,23,81,0,0
07006,00,904,11814,613098
07006,55,3,0,0
07006,56,55,0,0
07006,54,147,0,0
07006,72,67,0,0
07006,53,51,0,0
07006,51,13,0,0
07006,52,60,0,0
07006,61,11,0,0
07006,71,6,0,0
07006,62,103,0,0
07006,42,72,0,0
07006,99,3,0,0
07006,81,106,0,0
07007,23,1,0,0
07007,00,6,0,0
07007,56,1,0,0
07007,52,2,0,0
07007,81,1,0,0
07008,23,33,0,0
07008,00,320,7006,372494
07008,55,1,0,0
07008,56,15,0,0
07008,54,28,0,0
07008,72,28,0,0
07008,53,10,0,0
07008,51,6,0,0
07008,52,10,0,0
07008,61,3,0,0
07008,71,1,0,0
07008,62,21,0,0
07008,42,40,0,0
07008,81,33,0,0
07009,23,32,0,0
07009,00,360,4581,199173
07009,56,32,0,0
07009,54,44,0,0
07009,72,22,0,0
07009,53,8,0,0
07009,51,5,0,0
07009,52,26,0,0
07009,61,8,0,0
07009,71,7,0,0
07009,62,55,0,0
07009,42,31,0,0
07009,81,31,0,0
07010,22,1,0,0
07010,23,53,0,0
07010,00,454,1724,59954
07010,56,21,0,0
07010,54,50,0,0
07010,72,54,0,0
07010,53,18,0,0
07010,51,8,0,0
07010,52,11,0,0
07010,61,6,0,0
07010,71,5,0,0
07010,62,63,0,0
07010,42,36,0,0
07010,81,60,0,0
07011,22,3,0,0
07011,23,93,0,0
07011,00,846,8812,374066
07011,55,2,0,0
07011,56,38,0,0
07011,54,73,0,0
07011,72,76,0,0
07011,53,22,0,0
07011,51,4,0,0
07011,52,35,0,0
07011,61,12,0,0
07011,71,7,0,0
07011,62,105,0,0
07011,42,58,0,0
07011,81,96,0,0
07012,22,1,0,0
07012,23,30,0,0
07012,00,419,6781,257123
07012,55,2,0,0
07012,56,30,0,0
07012,54,44,0,0
07012,72,32,0,0
07012,53,18,0,0
07012,51,5,0,0
07012,52,14,0,0
07012,61,7,0,0
07012,71,6,0,0
07012,62,40,0,0
07012,42,49,0,0
07012,81,36,0,0
07013,23,92,0,0
07013,00,850,10485,454237
07013,56,33,0,0
07013,54,118,0,0
07013,72,41,0,0
07013,53,35,0,0
07013,51,9,0,0
07013,52,35,0,0
07013,61,10,0,0
07013,71,10,0,0
07013,62,229,0,0
07013,42,55,0,0
07013,99,2,0,0
07013,81,80,0,0
07014,23,18,0,0
07014,00,226,6675,342977
07014,55,4,0,0
07014,56,12,0,0
07014,54,13,0,0
07014,72,22,0,0
07014,53,11,0,0
07014,51,6,0,0
07014,52,8,0,0
07014,61,1,0,0
07014,71,3,0,0
07014,62,8,0,0
07014,42,33,0,0
07014,81,15,0,0
07015,23,3,0,0
07015,00,44,452,15939
07015,56,2,0,0
07015,54,3,0,0
07015,72,4,0,0
07015,53,7,0,0
07015,51,1,0,0
07015,52,2,0,0
07015,62,5,0,0
07015,42,8,0,0
07015,81,3,0,0
07016,22,2,0,0
07016,23,59,0,0
07016,00,739,12107,698835
07016,55,9,0,0
07016,56,54,0,0
07016,54,118,0,0
07016,72,47,0,0
07016,53,26,0,0
07016,51,17,0,0
07016,52,77,0,0
07016,61,9,0,0
07016,71,9,0,0
07016,62,91,0,0
07016,42,54,0,0
07016,99,2,0,0
07016,81,64,0,0
07017,22,1,0,0
07017,23,19,0,0
07017,00,244,3349,111338
07017,56,17,0,0
07017,54,11,0,0
07017,72,13,0,0
07017,53,26,0,0
07017,51,3,0,0
07017,52,5,0,0
07017,61,6,0,0
07017,71,3,0,0
07017,62,45,0,0
07017,42,8,0,0
07017,99,1,0,0
07017,81,32,0,0
07018,23,11,0,0
07018,00,429,7070,332875
07018,55,2,0,0
07018,56,10,0,0
07018,54,22,0,0
07018,72,32,0,0
07018,53,27,0,0
07018,51,2,0,0
07018,52,10,0,0
07018,61,4,0,0
07018,71,2,0,0
07018,62,104,0,0
07018,42,10,0,0
07018,99,1,0,0
07018,81,66,0,0
07019,23,1,0,0
07019,00,12,60,2895
07019,55,1,0,0
07019,54,1,0,0
07019,53,1,0,0
07019,52,1,0,0
07019,61,1,0,0
07019,62,2,0,0
07019,81,1,0,0
07020,21,1,0,0
07020,23,9,0,0
07020,00,434,4348,153721
07020,55,2,0,0
07020,56,12,0,0
07020,54,65,0,0
07020,72,57,0,0
07020,53,25,0,0
07020,51,10,0,0
07020,52,15,0,0
07020,61,4,0,0
07020,71,14,0,0
07020,62,47,0,0
07020,42,29,0,0
07020,81,56,0,0
07021,23,5,0,0
07021,00,46,170,8745
07021,56,2,0,0
07021,54,10,0,0
07021,72,1,0,0
07021,53,4,0,0
07021,51,1,0,0
07021,52,2,0,0
07021,71,4,0,0
07021,62,3,0,0
07021,42,2,0,0
07021,81,4,0,0
07022,23,29,0,0
07022,00,319,2163,67315
07022,55,1,0,0
07022,56,15,0,0
07022,54,12,0,0
07022,72,34,0,0
07022,53,12,0,0
07022,51,1,0,0
07022,52,7,0,0
07022,61,3,0,0
07022,71,2,0,0
07022,62,14,0,0
07022,42,44,0,0
07022,99,1,0,0
07022,81,38,0,0
07023,23,9,0,0
07023,00,175,2175,56328
07023,55,12,0,0
07023,56,11,0,0
07023,54,33,0,0
07023,72,11,0,0
07023,53,1,0,0
07023,52,11,0,0
07023,61,4,0,0
07023,71,1,0,0
07023,62,26,0,0
07023,42,9,0,0
07023,81,23,0,0
07024,22,1,0,0
07024,23,55,0,0
07024,00,1547,9622,587940
07024,55,10,0,0
07024,56,74,0,0
07024,54,266,0,0
07024,72,126,0,0
07024,53,119,0,0
07024,51,27,0,0
07024,52,116,0,0
07024,61,27,0,0
07024,71,19,0,0
07024,62,196,0,0
07024,42,176,0,0
07024,99,2,0,0
07024,81,152,0,0
07026,21,1,0,0
07026,23,120,0,0
07026,00,593,4321,143867
07026,55,1,0,0
07026,56,22,0,0
07026,54,38,0,0
07026,72,44,0,0
07026,53,11,0,0
07026,51,3,0,0
07026,52,18,0,0
07026,61,8,0,0
07026,71,2,0,0
07026,62,33,0,0
07026,42,47,0,0
07026,81,82,0,0
07027,23,19,0,0
07027,00,167,1990,64169
07027,55,3,0,0
07027,56,10,0,0
07027,54,5,0,0
07027,72,23,0,0
07027,53,3,0,0
07027,52,5,0,0
07027,61,4,0,0
07027,71,5,0,0
07027,62,7,0,0
07027,42,11,0,0
07027,81,26,0,0
07028,23,10,0,0
07028,00,133,737,44357
07028,56,9,0,0
07028,54,24,0,0
07028,72,8,0,0
07028,53,1,0,0
07028,51,2,0,0
07028,52,8,0,0
07028,61,1,0,0
07028,71,6,0,0
07028,62,36,0,0
07028,42,3,0,0
07028,99,1,0,0
07028,81,14,0,0
07029,22,1,0,0
07029,23,28,0,0
07029,00,308,3819,155843
07029,55,1,0,0
07029,56,12,0,0
07029,54,24,0,0
07029,72,40,0,0
07029,53,9,0,0
07029,51,2,0,0
07029,52,14,0,0
07029,61,5,0,0
07029,71,3,0,0
07029,62,28,0,0
07029,42,19,0,0
07029,81,37,0,0
07030,22,1,0,0
07030,23,55,0,0
07030,00,1316,18481,937366
07030,55,7,0,0
07030,56,40,0,0
07030,54,203,0,0
07030,72,213,0,0
07030,53,80,0,0
07030,51,38,0,0
07030,52,93,0,0
07030,61,28,0,0
07030,71,27,0,0
07030,62,134,0,0
07030,42,49,0,0
07030,99,3,0,0
07030,81,130,0,0
07031,23,43,0,0
07031,00,314,2989,102189
07031,55,1,0,0
07031,56,14,0,0
07031,54,20,0,0
07031,72,38,0,0
07031,53,11,0,0
07031,51,4,0,0
07031,52,22,0,0
07031,71,3,0,0
07031,62,39,0,0
07031,42,15,0,0
07031,99,1,0,0
07031,81,31,0,0
07032,22,1,0,0
07032,23,108,0,0
07032,00,874,11830,566663
07032,55,8,0,0
07032,56,43,0,0
07032,54,49,0,0
07032,72,58,0,0
07032,53,37,0,0
07032,51,7,0,0
07032,52,37,0,0
07032,61,6,0,0
07032,71,4,0,0
07032,62,77,0,0
07032,42,78,0,0
07032,99,1,0,0
07032,81,78,0,0
07033,22,1,0,0
07033,23,69,0,0
07033,00,423,8969,583141
07033,55,3,0,0
07033,56,34,0,0
07033,54,26,0,0
07033,72,38,0,0
07033,53,12,0,0
07033,51,2,0,0
07033,52,16,0,0
07033,61,6,0,0
07033,71,3,0,0
07033,62,22,0,0
07033,42,65,0,0
07033,81,35,0,0
07034,23,8,0,0
07034,00,127,511,17053
07034,56,11,0,0
07034,54,25,0,0
07034,72,17,0,0
07034,53,1,0,0
07034,51,2,0,0
07034,52,8,0,0
07034,61,3,0,0
07034,71,3,0,0
07034,62,11,0,0
07034,99,1,0,0
07034,81,16,0,0
07035,23,49,0,0
07035,00,261,3905,152884
07035,55,1,0,0
07035,56,21,0,0
07035,54,24,0,0
07035,72,17,0,0
07035,53,8,0,0
07035,51,6,0,0
07035,52,11,0,0
07035,61,7,0,0
07035,71,3,0,0
07035,62,26,0,0
07035,42,19,0,0
07035,81,25,0,0
07036,22,1,0,0
07036,23,121,0,0
07036,00,1190,16933,814004
07036,55,6,0,0
07036,56,54,0,0
07036,54,56,0,0
07036,72,95,0,0
07036,53,27,0,0
07036,51,15,0,0
07036,52,32,0,0
07036,61,11,0,0
07036,71,8,0,0
07036,62,72,0,0
07036,42,123,0,0
07036,81,134,0,0
07039,23,78,0,0
07039,00,1319,20801,1223535
07039,55,10,0,0
07039,56,69,0,0
07039,54,210,0,0
07039,72,84,0,0
07039,53,60,0,0
07039,51,21,0,0
07039,52,98,0,0
07039,61,38,0,0
07039,71,15,0,0
07039,62,255,0,0
07039,42,55,0,0
07039,81,106,0,0
07040,23,36,0,0
07040,00,498,4234,185015
07040,56,23,0,0
07040,54,79,0,0
07040,72,42,0,0
07040,53,17,0,0
07040,51,8,0,0
07040,52,24,0,0
07040,61,13,0,0
07040,71,22,0,0
07040,62,66,0,0
07040,42,14,0,0
07040,99,4,0,0
07040,81,56,0,0
07041,23,12,0,0
07041,00,473,4752,258883
07041,55,1,0,0
07041,56,17,0,0
07041,54,81,0,0
07041,72,41,0,0
07041,53,24,0,0
07041,51,11,0,0
07041,52,37,0,0
07041,61,7,0,0
07041,71,11,0,0
07041,62,105,0,0
07041,42,18,0,0
07041,81,46,0,0
07042,23,39,0,0
07042,00,948,9250,359879
07042,55,1,0,0
07042,56,32,0,0
07042,54,158,0,0
07042,72,97,0,0
07042,53,50,0,0
07042,51,33,0,0
07042,52,33,0,0
07042,61,25,0,0
07042,71,36,0,0
07042,62,166,0,0
07042,42,25,0,0
07042,99,2,0,0
07042,81,117,0,0
07043,23,11,0,0
07043,00,382,2523,88570
07043,56,13,0,0
07043,54,71,0,0
07043,72,54,0,0
07043,53,13,0,0
07043,51,8,0,0
07043,52,21,0,0
07043,61,11,0,0
07043,71,20,0,0
07043,62,50,0,0
07043,42,6,0,0
07043,99,1,0,0
07043,81,46,0,0
07044,23,39,0,0
07044,00,426,3673,128936
07044,55,2,0,0
07044,56,26,0,0
07044,54,63,0,0
07044,72,28,0,0
07044,53,22,0,0
07044,51,6,0,0
07044,52,27,0,0
07044,61,9,0,0
07044,71,8,0,0
07044,62,67,0,0
07044,42,16,0,0
07044,99,2,0,0
07044,81,53,0,0
07045,23,40,0,0
07045,00,360,2633,120323
07045,55,1,0,0
07045,56,30,0,0
07045,54,93,0,0
07045,72,12,0,0
07045,53,12,0,0
07045,51,3,0,0
07045,52,22,0,0
07045,61,5,0,0
07045,71,6,0,0
07045,62,48,0,0
07045,42,28,0,0
07045,81,21,0,0
07046,23,6,0,0
07046,00,147,2028,81668
07046,55,1,0,0
07046,56,6,0,0
07046,54,22,0,0
07046,72,6,0,0
07046,53,11,0,0
07046,51,6,0,0
07046,52,9,0,0
07046,61,4,0,0
07046,71,1,0,0
07046,62,34,0,0
07046,42,8,0,0
07046,81,16,0,0
07047,23,83,0,0
07047,00,1146,16246,706431
07047,55,4,0,0
07047,56,50,0,0
07047,54,78,0,0
07047,72,116,0,0
07047,53,56,0,0
07047,51,18,0,0
07047,52,31,0,0
07047,61,5,0,0
07047,71,12,0,0
07047,62,100,0,0
07047,42,124,0,0
07047,99,2,0,0
07047,81,133,0,0
07050,22,2,0,0
07050,23,46,0,0
07050,00,497,4071,129837
07050,55,2,0,0
07050,56,26,0,0
07050,54,15,0,0
07050,72,46,0,0
07050,53,32,0,0
07050,51,5,0,0
07050,52,12,0,0
07050,61,6,0,0
07050,71,1,0,0
07050,62,69,0,0
07050,42,17,0,0
07050,81,65,0,0
07051,22,1,0,0
07051,23,1,0,0
07051,00,20,126,6675
07051,56,2,0,0
07051,53,6,0,0
07051,52,1,0,0
07051,62,2,0,0
07051,42,2,0,0
07051,81,1,0,0
07052,23,85,0,0
07052,00,1162,13916,676433
07052,55,4,0,0
07052,56,77,0,0
07052,54,172,0,0
07052,72,87,0,0
07052,53,63,0,0
07052,51,22,0,0
07052,52,64,0,0
07052,61,16,0,0
07052,71,26,0,0
07052,62,262,0,0
07052,42,43,0,0
07052,99,2,0,0
07052,81,106,0,0
07054,21,1,0,0
07054,22,1,0,0
07054,23,65,0,0
07054,00,1834,56049,4785773
07054,55,113,0,0
07054,56,146,0,0
07054,54,385,0,0
07054,72,152,0,0
07054,53,102,0,0
07054,51,56,0,0
07054,52,198,0,0
07054,61,20,0,0
07054,71,19,0,0
07054,62,162,0,0
07054,42,136,0,0
07054,99,1,0,0
07054,81,73,0,0
07055,23,71,0,0
07055,00,1194,18603,444846
07055,55,1,0,0
07055,56,53,0,0
07055,54,64,0,0
07055,72,120,0,0
07055,53,47,0,0
07055,51,15,0,0
07055,52,40,0,0
07055,61,17,0,0
07055,71,13,0,0
07055,62,124,0,0
07055,42,84,0,0
07055,99,1,0,0
07055,81,140,0,0
07057,23,46,0,0
07057,00,216,2193,106963
07057,56,12,0,0
07057,54,12,0,0
07057,72,24,0,0
07057,53,9,0,0
07057,51,3,0,0
07057,52,12,0,0
07057,61,2,0,0
07057,71,5,0,0
07057,62,18,0,0
07057,42,15,0,0
07057,81,16,0,0
07058,22,1,0,0
07058,23,23,0,0
07058,00,294,4847,289303
07058,55,1,0,0
07058,56,15,0,0
07058,54,50,0,0
07058,72,27,0,0
07058,53,9,0,0
07058,51,5,0,0
07058,52,7,0,0
07058,61,6,0,0
07058,71,7,0,0
07058,62,6,0,0
07058,42,69,0,0
07058,81,20,0,0
07059,22,1,0,0
07059,23,72,0,0
07059,00,739,10984,1167390
07059,55,7,0,0
07059,56,55,0,0
07059,54,153,0,0
07059,72,54,0,0
07059,53,24,0,0
07059,51,22,0,0
07059,52,65,0,0
07059,61,13,0,0
07059,71,14,0,0
07059,62,98,0,0
07059,42,34,0,0
07059,99,3,0,0
07059,81,60,0,0
07060,22,1,0,0
07060,23,70,0,0
07060,00,869,7205,215704
07060,55,2,0,0
07060,56,50,0,0
07060,54,50,0,0
07060,72,93,0,0
07060,53,32,0,0
07060,51,4,0,0
07060,52,33,0,0
07060,61,19,0,0
07060,71,9,0,0
07060,62,127,0,0
07060,42,26,0,0
07060,81,126,0,0
07061,23,1,0,0
07061,00,16,0,0
07061,56,1,0,0
07061,54,1,0,0
07061,62,2,0,0
07061,42,1,0,0
07061,81,5,0,0
07062,22,3,0,0
07062,23,24,0,0
07062,00,151,1033,43670
07062,56,12,0,0
07062,54,5,0,0
07062,72,19,0,0
07062,53,5,0,0
07062,51,6,0,0
07062,52,3,0,0
07062,61,2,0,0
07062,71,1,0,0
