Zipcode,NaicsCode,Establishments,Employees,Payroll
87001,326140,1,0,0
87001,327390,1,0,0
87001,337122,1,0,0
87001,311612,1,0,0
87001,484121,1,0,0
87001,713210,1,0,0
87001,813110,1,0,0
87001,523920,1,0,0
87001,512131,1,0,0
87001,447110,1,0,0
87001,562111,1,0,0
87001,423990,1,0,0
87001,238210,1,0,0
87001,519130,1,0,0
87001,236115,2,0,0
87001,236118,1,0,0
87002,722511,11,0,0
87002,722513,15,0,0
87002,324191,1,0,0
87002,325180,1,0,0
87002,326113,1,0,0
87002,326199,1,0,0
87002,327320,1,0,0
87002,327390,1,0,0
87002,327410,1,0,0
87002,327420,1,0,0
87002,327991,1,0,0
87002,332114,1,0,0
87002,332322,1,0,0
87002,332323,1,0,0
87002,561611,2,0,0
87002,561710,1,0,0
87002,722514,1,0,0
87002,423120,1,0,0
87002,486210,1,0,0
87002,488190,2,0,0
87002,621511,1,0,0
87002,621610,2,0,0
87002,623110,1,0,0
87002,541110,3,0,0
87002,624190,2,0,0
87002,624410,3,0,0
87002,311611,1,0,0
87002,532291,1,0,0
87002,532490,1,0,0
87002,623990,1,0,0
87002,624221,1,0,0
87002,484110,2,0,0
87002,484121,3,0,0
87002,484220,2,0,0
87002,425120,1,0,0
87002,441110,1,0,0
87002,441228,1,0,0
87002,441310,3,0,0
87002,441320,1,0,0
87002,454390,2,0,0
87002,481219,1,0,0
87002,484230,1,0,0
87002,711510,1,0,0
87002,713910,1,0,0
87002,713940,1,0,0
87002,541940,1,0,0
87002,813110,12,0,0
87002,813410,2,0,0
87002,444190,1,0,0
87002,444220,1,0,0
87002,445110,2,0,0
87002,445210,1,0,0
87002,541990,2,0,0
87002,813910,2,0,0
87002,813930,1,0,0
87002,813990,2,0,0
87002,531210,2,0,0
87002,811310,4,0,0
87002,812112,2,0,0
87002,442110,1,0,0
87002,442210,1,0,0
87002,443142,2,0,0
87002,444110,1,0,0
87002,531130,5,0,0
87002,531311,3,0,0
87002,531320,1,0,0
87002,532210,2,0,0
87002,811212,1,0,0
87002,811490,1,0,0
87002,424490,1,0,0
87002,424690,2,0,0
87002,424710,1,0,0
87002,522292,1,0,0
87002,522390,1,0,0
87002,812210,2,0,0
87002,812220,1,0,0
87002,812310,1,0,0
87002,812320,1,0,0
87002,237110,1,0,0
87002,517110,3,0,0
87002,811111,5,0,0
87002,237210,1,0,0
87002,238110,2,0,0
87002,238160,1,0,0
87002,811112,1,0,0
87002,811121,1,0,0
87002,811122,1,0,0
87002,811191,1,0,0
87002,811192,2,0,0
87002,238990,1,0,0
87002,238320,1,0,0
87002,541840,1,0,0
87002,447110,6,0,0
87002,561730,4,0,0
87002,423310,1,0,0
87002,447190,1,0,0
87002,448140,1,0,0
87002,448310,1,0,0
87002,562111,2,0,0
87002,541211,2,0,0
87002,541219,1,0,0
87002,333131,1,0,0
87002,541213,1,0,0
87002,541611,1,0,0
87002,423820,1,0,0
87002,423830,1,0,0
87002,423840,1,0,0
87002,238210,6,0,0
87002,238220,1,0,0
87002,452990,4,0,0
87002,611110,1,0,0
87002,238190,1,0,0
87002,452910,1,0,0
87002,453110,1,0,0
87002,562910,1,0,0
87002,562991,1,0,0
87002,611610,1,0,0
87002,611620,1,0,0
87002,221310,2,0,0
87002,522110,6,0,0
87002,522130,2,0,0
87002,522291,6,0,0
87002,621340,1,0,0
87002,621498,1,0,0
87002,115310,1,0,0
87002,213111,2,0,0
87002,221112,1,0,0
87002,221122,1,0,0
87002,221210,1,0,0
87002,621310,1,0,0
87002,621320,1,0,0
87002,621330,1,0,0
87002,621399,1,0,0
87002,446110,3,0,0
87002,524210,8,0,0
87002,531110,1,0,0
87002,621111,3,0,0
87002,621210,5,0,0
87002,445310,2,0,0
87002,446199,1,0,0
87002,611691,1,0,0
87002,611710,1,0,0
87002,236115,3,0,0
87002,236117,1,0,0
87002,236118,2,0,0
87002,236220,5,0,0
87002,721110,1,0,0
87002,722310,1,0,0
87002,453998,1,0,0
87002,454310,1,0,0
87002,721310,1,0,0
87004,722511,8,0,0
87004,722513,11,0,0
87004,722515,3,0,0
87004,324121,1,0,0
87004,325314,1,0,0
87004,327332,1,0,0
87004,327390,1,0,0
87004,332312,3,0,0
87004,332323,1,0,0
87004,561520,1,0,0
87004,337110,1,0,0
87004,337212,1,0,0
87004,423210,1,0,0
87004,493110,1,0,0
87004,621511,1,0,0
87004,623210,1,0,0
87004,541110,1,0,0
87004,624120,3,0,0
87004,624190,2,0,0
87004,624410,4,0,0
87004,311613,1,0,0
87004,532490,1,0,0
87004,624110,1,0,0
87004,624229,1,0,0
87004,484110,1,0,0
87004,425120,1,0,0
87004,441310,2,0,0
87004,441320,3,0,0
87004,454390,1,0,0
87004,711310,1,0,0
87004,713210,1,0,0
87004,713910,2,0,0
87004,713940,2,0,0
87004,541940,1,0,0
87004,813110,2,0,0
87004,444210,1,0,0
87004,444220,1,0,0
87004,445110,1,0,0
87004,551114,1,0,0
87004,813211,1,0,0
87004,813212,1,0,0
87004,813910,1,0,0
87004,531210,2,0,0
87004,812112,3,0,0
87004,443142,2,0,0
87004,444130,1,0,0
87004,531130,2,0,0
87004,811412,1,0,0
87004,812199,1,0,0
87004,424490,1,0,0
87004,424710,1,0,0
87004,424720,1,0,0
87004,524126,1,0,0
87004,812310,1,0,0
87004,812990,1,0,0
87004,237110,1,0,0
87004,517110,1,0,0
87004,811111,1,0,0
87004,237130,2,0,0
87004,238110,1,0,0
87004,238130,1,0,0
87004,238140,1,0,0
87004,238160,1,0,0
87004,811192,1,0,0
87004,238910,2,0,0
87004,238990,1,0,0
87004,238340,1,0,0
87004,541690,1,0,0
87004,447110,6,0,0
87004,561720,1,0,0
87004,561730,1,0,0
87004,423320,2,0,0
87004,447190,1,0,0
87004,448120,1,0,0
87004,561790,1,0,0
87004,562111,1,0,0
87004,541219,2,0,0
87004,332710,1,0,0
87004,541213,2,0,0
87004,541330,1,0,0
87004,541340,1,0,0
87004,423820,1,0,0
87004,541430,1,0,0
87004,238210,3,0,0
87004,238220,5,0,0
87004,452990,2,0,0
87004,611110,1,0,0
87004,452910,1,0,0
87004,453210,1,0,0
87004,611430,1,0,0
87004,611610,1,0,0
87004,611620,1,0,0
87004,221310,1,0,0
87004,522110,4,0,0
87004,522130,1,0,0
87004,522291,4,0,0
87004,621340,1,0,0
87004,621498,1,0,0
87004,212399,2,0,0
87004,213115,1,0,0
87004,221122,1,0,0
87004,621320,1,0,0
87004,446110,2,0,0
87004,524210,2,0,0
87004,621111,1,0,0
87004,621210,1,0,0
87004,445310,2,0,0
87004,531120,1,0,0
87004,236115,1,0,0
87004,236118,2,0,0
87004,236220,1,0,0
87004,453220,2,0,0
87004,721110,5,0,0
87004,722310,2,0,0
87004,453310,1,0,0
87004,453910,1,0,0
87004,453920,1,0,0
87004,453998,1,0,0
87004,721211,1,0,0
87004,721214,1,0,0
87005,447110,1,0,0
87006,541110,1,0,0
87006,811310,1,0,0
87006,238140,1,0,0
87006,541211,1,0,0
87006,238210,2,0,0
87007,561710,1,0,0
87007,311811,1,0,0
87007,713210,1,0,0
87007,445110,1,0,0
87007,541614,1,0,0
87008,722511,4,0,0
87008,722513,2,0,0
87008,722515,2,0,0
87008,621610,1,0,0
87008,624120,1,0,0
87008,532230,1,0,0
87008,623990,1,0,0
87008,441228,1,0,0
87008,441320,1,0,0
87008,713920,1,0,0
87008,541940,1,0,0
87008,813110,5,0,0
87008,445110,1,0,0
87008,541990,1,0,0
87008,551114,1,0,0
87008,813211,1,0,0
87008,531210,7,0,0
87008,811310,1,0,0
87008,444130,1,0,0
87008,531190,1,0,0
87008,531311,1,0,0
87008,523110,1,0,0
87008,523910,1,0,0
87008,811111,1,0,0
87008,238350,1,0,0
87008,541620,1,0,0
87008,541690,1,0,0
87008,447110,5,0,0
87008,448210,1,0,0
87008,562111,1,0,0
87008,541219,1,0,0
87008,541330,1,0,0
87008,541611,2,0,0
87008,423910,1,0,0
87008,424210,1,0,0
87008,238210,1,0,0
87008,238220,1,0,0
87008,522110,1,0,0
87008,621320,1,0,0
87008,446110,1,0,0
87008,524210,1,0,0
87008,621111,3,0,0
87008,621210,1,0,0
87008,611699,1,0,0
87008,236117,1,0,0
87008,236118,3,0,0
87008,453220,1,0,0
87008,721211,1,0,0
87010,722410,1,0,0
87010,722513,1,0,0
87010,722515,1,0,0
87010,561499,1,0,0
87010,711510,1,0,0
87010,813110,1,0,0
87010,813312,1,0,0
87010,442299,1,0,0
87010,424920,1,0,0
87010,238910,1,0,0
87010,448190,1,0,0
87010,448310,1,0,0
87010,541611,1,0,0
87010,221310,1,0,0
87010,621498,1,0,0
87010,453220,1,0,0
87010,453920,1,0,0
87010,721191,1,0,0
87011,531190,1,0,0
87012,541330,1,0,0
87012,621111,1,0,0
87012,453220,2,0,0
87013,722511,4,0,0
87013,722513,4,0,0
87013,485410,1,0,0
87013,492110,1,0,0
87013,621910,1,0,0
87013,621999,1,0,0
87013,624120,1,0,0
87013,623990,1,0,0
87013,441310,2,0,0
87013,441320,1,0,0
87013,813110,1,0,0
87013,444220,1,0,0
87013,445110,1,0,0
87013,813319,1,0,0
87013,443142,1,0,0
87013,444130,1,0,0
87013,812310,1,0,0
87013,517110,1,0,0
87013,447110,7,0,0
87013,562111,1,0,0
87013,541219,1,0,0
87013,452990,1,0,0
87013,611110,1,0,0
87013,611519,1,0,0
87013,522110,1,0,0
87013,522130,1,0,0
87013,522291,1,0,0
87013,621498,2,0,0
87013,113310,1,0,0
87013,211111,1,0,0
87013,213112,2,0,0
87013,221122,1,0,0
87013,221210,1,0,0
87013,531110,1,0,0
87013,445310,1,0,0
87013,236115,1,0,0
87013,721110,3,0,0
87013,453310,1,0,0
87013,454310,1,0,0
87013,721214,1,0,0
87014,485210,1,0,0
87014,447110,1,0,0
87014,541214,1,0,0
87014,221118,1,0,0
87015,722511,2,0,0
87015,722513,8,0,0
87015,561410,1,0,0
87015,561612,1,0,0
87015,722514,1,0,0
87015,339116,1,0,0
87015,486210,1,0,0
87015,488190,1,0,0
87015,623312,1,0,0
87015,541110,2,0,0
87015,624410,2,0,0
87015,311421,1,0,0
87015,312112,1,0,0
87015,316998,1,0,0
87015,532310,1,0,0
87015,484121,3,0,0
87015,484220,1,0,0
87015,425120,1,0,0
87015,441110,1,0,0
87015,441228,1,0,0
87015,441310,2,0,0
87015,711510,1,0,0
87015,541940,4,0,0
87015,813110,13,0,0
87015,445110,1,0,0
87015,561110,1,0,0
87015,561210,1,0,0
87015,813312,1,0,0
87015,531210,2,0,0
87015,811310,1,0,0
87015,812112,1,0,0
87015,442110,1,0,0
87015,442210,1,0,0
87015,443141,1,0,0
87015,444110,1,0,0
87015,531130,2,0,0
87015,531320,2,0,0
87015,532210,1,0,0
87015,811490,1,0,0
87015,424720,1,0,0
87015,522310,1,0,0
87015,524128,1,0,0
87015,237110,1,0,0
87015,517110,1,0,0
87015,811111,2,0,0
87015,238110,2,0,0
87015,238130,1,0,0
87015,238160,2,0,0
87015,511110,1,0,0
87015,511199,1,0,0
87015,811121,1,0,0
87015,811122,1,0,0
87015,238910,3,0,0
87015,238990,3,0,0
87015,238340,1,0,0
87015,541620,1,0,0
87015,541690,2,0,0
87015,541712,1,0,0
87015,447110,1,0,0
87015,561720,1,0,0
87015,561730,1,0,0
87015,423450,1,0,0
87015,423610,1,0,0
87015,447190,1,0,0
87015,541211,1,0,0
87015,541219,1,0,0
87015,332710,2,0,0
87015,332992,1,0,0
87015,541213,1,0,0
87015,541310,1,0,0
87015,541330,4,0,0
87015,541370,1,0,0
87015,423820,1,0,0
87015,423910,1,0,0
87015,423940,1,0,0
87015,238210,4,0,0
87015,238220,3,0,0
87015,452990,1,0,0
87015,238190,2,0,0
87015,238310,1,0,0
87015,452910,1,0,0
87015,562991,2,0,0
87015,221310,3,0,0
87015,522110,1,0,0
87015,522130,1,0,0
87015,522291,1,0,0
87015,621340,1,0,0
87015,621498,2,0,0
