Zipcode,NaicsCode,Establishments,Employees,Payroll
88901,00,2,0,0
88901,54,1,0,0
88901,62,1,0,0
89001,52,1,0,0
89001,22,1,0,0
89001,72,3,0,0
89001,56,1,0,0
89001,42,1,0,0
89001,23,2,0,0
89001,00,17,136,3551
89001,53,1,0,0
89001,54,1,0,0
89002,52,10,0,0
89002,72,8,0,0
89002,56,29,0,0
89002,42,8,0,0
89002,23,29,0,0
89002,00,199,1033,28966
89002,61,3,0,0
89002,71,6,0,0
89002,53,7,0,0
89002,54,39,0,0
89002,81,8,0,0
89002,51,3,0,0
89002,62,23,0,0
89003,52,2,0,0
89003,21,4,0,0
89003,22,1,0,0
89003,72,11,0,0
89003,56,1,0,0
89003,00,29,375,11143
89003,81,3,0,0
89003,62,1,0,0
89004,72,2,0,0
89004,00,9,143,4131
89004,71,2,0,0
89004,54,1,0,0
89004,81,1,0,0
89005,52,14,0,0
89005,21,1,0,0
89005,22,5,0,0
89005,72,47,0,0
89005,55,1,0,0
89005,56,21,0,0
89005,42,10,0,0
89005,23,37,0,0
89005,00,384,3760,135099
89005,61,8,0,0
89005,71,15,0,0
89005,53,21,0,0
89005,54,42,0,0
89005,81,43,0,0
89005,51,3,0,0
89005,62,38,0,0
89006,00,8,0,1381
89006,54,2,0,0
89006,81,4,0,0
89007,56,2,0,0
89007,42,2,0,0
89007,23,5,0,0
89007,00,13,38,1587
89008,52,4,0,0
89008,21,2,0,0
89008,72,8,0,0
89008,42,2,0,0
89008,00,34,262,7316
89008,99,1,0,0
89008,53,1,0,0
89008,54,2,0,0
89008,81,3,0,0
89008,51,1,0,0
89008,62,4,0,0
89009,52,2,0,0
89009,42,1,0,0
89009,23,3,0,0
89009,00,14,0,0
89009,53,2,0,0
89009,54,1,0,0
89009,81,2,0,0
89010,22,1,0,0
89010,42,1,0,0
89010,23,1,0,0
89010,00,7,33,1214
89010,81,1,0,0
89011,52,13,0,0
89011,21,1,0,0
89011,22,1,0,0
89011,72,17,0,0
89011,55,2,0,0
89011,56,32,0,0
89011,42,46,0,0
89011,23,78,0,0
89011,00,428,6197,266022
89011,61,5,0,0
89011,99,1,0,0
89011,71,15,0,0
89011,53,19,0,0
89011,54,32,0,0
89011,81,57,0,0
89011,51,4,0,0
89011,62,9,0,0
89012,52,32,0,0
89012,21,1,0,0
89012,72,57,0,0
89012,55,1,0,0
89012,56,32,0,0
89012,42,12,0,0
89012,23,31,0,0
89012,00,435,5640,180296
89012,61,10,0,0
89012,99,1,0,0
89012,71,10,0,0
89012,53,31,0,0
89012,54,84,0,0
89012,81,40,0,0
89012,51,5,0,0
89012,62,47,0,0
