Zipcode,NaicsCode,Establishments,Employees,Payroll
00501,81,2,0,0
00501,00,2,0,0
06390,56,4,0,0
06390,72,2,0,0
06390,81,4,0,0
06390,00,40,211,13914
06390,22,3,0,0
06390,23,5,0,0
06390,53,4,0,0
06390,71,5,0,0
06390,51,2,0,0
06390,62,4,0,0
06390,54,1,0,0
06390,61,1,0,0
10001,55,143,0,0
10001,56,388,0,0
10001,72,493,0,0
10001,42,1265,0,0
10001,81,525,0,0
10001,99,16,0,0
10001,00,7296,149825,9003675
10001,11,1,0,0
10001,22,3,0,0
10001,23,256,0,0
10001,53,460,0,0
10001,71,263,0,0
10001,52,185,0,0
10001,51,388,0,0
10001,62,345,0,0
10001,54,1470,0,0
10001,61,139,0,0
10002,55,2,0,0
10002,56,93,0,0
10002,72,585,0,0
10002,42,197,0,0
10002,81,317,0,0
10002,99,4,0,0
10002,00,2998,23220,723242
10002,22,1,0,0
10002,23,109,0,0
10002,53,276,0,0
10002,71,98,0,0
10002,52,62,0,0
10002,51,72,0,0
10002,62,213,0,0
10002,54,267,0,0
10002,61,26,0,0
10003,55,28,0,0
10003,56,124,0,0
10003,72,636,0,0
10003,42,110,0,0
10003,81,504,0,0
10003,99,12,0,0
10003,00,4300,107728,6918342
10003,11,1,0,0
10003,22,1,0,0
10003,23,54,0,0
10003,53,385,0,0
10003,71,520,0,0
10003,52,126,0,0
10003,51,197,0,0
10003,62,335,0,0
10003,54,706,0,0
10003,61,79,0,0
10004,55,18,0,0
10004,56,84,0,0
10004,72,139,0,0
10004,42,64,0,0
10004,81,122,0,0
10004,99,5,0,0
10004,00,1600,64376,5638373
10004,21,1,0,0
10004,23,27,0,0
10004,53,86,0,0
10004,71,26,0,0
10004,52,225,0,0
10004,51,117,0,0
10004,62,90,0,0
10004,54,452,0,0
10004,61,33,0,0
10005,55,16,0,0
10005,56,74,0,0
10005,72,77,0,0
10005,42,39,0,0
10005,81,107,0,0
10005,99,2,0,0
10005,00,1340,47554,6595876
10005,11,1,0,0
10005,21,1,0,0
10005,23,13,0,0
10005,53,75,0,0
10005,71,25,0,0
10005,52,320,0,0
10005,51,64,0,0
10005,62,36,0,0
10005,54,405,0,0
10005,61,27,0,0
10006,55,5,0,0
10006,56,40,0,0
10006,72,57,0,0
10006,42,31,0,0
10006,81,58,0,0
10006,99,1,0,0
10006,00,829,17906,2322344
10006,22,2,0,0
10006,23,5,0,0
10006,53,62,0,0
10006,71,11,0,0
10006,52,119,0,0
10006,51,43,0,0
10006,62,47,0,0
10006,54,280,0,0
10006,61,10,0,0
