Zipcode,NaicsCode,Establishments,Employees,Payroll
99999,54133,739,0,0
99999,54136,4,0,0
99999,54138,195,0,0
99999,54151,2278,0,0
99999,54161,809,0,0
99999,54162,83,0,0
99999,54169,195,0,0
99999,54171,289,0,0
99999,54172,32,0,0
99999,54181,33,0,0
99999,54182,15,0,0
99999,54185,3,0,0
99999,54186,8,0,0
99999,54189,73,0,0
99999,54191,60,0,0
99999,54192,120,0,0
99999,54193,3,0,0
99999,54199,65,0,0
99999,55111,448,0,0
99999,61169,66,0,0
99999,53121,11,0,0
99999,53131,17,0,0
99999,53132,31,0,0
99999,53139,13,0,0
99999,53212,16,0,0
99999,53241,54,0,0
99999,53242,30,0,0
99999,53249,12,0,0
99999,54111,19,0,0
99999,54119,33,0,0
99999,54121,476,0,0
99999,44529,9,0,0
99999,44611,9,0,0
99999,44612,45,0,0
99999,44619,69,0,0
99999,44811,4,0,0
99999,44814,18,0,0
99999,44819,40,0,0
99999,44831,42,0,0
99999,45121,11,0,0
99999,72111,4,0,0
99999,72231,76,0,0
99999,72251,21,0,0
99999,23822,33,0,0
99999,23829,115,0,0
99999,32311,3,0,0
99999,32732,7,0,0
99999,33451,4,0,0
99999,42312,34,0,0
99999,42321,65,0,0
99999,42322,76,0,0
99999,42331,53,0,0
99999,42333,78,0,0
99999,42341,32,0,0
99999,42342,147,0,0
99999,42343,389,0,0
99999,42344,39,0,0
99999,42345,560,0,0
99999,42346,85,0,0
99999,42349,45,0,0
99999,42351,22,0,0
99999,42361,211,0,0
99999,42362,34,0,0
99999,52211,765,0,0
99999,52212,28,0,0
99999,52213,58,0,0
99999,81112,10,0,0
99999,81121,189,0,0
99999,81131,49,0,0
99999,81149,4,0,0
99999,81231,28,0,0
99999,81293,20,0,0
99999,81299,29,0,0
99999,81321,145,0,0
99999,56111,101,0,0
99999,56121,203,0,0
99999,56131,170,0,0
99999,56132,4183,0,0
99999,56133,959,0,0
99999,56141,49,0,0
99999,56142,150,0,0
99999,56143,43,0,0
99999,56144,28,0,0
99999,56145,6,0,0
99999,61171,156,0,0
99999,62111,207,0,0
99999,62121,10,0,0
99999,62134,218,0,0
99999,62139,4,0,0
99999,62142,5,0,0
99999,62149,10,0,0
99999,62151,47,0,0
99999,81331,137,0,0
99999,81391,13,0,0
99999,81392,14,0,0
99999,62161,161,0,0
99999,62199,82,0,0
99999,62321,10,0,0
99999,62412,27,0,0
99999,62419,5,0,0
99999,62431,7,0,0
99999,71394,13,0,0
99999,56149,120,0,0
99999,56151,231,0,0
99999,56152,57,0,0
99999,56159,17,0,0
99999,56161,249,0,0
99999,56162,44,0,0
99999,56172,151,0,0
99999,56173,10,0,0
99999,56191,6,0,0
99999,56199,81,0,0
99999,56211,5,0,0
99999,56221,51,0,0
99999,56291,9,0,0
99999,61111,43,0,0
99999,61131,255,0,0
99999,61142,27,0,0
99999,61143,25,0,0
99999,61151,10,0,0
99999,52221,43,0,0
99999,52222,153,0,0
99999,52229,471,0,0
99999,52231,7,0,0
99999,52232,271,0,0
99999,52239,39,0,0
99999,52311,64,0,0
99999,52312,312,0,0
99999,52313,9,0,0
99999,52391,7,0,0
99999,52392,328,0,0
99999,52393,169,0,0
99999,52399,28,0,0
99999,52411,1658,0,0
99999,52412,1476,0,0
99999,52413,76,0,0
99999,52421,436,0,0
99999,52429,726,0,0
99999,53111,16,0,0
99999,11521,25,0,0
99999,11531,8,0,0
99999,21232,4,0,0
99999,21311,375,0,0
99999,22111,52,0,0
99999,22112,94,0,0
99999,22121,4,0,0
99999,23611,13,0,0
99999,23621,15,0,0
99999,23622,17,0,0
99999,23711,19,0,0
99999,23712,29,0,0
99999,23713,87,0,0
99999,23731,26,0,0
99999,23799,3,0,0
99999,23815,4,0,0
99999,23821,28,0,0
99999,42369,563,0,0
99999,42371,46,0,0
99999,42372,4,0,0
99999,42381,5,0,0
99999,42383,199,0,0
99999,42384,143,0,0
99999,42385,10,0,0
99999,42386,25,0,0
99999,42391,49,0,0
99999,42392,8,0,0
99999,42393,27,0,0
99999,45411,179,0,0
99999,48121,5,0,0
99999,48411,5,0,0
99999,48412,47,0,0
99999,48421,6,0,0
99999,48422,5,0,0
99999,48423,4,0,0
99999,48511,4,0,0
99999,48541,65,0,0
99999,48611,10,0,0
99999,48621,4,0,0
99999,48691,27,0,0
99999,48851,33,0,0
99999,48899,3,0,0
99999,49211,16,0,0
99999,49311,104,0,0
99999,51112,3,0,0
99999,51113,12,0,0
99999,51114,54,0,0
99999,51121,872,0,0
99999,51211,17,0,0
99999,51512,16,0,0
99999,51521,126,0,0
99999,51741,8,0,0
99999,51791,80,0,0
99999,51821,1779,0,0
99999,51913,205,0,0
99999,51919,5,0,0
99999,42394,8,0,0
99999,42399,50,0,0
99999,42411,33,0,0
99999,42412,76,0,0
99999,42413,56,0,0
99999,42421,639,0,0
99999,42431,84,0,0
99999,42432,19,0,0
99999,42433,7,0,0
99999,42441,24,0,0
99999,42442,11,0,0
99999,42444,8,0,0
99999,42445,26,0,0
99999,42447,54,0,0
99999,42448,6,0,0
99999,42449,249,0,0
99999,42451,5,0,0
99999,42461,43,0,0
99999,42469,323,0,0
99999,42471,30,0,0
99999,42472,164,0,0
99999,42482,59,0,0
99999,42491,68,0,0
99999,42492,25,0,0
99999,42495,10,0,0
99999,42499,53,0,0
99999,42512,127,0,0
99999,44314,4,0,0
