Zipcode,NaicsCode,Establishments,Employees,Payroll
43001,23,13,0,0
43001,81,3,0,0
43001,54,5,0,0
43001,56,5,0,0
43001,00,49,241,9149
43001,72,4,0,0
43002,00,3,13,327
43003,23,4,0,0
43003,81,6,0,0
43003,00,31,185,4713
43003,72,5,0,0
43003,62,3,0,0
43004,23,18,0,0
43004,81,20,0,0
43004,54,42,0,0
43004,56,18,0,0
43004,51,3,0,0
43004,52,11,0,0
43004,53,14,0,0
43004,00,234,2877,148122
43004,71,5,0,0
43004,72,11,0,0
43004,42,21,0,0
43004,62,25,0,0
43004,55,3,0,0
43005,00,7,21,327
43006,23,3,0,0
43006,00,9,24,492
43008,81,6,0,0
43008,54,3,0,0
43008,53,3,0,0
43008,00,44,378,7756
43008,72,12,0,0
43009,56,3,0,0
43009,00,11,29,1083
43010,00,4,19,446
43011,23,27,0,0
43011,81,9,0,0
43011,54,8,0,0
43011,56,10,0,0
43011,61,3,0,0
43011,51,3,0,0
43011,52,6,0,0
43011,53,3,0,0
43011,00,120,864,28391
43011,72,9,0,0
43011,42,5,0,0
43011,62,14,0,0
43013,23,4,0,0
43013,00,17,82,2360
43014,23,8,0,0
43014,81,8,0,0
43014,52,3,0,0
43014,00,58,333,9350
43014,72,3,0,0
43014,62,5,0,0
43015,22,6,0,0
43015,23,79,0,0
43015,81,104,0,0
43015,54,124,0,0
43015,56,61,0,0
43015,61,16,0,0
43015,51,20,0,0
43015,52,59,0,0
43015,53,48,0,0
43015,00,1038,18959,871304
43015,71,17,0,0
43015,72,99,0,0
43015,42,35,0,0
43015,62,157,0,0
43015,55,7,0,0
43016,22,3,0,0
43016,23,40,0,0
43016,81,65,0,0
43016,54,174,0,0
43016,56,63,0,0
43016,61,14,0,0
43016,51,31,0,0
43016,52,68,0,0
43016,53,61,0,0
43016,00,1004,22973,1331061
43016,71,19,0,0
43016,72,84,0,0
43016,42,41,0,0
43016,62,161,0,0
43016,55,14,0,0
43017,22,5,0,0
43017,23,51,0,0
43017,81,65,0,0
43017,54,344,0,0
43017,56,120,0,0
43017,61,31,0,0
