Zipcode,NaicsCode,Establishments,Employees,Payroll
73001,00,4,5,115
73002,00,15,73,3400
73003,53,42,0,0
73003,21,18,0,0
73003,23,62,0,0
73003,56,50,0,0
73003,61,15,0,0
73003,62,91,0,0
73003,51,8,0,0
73003,52,71,0,0
73003,72,56,0,0
73003,71,11,0,0
73003,00,702,5997,188564
73003,81,74,0,0
73003,54,78,0,0
73003,42,24,0,0
73004,23,4,0,0
73004,72,3,0,0
73004,00,12,65,2521
73005,53,4,0,0
73005,23,7,0,0
73005,22,3,0,0
73005,56,6,0,0
73005,62,18,0,0
73005,52,19,0,0
73005,72,20,0,0
73005,00,153,2012,74867
73005,81,15,0,0
73005,54,16,0,0
73006,23,4,0,0
73006,52,4,0,0
73006,72,3,0,0
73006,00,35,255,6734
73006,81,5,0,0
73006,54,3,0,0
73006,42,6,0,0
73007,53,6,0,0
73007,21,3,0,0
73007,23,10,0,0
73007,56,8,0,0
73007,62,4,0,0
73007,71,3,0,0
73007,00,59,335,13094
73007,81,7,0,0
73007,54,6,0,0
73007,42,3,0,0
73008,53,17,0,0
73008,23,61,0,0
73008,56,29,0,0
73008,61,4,0,0
73008,62,42,0,0
73008,51,7,0,0
73008,52,27,0,0
73008,72,32,0,0
73008,71,4,0,0
73008,00,440,4874,174517
73008,81,66,0,0
73008,54,44,0,0
73008,42,16,0,0
73008,55,3,0,0
73009,23,4,0,0
73009,62,5,0,0
73009,00,26,253,12703
73010,53,9,0,0
73010,21,15,0,0
73010,23,70,0,0
73010,56,11,0,0
73010,62,19,0,0
73010,52,15,0,0
73010,71,3,0,0
73010,72,16,0,0
73010,00,264,1466,51950
73010,81,29,0,0
73010,54,23,0,0
73010,42,7,0,0
73011,00,9,48,2669
73012,52,42,0,0
73012,53,51,0,0
73012,21,16,0,0
73012,23,51,0,0
73012,22,3,0,0
73012,56,31,0,0
73012,61,6,0,0
73012,62,63,0,0
73012,51,6,0,0
73012,72,25,0,0
73012,71,12,0,0
73012,00,508,2223,76637
73012,81,39,0,0
73012,54,82,0,0
73012,42,22,0,0
73013,53,119,0,0
73013,21,66,0,0
73013,23,167,0,0
73013,56,102,0,0
73013,61,26,0,0
73013,62,324,0,0
73013,51,30,0,0
73013,52,180,0,0
73013,71,23,0,0
73013,72,99,0,0
73013,00,1877,20204,883122
73013,81,134,0,0
73013,54,316,0,0
