Zipcode,NaicsCode,Establishments,Employees,Payroll
97001,56,1,0,0
97001,72,2,0,0
97001,00,7,0,0
97001,54,2,0,0
97002,55,2,0,0
97002,56,14,0,0
97002,42,18,0,0
97002,52,3,0,0
97002,72,4,0,0
97002,00,177,1574,61847
97002,11,3,0,0
97002,21,2,0,0
97002,22,2,0,0
97002,23,32,0,0
97002,61,1,0,0
97002,81,11,0,0
97002,71,5,0,0
97002,62,4,0,0
97002,54,15,0,0
97002,51,5,0,0
97002,53,4,0,0
97004,56,7,0,0
97004,42,3,0,0
97004,52,1,0,0
97004,72,3,0,0
97004,00,85,321,11418
97004,11,2,0,0
97004,23,24,0,0
97004,81,8,0,0
97004,71,1,0,0
97004,62,4,0,0
97004,54,13,0,0
97004,51,5,0,0
97005,55,22,0,0
97005,56,87,0,0
97005,42,83,0,0
97005,52,84,0,0
97005,72,179,0,0
97005,00,1509,36077,2408812
97005,99,1,0,0
97005,11,3,0,0
97005,23,68,0,0
97005,61,25,0,0
97005,81,134,0,0
97005,71,29,0,0
97005,62,166,0,0
97005,54,193,0,0
97005,51,33,0,0
97005,53,76,0,0
97006,55,8,0,0
97006,56,80,0,0
97006,42,59,0,0
97006,52,79,0,0
97006,72,133,0,0
97006,00,1248,18346,1015790
97006,11,1,0,0
97006,22,1,0,0
97006,23,95,0,0
97006,61,21,0,0
97006,81,91,0,0
97006,71,14,0,0
97006,62,179,0,0
97006,54,171,0,0
97006,51,43,0,0
97006,53,83,0,0
97007,55,4,0,0
97007,56,68,0,0
97007,42,41,0,0
97007,52,43,0,0
97007,72,48,0,0
97007,00,846,7564,334759
97007,11,1,0,0
97007,21,1,0,0
97007,23,157,0,0
97007,61,16,0,0
97007,81,75,0,0
97007,71,13,0,0
97007,62,112,0,0
97007,54,110,0,0
97007,51,12,0,0
97007,53,42,0,0
97008,55,10,0,0
97008,56,50,0,0
97008,42,76,0,0
97008,52,59,0,0
97008,72,35,0,0
97008,00,719,8681,492982
97008,99,1,0,0
97008,21,1,0,0
97008,23,64,0,0
97008,61,12,0,0
97008,81,44,0,0
97008,71,6,0,0
97008,62,69,0,0
97008,54,115,0,0
97008,51,31,0,0
97008,53,48,0,0
97009,56,23,0,0
97009,42,21,0,0
97009,52,1,0,0
97009,72,14,0,0
97009,00,263,1909,57673
97009,11,4,0,0
97009,23,85,0,0
97009,61,1,0,0
97009,81,21,0,0
97009,71,5,0,0
97009,62,5,0,0
97009,54,16,0,0
97009,51,4,0,0
97009,53,7,0,0
97010,72,1,0,0
97010,00,1,0,0
97011,56,1,0,0
97011,72,2,0,0
97011,00,14,42,1433
97011,11,2,0,0
97011,23,2,0,0
97011,81,1,0,0
