Zipcode,NaicsCode,Establishments,Employees,Payroll
15001,62,96,0,0
15001,54,32,0,0
15001,53,9,0,0
15001,81,71,0,0
15001,56,43,0,0
15001,23,66,0,0
15001,00,568,6806,292719
15001,71,6,0,0
15001,72,56,0,0
15001,51,6,0,0
15001,52,28,0,0
15001,42,19,0,0
15003,62,28,0,0
15003,54,13,0,0
15003,53,4,0,0
15003,81,42,0,0
15003,56,15,0,0
15003,61,4,0,0
15003,23,21,0,0
15003,00,257,3966,160697
15003,72,23,0,0
15003,51,4,0,0
15003,52,12,0,0
15003,42,14,0,0
15004,62,3,0,0
15004,00,12,587,42159
15005,62,19,0,0
15005,54,16,0,0
15005,53,3,0,0
15005,81,21,0,0
15005,56,6,0,0
15005,61,4,0,0
15005,23,17,0,0
15005,00,134,1631,50046
15005,72,11,0,0
15005,52,6,0,0
15005,42,5,0,0
15006,00,8,80,3650
15007,81,5,0,0
15007,23,4,0,0
15007,00,29,284,16606
15007,72,4,0,0
15009,62,119,0,0
15009,54,57,0,0
15009,53,15,0,0
15009,81,50,0,0
15009,56,18,0,0
15009,61,6,0,0
15009,23,22,0,0
15009,00,473,6934,321368
15009,72,45,0,0
15009,71,5,0,0
15009,51,5,0,0
15009,52,47,0,0
15009,42,12,0,0
15009,55,4,0,0
15010,62,91,0,0
15010,54,35,0,0
15010,53,16,0,0
15010,81,79,0,0
15010,56,24,0,0
15010,61,12,0,0
15010,23,58,0,0
15010,00,549,7560,289113
15010,72,49,0,0
15010,71,12,0,0
15010,51,13,0,0
15010,52,42,0,0
15010,42,15,0,0
15012,62,50,0,0
15012,54,17,0,0
15012,53,14,0,0
15012,81,43,0,0
15012,56,20,0,0
15012,61,5,0,0
15012,21,3,0,0
15012,23,37,0,0
15012,00,414,5309,184090
15012,72,69,0,0
15012,71,9,0,0
15012,51,6,0,0
15012,52,19,0,0
15012,42,12,0,0
15014,62,8,0,0
15014,81,6,0,0
15014,23,3,0,0
15014,00,38,2721,217221
15014,72,3,0,0
15014,42,4,0,0
15015,54,4,0,0
15015,00,16,122,4013
15015,42,3,0,0
15017,62,93,0,0
15017,54,87,0,0
15017,53,30,0,0
15017,81,81,0,0
15017,56,38,0,0
15017,61,12,0,0
15017,21,4,0,0
15017,23,56,0,0
15017,00,705,12268,649870
15017,72,60,0,0
15017,71,16,0,0
15017,51,11,0,0
15017,52,40,0,0
15017,42,57,0,0
15017,55,9,0,0
15018,00,13,143,8006
15019,54,3,0,0
15019,81,4,0,0
15019,23,3,0,0
15019,00,23,152,5117
15020,00,6,110,7643
15021,62,9,0,0
15021,54,10,0,0
15021,53,6,0,0
15021,81,16,0,0
15021,56,10,0,0
15021,23,16,0,0
15021,00,138,1977,93088
15021,72,15,0,0
15021,71,4,0,0
15021,51,3,0,0
15021,42,5,0,0
15022,62,48,0,0
15022,54,19,0,0
15022,53,7,0,0
15022,81,41,0,0
15022,56,9,0,0
15022,21,4,0,0
15022,23,15,0,0
15022,22,4,0,0
15022,00,242,3886,182462
15022,72,19,0,0
15022,71,3,0,0
15022,51,3,0,0
15022,52,7,0,0
15022,42,6,0,0
15024,62,25,0,0
15024,54,16,0,0
15024,53,8,0,0
15024,81,22,0,0
15024,56,24,0,0
15024,23,25,0,0
15024,00,199,3764,219937
15024,72,19,0,0
15024,71,7,0,0
15024,52,3,0,0
15024,42,8,0,0
15025,62,57,0,0
15025,54,18,0,0
15025,53,12,0,0
15025,81,34,0,0
15025,56,20,0,0
15025,61,3,0,0
15025,23,42,0,0
15025,00,294,4437,223625
15025,72,25,0,0
15025,71,4,0,0
15025,52,12,0,0
15025,42,13,0,0
15026,62,5,0,0
15026,54,10,0,0
15026,53,4,0,0
15026,81,8,0,0
15026,56,3,0,0
15026,23,11,0,0
15026,00,68,1061,51375
15026,42,4,0,0
15027,54,7,0,0
15027,81,9,0,0
15027,00,34,182,5067
15027,72,5,0,0
15030,62,3,0,0
15030,81,6,0,0
15030,00,27,462,24805
