Zipcode,NaicsCode,Establishments,Employees,Payroll
02804,561730,6,0,0
02804,722511,4,0,0
02804,813110,4,0,0
02804,238220,6,0,0
02804,236118,6,0,0
02804,238210,3,0,0
02806,522110,8,0,0
02806,523930,4,0,0
02806,524210,5,0,0
02806,531210,9,0,0
02806,531311,3,0,0
02806,531390,4,0,0
02806,541110,5,0,0
02806,812112,5,0,0
02806,812113,3,0,0
02806,812320,3,0,0
02806,561110,5,0,0
02806,561730,8,0,0
02806,519130,4,0,0
02806,713940,5,0,0
02806,713990,3,0,0
02806,722511,11,0,0
02806,722513,7,0,0
02806,541330,3,0,0
02806,541410,3,0,0
02806,541512,4,0,0
02806,541611,6,0,0
02806,541613,4,0,0
02806,425120,5,0,0
02806,813110,12,0,0
02806,448120,3,0,0
02806,623210,4,0,0
02806,624120,3,0,0
02806,624190,3,0,0
02806,624410,11,0,0
02806,711510,4,0,0
02806,713930,4,0,0
02806,611691,5,0,0
02806,621111,7,0,0
02806,621112,4,0,0
02806,621210,5,0,0
02806,621330,6,0,0
02806,621340,5,0,0
02806,238220,4,0,0
02806,238320,5,0,0
02806,236115,4,0,0
02806,236118,13,0,0
02806,238210,7,0,0
02807,531210,5,0,0
02807,561730,11,0,0
02807,453220,3,0,0
02807,453920,3,0,0
02807,454310,4,0,0
02807,713990,3,0,0
02807,721110,8,0,0
02807,721191,12,0,0
02807,722310,3,0,0
02807,722410,3,0,0
02807,722511,18,0,0
02807,722513,7,0,0
02807,722515,6,0,0
02807,813110,3,0,0
02807,445110,3,0,0
02807,448140,6,0,0
02807,238910,3,0,0
02807,236115,5,0,0
02807,236118,13,0,0
02809,522110,4,0,0
02809,522120,3,0,0
02809,522130,3,0,0
02809,524210,5,0,0
02809,531110,4,0,0
02809,531120,3,0,0
02809,531210,9,0,0
02809,531311,5,0,0
02809,541110,5,0,0
02809,811111,10,0,0
02809,811121,5,0,0
02809,811490,7,0,0
02809,812112,12,0,0
02809,812199,3,0,0
02809,812910,7,0,0
02809,561730,22,0,0
02809,484220,5,0,0
02809,713940,3,0,0
02809,722310,6,0,0
02809,722410,3,0,0
02809,722511,33,0,0
02809,722513,13,0,0
02809,722515,7,0,0
02809,541330,6,0,0
02809,541611,5,0,0
02809,423510,3,0,0
02809,423910,5,0,0
02809,425120,6,0,0
02809,441222,3,0,0
02809,444190,3,0,0
02809,813110,9,0,0
02809,813410,3,0,0
02809,445110,3,0,0
02809,445120,3,0,0
02809,445310,4,0,0
02809,446110,4,0,0
02809,447110,3,0,0
02809,448310,3,0,0
02809,623110,3,0,0
02809,623210,12,0,0
02809,624410,4,0,0
02809,712110,3,0,0
02809,713930,4,0,0
02809,611620,3,0,0
02809,621111,4,0,0
