Zipcode,NaicsCode,Establishments,Employees,Payroll
29001,00,23,379,13988
29001,61,1,0,0
29001,56,3,0,0
29001,11,3,0,0
29001,23,5,0,0
29001,81,4,0,0
29001,42,1,0,0
29002,00,18,198,4200
29002,22,1,0,0
29002,23,1,0,0
29002,62,1,0,0
29002,54,3,0,0
29002,52,1,0,0
29002,72,2,0,0
29002,81,2,0,0
29002,71,1,0,0
29003,00,128,1490,49741
29003,61,1,0,0
29003,53,1,0,0
29003,55,1,0,0
29003,56,2,0,0
29003,11,3,0,0
29003,22,1,0,0
29003,23,4,0,0
29003,62,22,0,0
29003,54,11,0,0
29003,51,1,0,0
29003,52,13,0,0
29003,72,15,0,0
29003,81,16,0,0
29003,42,1,0,0
29003,71,2,0,0
29006,00,169,3362,95364
29006,61,2,0,0
29006,53,6,0,0
29006,55,1,0,0
29006,56,6,0,0
29006,11,2,0,0
29006,22,1,0,0
29006,23,14,0,0
29006,62,12,0,0
29006,54,8,0,0
29006,51,1,0,0
29006,52,13,0,0
29006,72,13,0,0
29006,81,27,0,0
29006,42,8,0,0
29006,71,2,0,0
29009,00,29,247,11756
29009,53,1,0,0
29009,11,1,0,0
29009,21,1,0,0
29009,23,2,0,0
29009,62,2,0,0
29009,54,2,0,0
29009,52,1,0,0
29009,72,2,0,0
29009,81,6,0,0
29009,42,1,0,0
29010,00,161,1484,43058
29010,61,4,0,0
29010,53,1,0,0
29010,56,6,0,0
29010,11,3,0,0
29010,23,6,0,0
29010,62,12,0,0
29010,54,9,0,0
29010,52,13,0,0
29010,72,19,0,0
29010,81,19,0,0
29010,42,5,0,0
29010,71,2,0,0
29014,00,11,21,332
29014,23,3,0,0
29014,54,2,0,0
29014,81,1,0,0
29014,42,1,0,0
29015,00,3,0,0
29015,21,1,0,0
29015,54,1,0,0
29015,81,1,0,0
29016,00,280,4960,243095
29016,61,1,0,0
29016,53,11,0,0
29016,55,3,0,0
29016,56,23,0,0
29016,11,3,0,0
29016,22,3,0,0
29016,23,42,0,0
29016,62,24,0,0
29016,54,25,0,0
29016,51,2,0,0
29016,52,13,0,0
29016,72,27,0,0
29016,81,28,0,0
29016,42,20,0,0
29016,71,6,0,0
29018,00,40,367,8608
29018,56,1,0,0
29018,23,3,0,0
29018,62,5,0,0
29018,52,1,0,0
29018,72,1,0,0
29018,81,6,0,0
29018,42,2,0,0
29018,71,1,0,0
29020,99,2,0,0
29020,00,566,6788,209047
29020,61,12,0,0
29020,53,16,0,0
29020,55,2,0,0
29020,56,28,0,0
29020,11,14,0,0
29020,22,3,0,0
29020,23,39,0,0
29020,62,57,0,0
29020,54,42,0,0
29020,51,8,0,0
29020,52,62,0,0
29020,72,60,0,0
29020,81,64,0,0
29020,42,11,0,0
29020,71,17,0,0
29021,00,19,105,5420
29021,53,2,0,0
29021,56,2,0,0
29021,62,2,0,0
29021,54,2,0,0
29021,52,2,0,0
29021,81,4,0,0
29021,42,1,0,0
29021,71,1,0,0
29030,00,23,150,4410
29030,56,2,0,0
29030,11,2,0,0
29030,23,2,0,0
29030,62,1,0,0
29030,52,1,0,0
29030,81,5,0,0
29030,42,1,0,0
29031,00,11,260,10941
29031,56,1,0,0
29031,22,1,0,0
29031,52,1,0,0
29031,81,2,0,0
29032,00,17,200,9167
29032,53,1,0,0
