Zipcode,NaicsCode,Establishments,Employees,Payroll
57001,72,3,0,0
57001,62,6,0,0
57001,23,3,0,0
57001,00,45,315,13535
57001,42,3,0,0
57001,81,8,0,0
57002,23,8,0,0
57002,56,3,0,0
57002,00,21,158,9506
57003,62,4,0,0
57003,23,9,0,0
57003,00,43,252,14014
57003,51,3,0,0
57003,42,3,0,0
57003,81,6,0,0
57004,72,10,0,0
57004,52,6,0,0
57004,53,3,0,0
57004,62,13,0,0
57004,23,12,0,0
57004,56,4,0,0
57004,00,123,1021,41685
57004,54,11,0,0
57004,42,12,0,0
57004,81,18,0,0
57005,72,21,0,0
57005,52,16,0,0
57005,53,16,0,0
57005,62,25,0,0
57005,23,45,0,0
57005,56,25,0,0
57005,61,6,0,0
57005,00,312,3425,152753
57005,54,21,0,0
57005,51,3,0,0
57005,42,21,0,0
57005,71,12,0,0
57005,81,31,0,0
57006,72,72,0,0
57006,52,48,0,0
57006,53,37,0,0
57006,62,87,0,0
57006,23,78,0,0
57006,55,3,0,0
57006,56,46,0,0
57006,61,12,0,0
57006,00,734,13080,591458
57006,54,63,0,0
57006,51,14,0,0
57006,42,29,0,0
57006,71,25,0,0
57006,81,78,0,0
57007,00,4,219,8130
57010,23,3,0,0
57010,00,15,140,4708
57012,72,8,0,0
57012,23,7,0,0
57012,00,35,247,9291
57012,81,5,0,0
57013,72,14,0,0
57013,52,13,0,0
57013,62,12,0,0
57013,23,15,0,0
57013,56,4,0,0
57013,00,127,1462,65538
57013,54,8,0,0
57013,42,7,0,0
57013,81,20,0,0
57014,72,3,0,0
57014,52,3,0,0
57014,62,5,0,0
57014,23,12,0,0
57014,00,43,200,6812
57014,42,5,0,0
57015,23,8,0,0
57015,00,23,158,10758
57015,81,5,0,0
57016,72,5,0,0
57016,23,4,0,0
57016,00,16,80,3418
57017,23,8,0,0
57017,00,32,468,24588
57017,42,3,0,0
57017,81,3,0,0
57018,23,6,0,0
57018,00,26,150,5567
57018,42,4,0,0
57020,72,3,0,0
57020,52,4,0,0
57020,23,8,0,0
57020,00,29,111,2831
57020,81,3,0,0
57021,00,4,7,240
57022,72,9,0,0
57022,52,10,0,0
57022,53,4,0,0
57022,62,14,0,0
57022,23,22,0,0
57022,56,9,0,0
57022,00,129,1230,61600
57022,54,4,0,0
57022,51,4,0,0
57022,42,5,0,0
57022,71,4,0,0
57022,81,15,0,0
57024,00,5,45,2019
57025,72,8,0,0
57025,52,6,0,0
57025,53,4,0,0
57025,62,5,0,0
57025,23,6,0,0
57025,56,5,0,0
57025,00,63,652,32145
57025,54,5,0,0
57025,81,6,0,0
57026,72,4,0,0
57026,23,11,0,0
57026,22,3,0,0
57026,00,50,253,12112
57026,54,3,0,0
57026,81,6,0,0
57027,00,3,4,94
57028,72,8,0,0
57028,52,6,0,0
57028,62,15,0,0
57028,23,11,0,0
57028,11,3,0,0
57028,00,101,974,36929
57028,54,11,0,0
57028,42,5,0,0
57028,81,16,0,0
57029,72,3,0,0
57029,52,6,0,0
57029,62,6,0,0
57029,23,7,0,0
57029,00,73,902,35124
57029,54,4,0,0
57029,42,8,0,0
57029,81,11,0,0
57030,72,7,0,0
57030,52,3,0,0
57030,62,4,0,0
57030,23,16,0,0
57030,00,71,524,20320
57030,54,3,0,0
57030,42,6,0,0
57030,81,12,0,0
57031,00,10,45,1556
57032,72,9,0,0
57032,52,6,0,0
57032,53,12,0,0
57032,62,11,0,0
57032,23,69,0,0
57032,56,18,0,0
57032,00,215,1898,86013
