Zipcode,NaicsCode,Establishments,Employees,Payroll
37010,56,4,0,0
37010,52,1,0,0
37010,62,2,0,0
37010,23,9,0,0
37010,00,35,160,3420
37010,71,1,0,0
37010,53,2,0,0
37010,72,3,0,0
37010,61,2,0,0
37010,81,5,0,0
37011,56,1,0,0
37011,52,1,0,0
37011,62,1,0,0
37011,23,2,0,0
37011,00,14,59,1301
37011,51,1,0,0
37011,72,1,0,0
37011,81,6,0,0
37012,54,1,0,0
37012,56,2,0,0
37012,52,3,0,0
37012,62,3,0,0
37012,23,1,0,0
37012,00,27,269,13043
37012,51,4,0,0
37012,72,1,0,0
37012,81,5,0,0
37013,54,32,0,0
37013,55,3,0,0
37013,56,43,0,0
37013,52,23,0,0
37013,62,47,0,0
37013,23,46,0,0
37013,00,638,9585,321407
37013,11,1,0,0
37013,21,1,0,0
37013,42,38,0,0
37013,71,10,0,0
37013,51,9,0,0
37013,53,41,0,0
37013,72,75,0,0
37013,61,6,0,0
37013,81,72,0,0
37014,54,3,0,0
37014,56,5,0,0
37014,52,3,0,0
37014,23,6,0,0
37014,00,35,128,4020
37014,71,2,0,0
37014,53,3,0,0
37014,81,5,0,0
37015,54,16,0,0
37015,55,1,0,0
37015,56,15,0,0
37015,52,16,0,0
37015,62,26,0,0
37015,23,27,0,0
37015,00,234,3947,147470
37015,11,1,0,0
37015,22,1,0,0
37015,42,2,0,0
37015,71,1,0,0
37015,51,3,0,0
37015,53,8,0,0
37015,72,21,0,0
37015,61,1,0,0
37015,81,21,0,0
37016,00,4,0,126
37016,81,3,0,0
37018,23,7,0,0
37018,00,16,0,0
37018,72,2,0,0
37018,61,1,0,0
37018,81,2,0,0
37019,52,1,0,0
37019,62,1,0,0
37019,23,2,0,0
37019,00,7,77,2890
37019,42,1,0,0
37020,56,2,0,0
37020,62,3,0,0
37020,23,8,0,0
37020,00,45,289,8073
37020,11,1,0,0
37020,42,2,0,0
37020,71,1,0,0
37020,53,1,0,0
37020,72,3,0,0
37020,61,1,0,0
37020,81,4,0,0
37022,56,3,0,0
37022,23,7,0,0
37022,00,26,85,2021
37022,42,1,0,0
37022,71,1,0,0
37022,53,1,0,0
37022,72,1,0,0
37022,81,5,0,0
37023,56,1,0,0
37023,62,1,0,0
37023,23,4,0,0
37023,00,14,0,0
37023,11,2,0,0
37023,22,1,0,0
37023,53,1,0,0
37023,72,2,0,0
37024,54,4,0,0
37024,55,1,0,0
37024,56,1,0,0
37024,62,1,0,0
37024,00,25,0,0
37024,42,2,0,0
37024,71,2,0,0
37024,53,3,0,0
37024,81,3,0,0
37025,56,3,0,0
37025,52,2,0,0
37025,23,16,0,0
37025,00,49,260,5949
37025,21,1,0,0
37025,42,3,0,0
37025,53,1,0,0
37025,72,4,0,0
37025,81,3,0,0
37026,56,1,0,0
37026,52,1,0,0
37026,23,3,0,0
37026,00,13,118,5888
37026,81,2,0,0
37027,54,376,0,0
37027,55,76,0,0
37027,56,181,0,0
37027,52,349,0,0
37027,62,391,0,0
37027,23,104,0,0
37027,99,2,0,0
37027,00,2437,42646,2604788
37027,11,2,0,0
37027,42,110,0,0
37027,71,83,0,0
37027,51,100,0,0
37027,53,105,0,0
37027,72,133,0,0
37027,61,39,0,0
37027,81,152,0,0
37028,56,1,0,0
37028,52,2,0,0
37028,23,1,0,0
37028,00,9,55,1207
37028,72,1,0,0
37028,81,2,0,0
37029,54,4,0,0
37029,56,5,0,0
37029,52,1,0,0
37029,62,8,0,0
37029,23,18,0,0
37029,00,70,612,18450
37029,11,1,0,0
37029,42,7,0,0
37029,51,1,0,0
37029,53,2,0,0
37029,72,3,0,0
37029,61,1,0,0
37029,81,10,0,0
37030,54,12,0,0
37030,56,3,0,0
37030,52,13,0,0
37030,62,20,0,0
37030,23,16,0,0
37030,00,162,2112,68758
37030,22,1,0,0
37030,21,1,0,0
37030,42,4,0,0
37030,71,2,0,0
37030,51,4,0,0
37030,53,7,0,0
37030,72,11,0,0
37030,81,15,0,0
37031,54,2,0,0
37031,56,3,0,0
37031,62,1,0,0
37031,23,2,0,0
37031,00,21,0,0
37031,42,2,0,0
37031,71,2,0,0
37031,72,1,0,0
37031,81,1,0,0
37032,54,1,0,0
37032,56,3,0,0
37032,62,1,0,0
37032,23,8,0,0
37032,00,39,0,4072
37032,11,1,0,0
37032,42,1,0,0
37032,71,1,0,0
37032,81,5,0,0
37033,54,9,0,0
37033,55,1,0,0
37033,56,3,0,0
37033,52,8,0,0
37033,62,16,0,0
37033,23,12,0,0
37033,00,137,1295,35945
37033,22,1,0,0
37033,42,4,0,0
37033,71,1,0,0
37033,51,5,0,0
37033,53,2,0,0
37033,72,13,0,0
37033,81,17,0,0
37034,54,4,0,0
37034,56,2,0,0
37034,52,4,0,0
37034,62,2,0,0
37034,23,8,0,0
37034,00,66,423,12579
37034,42,2,0,0
37034,71,1,0,0
37034,51,1,0,0
37034,72,5,0,0
37034,81,10,0,0
37035,56,2,0,0
37035,62,1,0,0
37035,23,8,0,0
37035,00,21,56,1629
37035,81,4,0,0
37036,54,5,0,0
37036,56,2,0,0
37036,52,1,0,0
37036,62,3,0,0
37036,23,12,0,0
37036,00,50,0,0
37036,53,2,0,0
37036,72,5,0,0
37036,81,5,0,0
37037,54,5,0,0
37037,56,5,0,0
37037,52,1,0,0
37037,62,1,0,0
37037,23,12,0,0
37037,00,52,392,16017
37037,42,2,0,0
37037,51,1,0,0
37037,53,1,0,0
37037,72,4,0,0
37037,61,1,0,0
37037,81,4,0,0
37040,54,106,0,0
37040,55,7,0,0
37040,56,53,0,0
37040,52,78,0,0
37040,62,98,0,0
37040,23,92,0,0
37040,00,1232,24128,779212
37040,11,1,0,0
37040,21,1,0,0
37040,42,49,0,0
37040,71,9,0,0
37040,51,14,0,0
37040,53,57,0,0
37040,72,174,0,0
37040,61,11,0,0
37040,81,123,0,0
37041,54,3,0,0
37041,56,2,0,0
37041,52,2,0,0
37041,62,1,0,0
37041,23,1,0,0
37041,00,19,1330,58013
37041,42,1,0,0
37041,72,1,0,0
37041,81,2,0,0
37042,54,23,0,0
37042,55,2,0,0
37042,56,24,0,0
37042,52,41,0,0
37042,62,65,0,0
37042,23,25,0,0
37042,99,1,0,0
37042,00,551,6303,149177
37042,21,3,0,0
37042,42,7,0,0
37042,71,4,0,0
37042,51,2,0,0
37042,53,48,0,0
37042,72,85,0,0
37042,61,4,0,0
37042,81,71,0,0
37043,54,39,0,0
37043,55,3,0,0
37043,56,29,0,0
37043,52,58,0,0
37043,62,161,0,0
37043,23,83,0,0
37043,99,1,0,0
37043,00,719,8859,270226
37043,22,3,0,0
37043,42,24,0,0
37043,71,9,0,0
37043,51,7,0,0
37043,53,31,0,0
37043,72,68,0,0
37043,61,15,0,0
37043,81,74,0,0
37044,00,8,0,0
37044,72,6,0,0
37044,81,1,0,0
37046,54,4,0,0
37046,56,7,0,0
37046,52,2,0,0
37046,62,2,0,0
37046,23,11,0,0
