Zipcode,NaicsCode,Establishments,Employees,Payroll
73301,54,5,0,0
73301,56,3,0,0
73301,81,4,0,0
73301,00,24,675,20539
73301,42,9,0,0
73960,00,4,24,1056
75001,54,344,0,0
75001,56,113,0,0
75001,61,30,0,0
75001,53,118,0,0
75001,81,70,0,0
75001,00,1659,39668,3012346
75001,71,23,0,0
75001,72,123,0,0
75001,51,49,0,0
75001,52,219,0,0
75001,21,14,0,0
75001,23,62,0,0
75001,62,110,0,0
75001,42,133,0,0
75001,55,35,0,0
75002,54,179,0,0
75002,56,69,0,0
75002,61,28,0,0
75002,53,57,0,0
75002,81,105,0,0
75002,00,1081,11161,400765
75002,71,19,0,0
75002,72,105,0,0
75002,51,18,0,0
75002,52,53,0,0
75002,23,100,0,0
75002,62,117,0,0
75002,42,43,0,0
75002,55,8,0,0
75006,54,209,0,0
75006,56,149,0,0
75006,61,30,0,0
75006,53,98,0,0
75006,81,190,0,0
75006,00,2167,52107,2697829
75006,71,21,0,0
75006,72,147,0,0
75006,51,47,0,0
75006,52,91,0,0
75006,21,4,0,0
75006,22,3,0,0
75006,23,205,0,0
75006,62,145,0,0
75006,42,342,0,0
75006,55,27,0,0
75007,54,162,0,0
75007,56,74,0,0
75007,61,23,0,0
75007,53,56,0,0
75007,81,92,0,0
75007,00,1188,16834,866868
75007,71,13,0,0
75007,72,152,0,0
75007,51,19,0,0
75007,52,77,0,0
75007,23,81,0,0
75007,62,117,0,0
75007,42,97,0,0
75007,55,10,0,0
75009,54,33,0,0
75009,56,27,0,0
75009,53,17,0,0
75009,81,25,0,0
75009,00,248,1382,47857
75009,71,9,0,0
75009,72,13,0,0
75009,52,13,0,0
75009,23,34,0,0
75009,62,20,0,0
75009,42,6,0,0
75010,54,68,0,0
75010,56,31,0,0
75010,61,21,0,0
75010,53,29,0,0
75010,81,52,0,0
75010,00,632,7248,331171
75010,71,10,0,0
75010,72,75,0,0
75010,51,13,0,0
75010,52,32,0,0
75010,23,33,0,0
75010,62,155,0,0
75010,42,33,0,0
75010,55,5,0,0
75011,54,6,0,0
75011,56,6,0,0
75011,81,3,0,0
75011,00,29,594,49082
75011,23,7,0,0
75013,54,249,0,0
75013,56,49,0,0
75013,61,33,0,0
75013,53,76,0,0
75013,81,84,0,0
75013,99,3,0,0
75013,00,1414,18184,869535
75013,71,19,0,0
75013,72,135,0,0
75013,51,28,0,0
75013,52,93,0,0
75013,23,52,0,0
75013,62,292,0,0
75013,42,53,0,0
75013,55,8,0,0
75014,54,4,0,0
75014,00,11,570,59645
75015,81,4,0,0
75015,00,24,379,12787
75015,71,3,0,0
75015,42,3,0,0
75016,00,10,42,4567
75016,23,3,0,0
75017,00,6,81,1411
75019,54,292,0,0
75019,56,146,0,0
75019,61,30,0,0
75019,53,93,0,0
75019,81,97,0,0
75019,00,1470,40125,2822534
75019,71,16,0,0
75019,72,76,0,0
75019,51,35,0,0
75019,52,99,0,0
75019,23,53,0,0
75019,62,178,0,0
75019,42,114,0,0
75019,55,36,0,0
75020,54,36,0,0
75020,56,18,0,0
