Zipcode,NaicsCode,Establishments,Employees,Payroll
84001,56,1,0,0
84001,00,29,208,10610
84001,72,4,0,0
84001,21,9,0,0
84001,22,1,0,0
84001,54,1,0,0
84001,23,3,0,0
84001,62,1,0,0
84001,61,1,0,0
84001,52,1,0,0
84002,56,1,0,0
84002,00,5,35,1295
84002,72,1,0,0
84002,22,1,0,0
84002,23,1,0,0
84003,55,9,0,0
84003,56,81,0,0
84003,00,1506,20771,829518
84003,99,2,0,0
84003,53,108,0,0
84003,72,122,0,0
84003,11,1,0,0
84003,21,3,0,0
84003,22,4,0,0
84003,81,84,0,0
84003,71,22,0,0
84003,54,243,0,0
84003,23,153,0,0
84003,51,40,0,0
84003,62,181,0,0
84003,61,34,0,0
84003,52,88,0,0
84003,42,51,0,0
84004,55,5,0,0
84004,56,13,0,0
84004,00,276,1393,58036
84004,53,27,0,0
84004,72,6,0,0
84004,11,1,0,0
84004,22,1,0,0
84004,81,12,0,0
84004,71,5,0,0
84004,54,65,0,0
84004,23,37,0,0
84004,51,8,0,0
84004,62,22,0,0
84004,61,9,0,0
84004,52,19,0,0
84004,42,13,0,0
84005,55,1,0,0
84005,56,16,0,0
84005,00,231,872,25875
84005,99,1,0,0
84005,53,24,0,0
84005,72,5,0,0
84005,22,1,0,0
84005,81,8,0,0
84005,71,3,0,0
84005,54,41,0,0
84005,23,60,0,0
84005,51,5,0,0
84005,62,13,0,0
84005,61,4,0,0
84005,52,10,0,0
84005,42,11,0,0
84006,55,2,0,0
84006,56,1,0,0
84006,00,17,0,0
84006,99,1,0,0
84006,21,3,0,0
84006,81,2,0,0
84006,23,3,0,0
84006,62,1,0,0
84006,52,1,0,0
84006,42,1,0,0
84007,00,14,48,3116
84007,53,1,0,0
84007,21,6,0,0
84007,81,2,0,0
84007,71,1,0,0
84007,23,2,0,0
84008,00,1,0,0
84008,21,1,0,0
84009,56,11,0,0
84009,00,163,363,13792
84009,99,1,0,0
84009,53,16,0,0
84009,72,9,0,0
84009,81,5,0,0
84009,71,5,0,0
84009,54,41,0,0
84009,23,18,0,0
84009,51,4,0,0
84009,62,11,0,0
84009,61,6,0,0
84009,52,11,0,0
84009,42,6,0,0
84010,55,6,0,0
84010,56,70,0,0
84010,00,1316,11637,418997
84010,99,2,0,0
84010,53,92,0,0
84010,72,81,0,0
84010,21,2,0,0
84010,81,89,0,0
84010,71,14,0,0
84010,54,232,0,0
84010,23,102,0,0
84010,51,22,0,0
84010,62,221,0,0
84010,61,23,0,0
84010,52,125,0,0
84010,42,30,0,0
84011,56,1,0,0
84011,00,7,11,857
84011,53,2,0,0
84011,81,1,0,0
84011,54,2,0,0
84011,52,1,0,0
84013,56,1,0,0
84013,00,9,134,3856
84013,53,2,0,0
84013,71,1,0,0
84013,54,1,0,0
84013,23,3,0,0
84014,55,5,0,0
84014,56,21,0,0
84014,00,482,5118,199310
84014,99,1,0,0
84014,53,29,0,0
84014,72,30,0,0
84014,22,1,0,0
84014,81,34,0,0
84014,71,5,0,0
84014,54,64,0,0
84014,23,85,0,0
84014,51,9,0,0
84014,62,39,0,0
84014,61,11,0,0
84014,52,36,0,0
84014,42,28,0,0
84015,55,3,0,0
84015,56,53,0,0
84015,00,758,11393,417880
84015,53,39,0,0
84015,72,71,0,0
84015,22,2,0,0
84015,81,59,0,0
84015,71,6,0,0
84015,54,85,0,0
84015,23,95,0,0
84015,51,8,0,0
84015,62,85,0,0
84015,61,5,0,0
84015,52,66,0,0
84015,42,11,0,0
84016,55,1,0,0
84016,56,3,0,0
84016,00,65,5310,249672
84016,53,2,0,0
84016,81,1,0,0
84016,54,3,0,0
84016,23,1,0,0
84016,51,1,0,0
84016,62,5,0,0
84016,42,14,0,0
84017,55,1,0,0
84017,56,5,0,0
84017,00,113,542,23252
84017,53,8,0,0
84017,72,4,0,0
84017,11,1,0,0
84017,21,3,0,0
84017,22,1,0,0
84017,81,6,0,0
84017,71,3,0,0
84017,54,15,0,0
84017,23,28,0,0
84017,51,2,0,0
84017,62,7,0,0
84017,52,2,0,0
84017,42,3,0,0
84018,00,4,5,127
84018,54,1,0,0
84018,23,3,0,0
84020,55,12,0,0
84020,56,108,0,0
84020,00,1689,27519,1469825
84020,99,4,0,0
84020,53,122,0,0
84020,72,111,0,0
84020,11,1,0,0
84020,21,1,0,0
84020,22,5,0,0
84020,81,99,0,0
84020,71,22,0,0
84020,54,284,0,0
84020,23,159,0,0
84020,51,44,0,0
84020,62,169,0,0
