Zipcode,NaicsCode,Establishments,Employees,Payroll
20101,00,5,10,881
20105,52,7,0,0
20105,53,25,0,0
20105,72,15,0,0
20105,56,34,0,0
20105,42,6,0,0
20105,54,353,0,0
20105,00,631,2743,180208
20105,23,33,0,0
20105,61,17,0,0
20105,62,50,0,0
20105,51,11,0,0
20105,81,26,0,0
20105,71,7,0,0
20106,56,6,0,0
20106,54,9,0,0
20106,00,64,340,15714
20106,23,18,0,0
20106,62,4,0,0
20106,81,10,0,0
20108,56,3,0,0
20108,00,22,136,10232
20108,23,3,0,0
20108,81,5,0,0
20109,52,55,0,0
20109,53,73,0,0
20109,72,128,0,0
20109,55,14,0,0
20109,56,131,0,0
20109,42,105,0,0
20109,54,147,0,0
20109,00,1588,29524,1824047
20109,99,4,0,0
20109,23,315,0,0
20109,22,3,0,0
20109,61,18,0,0
20109,62,107,0,0
20109,51,29,0,0
20109,81,111,0,0
20109,71,17,0,0
20110,52,72,0,0
20110,53,67,0,0
20110,72,160,0,0
20110,55,6,0,0
20110,56,112,0,0
20110,42,58,0,0
20110,54,229,0,0
20110,00,1719,25259,1755232
20110,23,287,0,0
20110,61,30,0,0
20110,62,196,0,0
20110,51,26,0,0
20110,81,197,0,0
20110,71,16,0,0
20111,52,11,0,0
20111,53,25,0,0
20111,72,42,0,0
20111,56,65,0,0
20111,42,25,0,0
20111,54,65,0,0
20111,00,698,5018,265240
20111,23,207,0,0
20111,61,8,0,0
20111,62,28,0,0
20111,51,6,0,0
20111,81,86,0,0
20111,71,6,0,0
20112,52,8,0,0
20112,53,24,0,0
20112,72,20,0,0
20112,56,34,0,0
20112,42,9,0,0
20112,54,87,0,0
20112,00,404,2565,125864
20112,23,111,0,0
20112,61,6,0,0
20112,62,21,0,0
20112,51,3,0,0
20112,81,35,0,0
20112,71,6,0,0
20115,52,6,0,0
20115,53,10,0,0
20115,72,10,0,0
20115,56,22,0,0
20115,42,6,0,0
20115,54,32,0,0
20115,00,189,1575,91121
20115,11,5,0,0
20115,23,37,0,0
20115,61,3,0,0
20115,62,7,0,0
20115,81,19,0,0
20116,00,15,260,8132
20116,81,4,0,0
20117,52,18,0,0
20117,53,16,0,0
20117,72,14,0,0
20117,54,30,0,0
20117,00,183,1582,97402
20117,11,10,0,0
20117,23,10,0,0
20117,61,3,0,0
20117,62,18,0,0
20117,51,4,0,0
20117,81,19,0,0
20117,71,6,0,0
20118,52,5,0,0
20118,53,4,0,0
20118,56,3,0,0
20118,00,42,299,31451
20118,23,4,0,0
20118,51,3,0,0
20118,81,8,0,0
20118,71,3,0,0
20119,53,3,0,0
20119,56,8,0,0
20119,54,9,0,0
20119,00,82,377,20159
20119,23,32,0,0
20119,81,14,0,0
20120,52,22,0,0
20120,53,24,0,0
20120,72,38,0,0
20120,55,3,0,0
20120,56,46,0,0
20120,42,17,0,0
20120,54,190,0,0
20120,00,618,4979,398626
20120,23,90,0,0
20120,61,16,0,0
20120,62,50,0,0
20120,51,17,0,0
20120,81,49,0,0
20120,71,11,0,0
20121,52,34,0,0
20121,53,21,0,0
20121,72,101,0,0
20121,56,23,0,0
20121,42,12,0,0
20121,54,87,0,0
20121,00,606,5719,247645
20121,23,54,0,0
20121,61,25,0,0
20121,62,99,0,0
20121,51,5,0,0
20121,81,67,0,0
20121,71,7,0,0
20122,72,4,0,0
20122,00,6,99,2819
20124,52,12,0,0
20124,53,26,0,0
20124,72,21,0,0
20124,56,25,0,0
20124,42,6,0,0
20124,54,101,0,0
20124,00,305,2463,151481
20124,23,48,0,0
20124,61,10,0,0
20124,62,17,0,0
20124,51,3,0,0
20124,81,11,0,0
20124,71,6,0,0
20128,00,5,15,380
20129,54,10,0,0
20129,00,21,152,13173
20129,23,3,0,0
20130,00,9,40,825
20132,52,26,0,0
20132,53,32,0,0
20132,72,49,0,0
20132,56,23,0,0
20132,42,9,0,0
20132,54,100,0,0
20132,00,563,6459,320591
20132,23,81,0,0
20132,61,14,0,0
20132,62,45,0,0
20132,51,14,0,0
20132,81,62,0,0
20132,71,12,0,0
20134,00,16,81,3601
20134,23,6,0,0
20134,62,3,0,0
20134,81,3,0,0
20135,53,5,0,0
20135,72,4,0,0
20135,56,5,0,0
20135,54,21,0,0
20135,00,77,532,26306
20135,23,10,0,0
20135,61,3,0,0
20135,51,4,0,0
20135,81,9,0,0
20136,52,8,0,0
20136,53,24,0,0
20136,72,25,0,0
20136,56,22,0,0
20136,42,6,0,0
20136,54,91,0,0
20136,00,389,3630,206474
20136,23,66,0,0
20136,61,8,0,0
20136,62,33,0,0
20136,51,8,0,0
20136,81,27,0,0
20136,71,8,0,0
20137,53,4,0,0
20137,56,5,0,0
20137,54,18,0,0
20137,00,52,200,10285
20137,23,12,0,0
20137,71,3,0,0
20138,00,3,8,306
20139,00,5,39,1196
20141,53,10,0,0
20141,72,3,0,0
20141,56,10,0,0
20141,54,25,0,0
20141,00,104,475,27268
20141,23,23,0,0
20141,62,5,0,0
20141,81,13,0,0
20141,71,4,0,0
20142,00,3,6,81
20143,56,3,0,0
20143,54,6,0,0
20143,00,32,267,19898
20143,23,10,0,0
20144,54,5,0,0
20144,00,28,200,10189
20144,23,4,0,0
20146,00,15,56,2605
20146,62,3,0,0
20146,81,5,0,0
20147,52,102,0,0
20147,53,93,0,0
20147,72,149,0,0
20147,55,14,0,0
20147,56,61,0,0
20147,42,32,0,0
20147,54,573,0,0
20147,00,1827,44989,3705213
20147,23,88,0,0
20147,61,56,0,0
20147,62,220,0,0
20147,51,98,0,0
20147,81,138,0,0
20147,71,32,0,0
20148,52,20,0,0
20148,53,51,0,0
20148,72,65,0,0
20148,56,34,0,0
20148,42,10,0,0
20148,54,882,0,0
20148,00,1352,6413,459118
20148,23,37,0,0
20148,61,26,0,0
20148,62,75,0,0
20148,51,29,0,0
20148,81,52,0,0
20148,71,13,0,0
20151,52,79,0,0
20151,53,88,0,0
20151,72,147,0,0
20151,55,18,0,0
20151,56,123,0,0
20151,42,121,0,0
20151,54,548,0,0
20151,00,1949,60311,5538839
20151,23,211,0,0
20151,61,30,0,0
20151,62,134,0,0
20151,51,43,0,0
20151,81,141,0,0
20151,71,28,0,0
20152,52,20,0,0
20152,53,39,0,0
20152,72,58,0,0
20152,56,47,0,0
20152,42,16,0,0
20152,54,368,0,0
20152,00,922,8256,465458
20152,23,55,0,0
20152,61,26,0,0
20152,62,74,0,0
20152,51,18,0,0
20152,81,75,0,0
20152,71,11,0,0
20153,00,8,112,14344
20153,81,4,0,0
20155,52,41,0,0
20155,53,51,0,0
20155,72,91,0,0
20155,56,42,0,0
20155,42,18,0,0
20155,54,172,0,0
20155,00,916,12808,634586
20155,23,82,0,0
20155,61,18,0,0
20155,62,149,0,0
20155,51,11,0,0
20155,81,74,0,0
20155,71,12,0,0
20156,54,4,0,0
20156,00,12,46,2549
20156,81,3,0,0
20158,53,9,0,0
20158,72,4,0,0
20158,56,11,0,0
20158,54,16,0,0
20158,00,98,426,20675
20158,11,3,0,0
20158,23,17,0,0
20158,81,16,0,0
20160,00,4,10,575
20164,52,24,0,0
20164,53,24,0,0
20164,72,93,0,0
20164,56,84,0,0
20164,42,23,0,0
20164,54,150,0,0
20164,00,928,11224,620774
20164,23,160,0,0
20164,61,12,0,0
20164,62,75,0,0
20164,51,13,0,0
20164,81,91,0,0
20164,71,14,0,0
20165,52,36,0,0
20165,53,34,0,0
20165,72,56,0,0
20165,56,34,0,0
20165,42,7,0,0
20165,54,231,0,0
20165,00,729,5964,294216
20165,99,3,0,0
20165,23,47,0,0
20165,61,17,0,0
20165,62,118,0,0
20165,51,15,0,0
20165,81,54,0,0
20165,71,13,0,0
20166,52,37,0,0
20166,53,70,0,0
20166,72,139,0,0
20166,55,30,0,0
20166,56,131,0,0
20166,42,121,0,0
20166,54,315,0,0
20166,00,1878,60587,4608490
20166,23,195,0,0
20166,61,22,0,0
20166,62,102,0,0
20166,51,59,0,0
20166,81,168,0,0
20166,71,28,0,0
20167,00,5,123,8237
20168,00,14,167,7492
20168,23,3,0,0
20168,81,4,0,0
20169,52,23,0,0
20169,53,35,0,0
20169,72,34,0,0
20169,56,26,0,0
20169,42,11,0,0
20169,54,152,0,0
20169,00,559,4888,252901
20169,23,72,0,0
20169,61,13,0,0
20169,62,51,0,0
20169,51,8,0,0
20169,81,52,0,0
20169,71,12,0,0
20170,52,65,0,0
20170,53,71,0,0
20170,72,119,0,0
20170,55,15,0,0
20170,56,86,0,0
20170,42,23,0,0
20170,54,375,0,0
20170,00,1347,25275,2513652
20170,23,94,0,0
20170,61,29,0,0
20170,62,153,0,0
20170,51,54,0,0
20170,81,118,0,0
20170,71,12,0,0
20171,52,36,0,0
20171,53,81,0,0
20171,72,84,0,0
20171,55,62,0,0
20171,56,120,0,0
20171,42,45,0,0
20171,54,852,0,0
20171,00,1707,60009,6967259
20171,23,63,0,0
20171,61,35,0,0
20171,62,88,0,0
20171,51,69,0,0
20171,81,66,0,0
20171,71,22,0,0
20172,54,3,0,0
20172,00,6,17,1102
20175,52,60,0,0
20175,53,54,0,0
20175,72,77,0,0
20175,56,45,0,0
20175,42,30,0,0
20175,54,283,0,0
20175,00,1042,12076,876394
20175,23,73,0,0
20175,61,22,0,0
20175,62,95,0,0
20175,51,21,0,0
20175,81,116,0,0
20175,71,25,0,0
20176,52,64,0,0
20176,53,69,0,0
20176,72,109,0,0
20176,55,3,0,0
20176,56,77,0,0
20176,42,17,0,0
20176,54,390,0,0
20176,00,1528,19228,1150355
20176,23,75,0,0
20176,61,34,0,0
20176,62,282,0,0
20176,51,27,0,0
20176,81,104,0,0
20176,71,16,0,0
20177,00,11,22,1283
20177,81,4,0,0
20178,00,7,68,2202
20180,53,9,0,0
20180,72,15,0,0
20180,56,10,0,0
20180,54,42,0,0
20180,00,143,768,35093
20180,23,20,0,0
20180,61,3,0,0
20180,62,12,0,0
20180,81,15,0,0
20180,71,4,0,0
20181,52,3,0,0
20181,53,8,0,0
20181,72,5,0,0
20181,56,25,0,0
20181,42,6,0,0
20181,54,28,0,0
20181,00,191,890,53884
20181,23,62,0,0
20181,62,5,0,0
20181,51,3,0,0
20181,81,22,0,0
20182,00,6,20,2198
20184,54,9,0,0
20184,00,26,257,26549
20184,11,4,0,0
20184,23,3,0,0
20184,71,3,0,0
20185,00,7,39,1229
20186,52,55,0,0
20186,53,38,0,0
20186,72,69,0,0
20186,56,26,0,0
20186,42,8,0,0
20186,54,122,0,0
20186,00,745,9109,548174
20186,23,70,0,0
20186,61,12,0,0
20186,62,105,0,0
20186,51,11,0,0
20186,81,92,0,0
20186,71,11,0,0
20187,52,9,0,0
20187,53,22,0,0
20187,72,21,0,0
20187,56,26,0,0
20187,42,15,0,0
20187,54,68,0,0
20187,00,383,3908,255612
20187,23,94,0,0
20187,61,12,0,0
