Zipcode,NaicsCode,Establishments,Employees,Payroll
05001,62,34,0,0
05001,56,14,0,0
05001,55,1,0,0
05001,53,15,0,0
05001,72,28,0,0
05001,11,1,0,0
05001,23,19,0,0
05001,22,1,0,0
05001,00,316,4284,227213
05001,61,8,0,0
05001,51,18,0,0
05001,71,4,0,0
05001,52,16,0,0
05001,42,19,0,0
05001,54,35,0,0
05001,81,34,0,0
05009,23,1,0,0
05009,00,3,0,592
05009,54,1,0,0
05009,81,1,0,0
05030,62,1,0,0
05030,53,2,0,0
05030,72,6,0,0
05030,11,1,0,0
05030,23,7,0,0
05030,22,1,0,0
05030,00,31,139,4579
05030,42,2,0,0
05030,81,1,0,0
05031,56,3,0,0
05031,53,1,0,0
05031,72,5,0,0
05031,23,13,0,0
05031,00,31,124,4415
05031,61,1,0,0
05031,54,3,0,0
05031,81,3,0,0
05032,62,3,0,0
05032,56,3,0,0
05032,53,1,0,0
05032,72,10,0,0
05032,11,4,0,0
05032,23,14,0,0
05032,21,1,0,0
05032,00,84,908,31482
05032,51,1,0,0
05032,52,8,0,0
05032,54,7,0,0
05032,81,5,0,0
05033,62,20,0,0
05033,56,2,0,0
05033,53,1,0,0
05033,72,9,0,0
05033,23,11,0,0
05033,21,1,0,0
05033,22,1,0,0
05033,00,108,1042,32996
05033,61,3,0,0
05033,51,3,0,0
05033,71,3,0,0
05033,52,6,0,0
05033,42,4,0,0
05033,54,7,0,0
05033,81,11,0,0
05034,56,2,0,0
05034,72,3,0,0
05034,11,1,0,0
05034,23,3,0,0
05034,00,16,165,5013
05034,52,1,0,0
05034,81,2,0,0
05035,53,1,0,0
05035,72,3,0,0
05035,23,7,0,0
05035,00,19,120,5666
05035,54,2,0,0
05036,55,1,0,0
05036,53,1,0,0
05036,72,1,0,0
05036,11,1,0,0
05036,23,6,0,0
05036,00,15,0,0
05036,51,1,0,0
05036,71,1,0,0
05036,54,1,0,0
05037,56,1,0,0
05037,72,1,0,0
05037,23,6,0,0
05037,00,14,0,0
05037,71,1,0,0
05037,54,1,0,0
05037,81,2,0,0
05038,62,8,0,0
05038,56,1,0,0
05038,53,1,0,0
05038,72,2,0,0
05038,11,1,0,0
05038,23,5,0,0
05038,21,1,0,0
05038,00,39,225,6239
05038,61,1,0,0
05038,52,1,0,0
05038,54,6,0,0
05038,81,5,0,0
05039,56,1,0,0
05039,53,1,0,0
05039,11,1,0,0
05039,23,1,0,0
05039,00,6,16,721
05039,51,1,0,0
05040,62,1,0,0
05040,53,1,0,0
05040,72,1,0,0
05040,23,3,0,0
05040,00,14,79,1709
05040,51,2,0,0
05040,42,1,0,0
05040,81,1,0,0
05041,62,1,0,0
05041,56,3,0,0
05041,00,5,37,1273
05041,42,1,0,0
05042,23,2,0,0
05042,22,1,0,0
05042,00,11,66,2648
05042,54,2,0,0
05042,81,1,0,0
05043,62,3,0,0
05043,56,4,0,0
05043,72,1,0,0
05043,11,1,0,0
05043,23,4,0,0
05043,21,1,0,0
05043,00,32,312,12622
05043,71,1,0,0
05043,52,4,0,0
05043,42,1,0,0
05043,54,4,0,0
05043,81,4,0,0
05045,62,4,0,0
05045,56,1,0,0
05045,53,2,0,0
05045,72,10,0,0
05045,11,1,0,0
05045,23,10,0,0
05045,00,56,366,12171
05045,51,1,0,0
05045,71,2,0,0
05045,52,1,0,0
05045,42,3,0,0
05045,54,2,0,0
05045,81,3,0,0
05046,56,2,0,0
05046,72,1,0,0
05046,23,8,0,0
05046,00,18,40,1390
05046,51,1,0,0
05046,52,1,0,0
05046,81,1,0,0
05047,62,1,0,0
05047,23,1,0,0
05047,21,1,0,0
05047,00,17,157,6248
05047,51,1,0,0
05047,42,2,0,0
05047,54,1,0,0
05047,81,5,0,0
05048,62,1,0,0
05048,56,5,0,0
05048,72,1,0,0
05048,23,22,0,0
05048,00,50,187,6553
05048,61,2,0,0
05048,71,1,0,0
05048,52,1,0,0
05048,54,3,0,0
05048,81,5,0,0
05049,62,1,0,0
05049,56,1,0,0
05049,72,1,0,0
05049,23,1,0,0
05049,00,7,0,811
05049,54,2,0,0
05049,81,1,0,0
05050,00,3,4,65
05050,51,1,0,0
05051,62,4,0,0
05051,56,1,0,0
05051,72,1,0,0
05051,11,3,0,0
05051,23,3,0,0
05051,00,21,104,2809
05051,51,1,0,0
05051,52,2,0,0
05051,42,1,0,0
05051,54,2,0,0
05051,81,1,0,0
05052,56,1,0,0
05052,22,1,0,0
05052,00,9,0,0
05053,56,1,0,0
05053,72,2,0,0
05053,11,1,0,0
05053,23,1,0,0
05053,00,10,22,664
05053,61,2,0,0
05053,54,1,0,0
05054,62,1,0,0
05054,72,1,0,0
05054,11,1,0,0
05054,23,2,0,0
05054,00,6,0,0
05054,81,1,0,0
05055,62,16,0,0
05055,56,4,0,0
05055,53,2,0,0
05055,72,5,0,0
05055,23,11,0,0
05055,00,105,705,23945
05055,99,1,0,0
05055,61,3,0,0
05055,51,2,0,0
05055,71,4,0,0
05055,52,7,0,0
05055,42,1,0,0
05055,54,25,0,0
05055,81,9,0,0
05056,56,4,0,0
05056,72,6,0,0
05056,23,3,0,0
05056,00,17,0,4080
05056,54,1,0,0
05056,81,1,0,0
05058,62,1,0,0
05058,72,2,0,0
05058,23,4,0,0
05058,00,9,46,1563
05059,62,3,0,0
05059,56,1,0,0
05059,53,7,0,0
05059,72,10,0,0
05059,23,5,0,0
05059,22,1,0,0
05059,00,67,543,13163
05059,61,1,0,0
05059,51,2,0,0
05059,71,2,0,0
05059,52,3,0,0
05059,42,5,0,0
05059,54,6,0,0
05059,81,7,0,0
05060,62,23,0,0
05060,56,4,0,0
05060,53,7,0,0
05060,72,16,0,0
05060,11,1,0,0
05060,23,20,0,0
05060,00,201,2252,84234
05060,61,4,0,0
05060,51,4,0,0
05060,71,4,0,0
05060,52,12,0,0
05060,42,10,0,0
05060,54,26,0,0
05060,81,20,0,0
05061,62,1,0,0
05061,72,4,0,0
05061,23,5,0,0
05061,00,21,90,2761
05061,52,1,0,0
05061,42,1,0,0
05061,54,4,0,0
05062,62,2,0,0
05062,72,2,0,0
05062,11,2,0,0
05062,23,2,0,0
05062,00,13,60,1631
05062,71,1,0,0
05062,54,1,0,0
05065,62,1,0,0
05065,56,1,0,0
05065,53,2,0,0
05065,72,2,0,0
05065,23,10,0,0
05065,00,29,0,6057
05065,61,1,0,0
05065,71,1,0,0
05065,54,2,0,0
05065,81,3,0,0
05067,23,4,0,0
05067,00,9,73,619
05067,71,1,0,0
05067,42,2,0,0
05067,54,1,0,0
05068,62,6,0,0
05068,56,6,0,0
05068,53,1,0,0
05068,72,5,0,0
05068,11,1,0,0
05068,23,10,0,0
05068,22,1,0,0
05068,00,60,825,30266
05068,61,1,0,0
05068,51,1,0,0
05068,52,2,0,0
05068,42,1,0,0
05068,54,4,0,0
05068,81,4,0,0
05069,11,1,0,0
05069,23,5,0,0
05069,00,14,68,2148
05069,54,2,0,0
05069,81,3,0,0
05070,62,2,0,0
05070,56,4,0,0
05070,72,1,0,0
05070,00,20,35,790
05070,51,1,0,0
05070,52,2,0,0
05070,54,4,0,0
05070,81,3,0,0
05071,56,2,0,0
05071,53,4,0,0
05071,72,1,0,0
05071,11,1,0,0
05071,23,5,0,0
05071,00,19,79,2775
05071,71,2,0,0
05071,54,1,0,0
05071,81,1,0,0
05072,62,2,0,0
05072,53,1,0,0
05072,72,1,0,0
05072,11,1,0,0
05072,23,4,0,0
05072,00,17,0,1523
05072,51,1,0,0
05072,42,2,0,0
05072,54,2,0,0
05072,81,2,0,0
05073,00,1,0,0
05073,54,1,0,0
05074,62,3,0,0
05074,56,1,0,0
05074,72,1,0,0
05074,00,11,0,0
05074,61,2,0,0
05074,51,1,0,0
05074,71,1,0,0
05074,42,1,0,0
05075,56,2,0,0
05075,53,1,0,0
05075,72,1,0,0
05075,11,2,0,0
05075,23,8,0,0
05075,00,30,59,3703
05075,99,1,0,0
05075,51,1,0,0
05075,71,2,0,0
05075,42,2,0,0
05075,54,4,0,0
05075,81,1,0,0
05076,23,2,0,0
05076,00,6,0,0
05076,51,1,0,0
05076,54,1,0,0
05077,56,1,0,0
05077,55,1,0,0
05077,11,1,0,0
05077,23,6,0,0
05077,00,18,69,2312
05077,71,1,0,0
05077,42,1,0,0
05077,54,1,0,0
05077,81,3,0,0
05079,62,1,0,0
05079,56,1,0,0
05079,23,5,0,0
05079,00,14,0,0
05079,61,2,0,0
05079,54,2,0,0
05079,81,2,0,0
05081,62,3,0,0
05081,56,1,0,0
05081,53,1,0,0
05081,72,4,0,0
05081,11,1,0,0
05081,23,3,0,0
05081,22,1,0,0
05081,00,35,268,7995
05081,51,2,0,0
05081,52,2,0,0
05081,42,1,0,0
05081,54,2,0,0
05081,81,2,0,0
05083,62,1,0,0
05083,72,1,0,0
05083,23,1,0,0
05083,00,8,20,731
05083,71,1,0,0
05083,81,1,0,0
05084,56,1,0,0
05084,23,1,0,0
05084,00,4,0,0
05084,71,1,0,0
05085,23,1,0,0
05085,00,5,0,0
05085,81,1,0,0
05086,62,1,0,0
05086,11,1,0,0
05086,23,2,0,0
05086,00,10,43,1388
05086,42,1,0,0
05086,54,2,0,0
05088,62,6,0,0
05088,53,1,0,0
05088,72,1,0,0
05088,23,7,0,0
05088,22,2,0,0
05088,00,30,215,10071
05088,51,1,0,0
05088,52,2,0,0
05088,42,1,0,0
05088,54,1,0,0
05088,81,2,0,0
05089,62,16,0,0
05089,56,7,0,0
05089,55,1,0,0
05089,53,4,0,0
05089,72,8,0,0
05089,23,24,0,0
05089,00,144,1409,54846
05089,61,1,0,0
05089,51,4,0,0
05089,71,2,0,0
05089,52,6,0,0
05089,42,3,0,0
05089,54,12,0,0
05089,81,14,0,0
05091,62,23,0,0
05091,56,15,0,0
05091,53,8,0,0
05091,72,22,0,0
05091,11,2,0,0
05091,23,22,0,0
05091,22,1,0,0
05091,00,217,1519,48018
05091,61,1,0,0
05091,51,7,0,0
05091,71,10,0,0
05091,52,14,0,0
05091,42,4,0,0
05091,54,20,0,0
05091,81,20,0,0
05101,62,21,0,0
05101,56,6,0,0
05101,55,1,0,0
05101,53,2,0,0
05101,72,17,0,0
05101,11,1,0,0
05101,23,12,0,0
05101,22,1,0,0
05101,00,151,1517,58920
05101,61,2,0,0
05101,51,3,0,0
05101,71,5,0,0
05101,52,6,0,0
05101,42,5,0,0
05101,54,12,0,0
05101,81,13,0,0
05141,23,1,0,0
05141,00,3,0,68
05142,62,1,0,0
05142,56,1,0,0
05142,72,2,0,0
05142,23,5,0,0
05142,00,15,0,0
05142,71,1,0,0
05142,42,1,0,0
05142,81,1,0,0
05143,62,7,0,0
05143,56,8,0,0
05143,53,6,0,0
05143,72,13,0,0
05143,11,5,0,0
05143,23,30,0,0
05143,21,1,0,0
05143,00,134,742,23758
05143,61,2,0,0
05143,51,1,0,0
05143,71,2,0,0
05143,52,5,0,0
05143,42,1,0,0
05143,54,11,0,0
05143,81,14,0,0
05146,56,1,0,0
