Zipcode,NaicsCode,Establishments,Employees,Payroll
98001,23,206,0,0
98001,00,1187,29839,1780618
98001,52,26,0,0
98001,53,45,0,0
98001,54,73,0,0
98001,51,26,0,0
98001,71,13,0,0
98001,72,57,0,0
98001,56,83,0,0
98001,61,8,0,0
98001,81,81,0,0
98001,42,158,0,0
98001,62,66,0,0
98001,55,17,0,0
98002,23,111,0,0
98002,00,992,14365,595927
98002,52,49,0,0
98002,53,43,0,0
98002,54,66,0,0
98002,51,7,0,0
98002,71,12,0,0
98002,72,90,0,0
98002,56,39,0,0
98002,61,11,0,0
98002,81,115,0,0
98002,42,49,0,0
98002,62,146,0,0
98002,55,7,0,0
98003,23,122,0,0
98003,00,1649,21366,882055
98003,99,3,0,0
98003,52,132,0,0
98003,53,101,0,0
98003,54,131,0,0
98003,51,31,0,0
98003,71,27,0,0
98003,72,185,0,0
98003,56,81,0,0
98003,61,28,0,0
98003,81,153,0,0
98003,42,56,0,0
98003,62,301,0,0
98003,55,10,0,0
98004,11,13,0,0
98004,23,91,0,0
98004,00,3052,72077,7774912
98004,99,3,0,0
98004,52,381,0,0
98004,53,292,0,0
98004,54,593,0,0
98004,51,101,0,0
98004,71,27,0,0
98004,72,230,0,0
98004,56,123,0,0
98004,61,59,0,0
98004,81,202,0,0
98004,42,101,0,0
98004,62,456,0,0
98004,55,32,0,0
98005,11,3,0,0
98005,23,118,0,0
98005,00,1679,27425,1842246
98005,52,122,0,0
98005,53,144,0,0
98005,54,277,0,0
98005,51,44,0,0
98005,71,30,0,0
98005,72,62,0,0
98005,56,88,0,0
98005,61,64,0,0
98005,81,167,0,0
98005,42,139,0,0
98005,62,191,0,0
98005,55,14,0,0
98006,23,84,0,0
98006,00,1066,16213,1639746
98006,52,56,0,0
98006,53,90,0,0
98006,54,222,0,0
98006,51,49,0,0
98006,71,14,0,0
98006,72,85,0,0
98006,56,56,0,0
98006,61,32,0,0
98006,81,75,0,0
98006,42,62,0,0
98006,62,133,0,0
98006,55,8,0,0
98007,23,45,0,0
98007,00,940,13842,923892
98007,52,67,0,0
98007,53,61,0,0
98007,54,166,0,0
98007,51,26,0,0
98007,71,7,0,0
98007,72,95,0,0
98007,56,53,0,0
98007,61,28,0,0
98007,81,64,0,0
98007,42,49,0,0
98007,62,174,0,0
98007,55,4,0,0
98008,23,64,0,0
98008,00,567,6250,695700
98008,52,16,0,0
98008,53,32,0,0
98008,54,113,0,0
98008,51,22,0,0
98008,71,11,0,0
98008,72,40,0,0
98008,56,30,0,0
98008,61,22,0,0
98008,81,28,0,0
98008,42,25,0,0
98008,62,95,0,0
98008,55,6,0,0
98009,00,33,1024,100624
98009,52,4,0,0
98009,53,3,0,0
98009,54,9,0,0
