Zipcode,NaicsCode,Establishments,Employees,Payroll
53001,52,5,0,0
53001,81,7,0,0
53001,23,8,0,0
53001,56,3,0,0
53001,00,42,287,13177
53001,62,3,0,0
53002,81,9,0,0
53002,54,4,0,0
53002,23,12,0,0
53002,56,6,0,0
53002,72,4,0,0
53002,00,75,1245,60047
53002,42,5,0,0
53003,00,12,119,7931
53004,52,4,0,0
53004,81,8,0,0
53004,54,4,0,0
53004,23,14,0,0
53004,56,5,0,0
53004,72,7,0,0
53004,00,79,767,30032
53004,62,4,0,0
53005,51,39,0,0
53005,52,210,0,0
53005,81,117,0,0
53005,54,214,0,0
53005,23,79,0,0
53005,53,67,0,0
53005,56,84,0,0
53005,61,19,0,0
53005,71,25,0,0
53005,72,95,0,0
53005,00,1602,29995,1858539
53005,62,318,0,0
53005,42,73,0,0
53005,55,12,0,0
53006,81,4,0,0
53006,23,4,0,0
53006,00,40,4360,591310
53006,62,6,0,0
53006,42,3,0,0
53007,81,19,0,0
53007,54,8,0,0
53007,23,26,0,0
53007,52,6,0,0
53007,56,13,0,0
53007,72,4,0,0
53007,00,168,3476,185591
53007,62,5,0,0
53007,42,29,0,0
53008,81,5,0,0
53008,54,8,0,0
53008,23,5,0,0
53008,52,4,0,0
53008,61,3,0,0
53008,00,45,582,34440
53008,62,4,0,0
53008,42,4,0,0
53010,81,14,0,0
53010,54,9,0,0
53010,23,36,0,0
53010,53,3,0,0
53010,56,6,0,0
53010,71,4,0,0
53010,72,13,0,0
53010,00,145,1315,55874
53010,62,11,0,0
53010,42,7,0,0
53011,23,5,0,0
53011,72,4,0,0
53011,00,23,121,4028
53012,51,8,0,0
53012,81,52,0,0
53012,54,58,0,0
53012,23,66,0,0
53012,52,32,0,0
53012,53,21,0,0
53012,56,36,0,0
53012,61,11,0,0
53012,71,17,0,0
53012,72,46,0,0
53012,00,534,4974,204733
53012,62,49,0,0
53012,42,29,0,0
53012,55,4,0,0
53013,81,17,0,0
53013,23,20,0,0
53013,52,5,0,0
53013,53,4,0,0
53013,72,3,0,0
53013,00,84,730,32168
53013,62,5,0,0
53014,81,21,0,0
53014,54,12,0,0
53014,23,27,0,0
53014,21,3,0,0
53014,52,11,0,0
53014,56,18,0,0
53014,71,8,0,0
53014,72,22,0,0
53014,00,218,3456,150380
53014,62,27,0,0
53014,42,13,0,0
53015,81,7,0,0
53015,23,8,0,0
53015,72,3,0,0
53015,00,36,207,6846
53015,42,3,0,0
53016,56,4,0,0
53016,00,16,321,22284
53017,81,7,0,0
53017,54,6,0,0
53017,23,26,0,0
53017,53,4,0,0
53017,56,8,0,0
53017,72,3,0,0
53017,00,74,255,15105
53017,42,5,0,0
53018,51,4,0,0
53018,81,31,0,0
53018,54,46,0,0
53018,23,37,0,0
53018,52,40,0,0
53018,53,18,0,0
53018,56,12,0,0
53018,61,5,0,0
53018,71,7,0,0
53018,72,43,0,0
53018,00,377,4477,177343
53018,62,38,0,0
53018,42,19,0,0
53019,81,6,0,0
53019,23,10,0,0
53019,72,7,0,0
53019,00,54,776,35505
53019,42,4,0,0
53020,52,3,0,0
53020,81,10,0,0
53020,54,7,0,0
53020,23,11,0,0
53020,53,3,0,0
53020,56,4,0,0
53020,71,5,0,0
53020,72,20,0,0
53020,00,87,1215,56916
53020,42,5,0,0
53021,81,11,0,0
53021,54,4,0,0
53021,23,16,0,0
53021,56,6,0,0
53021,72,10,0,0
53021,00,84,771,35547
53021,62,7,0,0
53021,42,4,0,0
53022,51,8,0,0
53022,52,47,0,0
53022,81,45,0,0
53022,54,63,0,0
53022,23,57,0,0
53022,53,19,0,0
53022,56,49,0,0
53022,61,10,0,0
53022,71,11,0,0
53022,72,48,0,0
53022,00,642,12465,701593
53022,62,51,0,0
53022,42,56,0,0
53022,55,9,0,0
53023,23,6,0,0
53023,00,21,93,4417
53024,51,6,0,0
53024,52,30,0,0
53024,81,40,0,0
53024,54,44,0,0
53024,23,54,0,0
53024,11,3,0,0
53024,53,18,0,0
53024,56,26,0,0
53024,61,7,0,0
53024,71,13,0,0
53024,72,41,0,0
53024,00,479,8821,405200
53024,62,53,0,0
53024,42,20,0,0
53024,55,5,0,0
53026,00,5,11,622
53027,51,10,0,0
53027,52,21,0,0
53027,81,54,0,0
53027,54,26,0,0
53027,23,86,0,0
53027,53,9,0,0
53027,56,29,0,0
53027,61,5,0,0
53027,71,5,0,0
53027,72,50,0,0
53027,00,504,9558,446855
53027,62,42,0,0
53027,42,21,0,0
53027,55,3,0,0
53029,51,5,0,0
53029,52,45,0,0
53029,81,49,0,0
53029,54,82,0,0
53029,23,86,0,0
53029,53,22,0,0
53029,56,44,0,0
53029,61,13,0,0
53029,71,19,0,0
53029,72,31,0,0
53029,00,587,8050,453332
53029,62,38,0,0
53029,42,56,0,0
53031,00,3,15,526
53032,52,7,0,0
53032,81,12,0,0
53032,54,3,0,0
53032,23,7,0,0
53032,56,5,0,0
53032,72,12,0,0
53032,00,94,2766,149038
53032,62,6,0,0
53032,42,6,0,0
53033,52,9,0,0
53033,81,10,0,0
53033,54,6,0,0
53033,23,16,0,0
53033,53,3,0,0
53033,56,6,0,0
53033,71,3,0,0
53033,72,10,0,0
53033,00,99,940,25848
53033,62,5,0,0
53033,42,3,0,0
53034,52,3,0,0
53034,81,4,0,0
53034,23,10,0,0
53034,72,5,0,0
53034,00,41,380,17072
53035,81,4,0,0
53035,23,5,0,0
53035,56,7,0,0
53035,00,34,578,25389
53035,42,3,0,0
53036,81,9,0,0
53036,54,6,0,0
53036,23,21,0,0
53036,53,3,0,0
53036,56,5,0,0
53036,72,3,0,0
53036,00,87,1222,71786
53036,42,5,0,0
53037,52,10,0,0
53037,81,18,0,0
53037,54,18,0,0
53037,23,27,0,0
53037,56,12,0,0
53037,72,15,0,0
53037,00,220,4073,214758
53037,62,26,0,0
53037,42,14,0,0
53038,51,4,0,0
53038,52,4,0,0
53038,81,8,0,0
53038,54,7,0,0
53038,23,14,0,0
53038,53,10,0,0
53038,71,3,0,0
53038,72,11,0,0
53038,00,142,2168,69871
53038,62,8,0,0
53038,42,4,0,0
53039,52,3,0,0
53039,81,6,0,0
53039,54,6,0,0
53039,23,10,0,0
53039,11,4,0,0
53039,56,3,0,0
53039,72,7,0,0
53039,00,79,910,35509
53039,62,6,0,0
53039,42,5,0,0
53040,52,8,0,0
53040,81,18,0,0
53040,54,7,0,0
53040,23,34,0,0
53040,53,4,0,0
53040,56,8,0,0
53040,71,5,0,0
53040,72,13,0,0
53040,00,161,1865,67190
53040,62,11,0,0
53040,42,9,0,0
53042,51,3,0,0
53042,52,11,0,0
53042,81,14,0,0
53042,54,6,0,0
53042,23,24,0,0
53042,53,4,0,0
53042,56,6,0,0
53042,72,19,0,0
53042,00,164,2943,126901
53042,62,16,0,0
53042,42,4,0,0
53044,81,9,0,0
53044,54,4,0,0
53044,53,4,0,0
53044,56,3,0,0
53044,71,5,0,0
53044,72,8,0,0
53044,00,75,4613,225470
53044,62,3,0,0
53044,42,4,0,0
53045,51,16,0,0
53045,52,119,0,0
53045,81,69,0,0
53045,54,86,0,0
53045,23,50,0,0
53045,53,46,0,0
53045,56,31,0,0
53045,61,13,0,0
53045,71,19,0,0
53045,72,60,0,0
53045,00,829,17860,1192244
53045,62,115,0,0
53045,42,65,0,0
53045,55,10,0,0
53046,81,11,0,0
53046,23,10,0,0
53046,21,3,0,0
53046,00,54,886,46047
53046,42,5,0,0
53047,00,3,45,1180
53048,81,6,0,0
53048,54,4,0,0
53048,23,9,0,0
53048,56,3,0,0
53048,72,7,0,0
53048,00,82,2510,112919
53048,62,8,0,0
53048,42,9,0,0
53049,81,7,0,0
53049,23,11,0,0
53049,56,3,0,0
53049,72,5,0,0
53049,00,46,410,12407
53049,42,8,0,0
53050,52,12,0,0
53050,81,27,0,0
53050,54,9,0,0
53050,23,19,0,0
53050,56,5,0,0
53050,71,3,0,0
53050,72,14,0,0
53050,00,167,3350,156325
53050,62,16,0,0
53050,42,6,0,0
53051,51,15,0,0
53051,52,69,0,0
53051,81,91,0,0
53051,54,90,0,0
53051,23,111,0,0
53051,53,32,0,0
53051,56,61,0,0
53051,61,17,0,0
53051,71,18,0,0
53051,72,77,0,0
53051,00,1115,33586,2049226
53051,62,89,0,0
53051,42,114,0,0
53051,55,17,0,0
53052,52,4,0,0
53052,81,5,0,0
53052,00,25,681,56176
53056,81,4,0,0
53056,23,3,0,0
53056,56,3,0,0
53056,72,3,0,0
53056,00,26,185,12753
53057,81,4,0,0
53057,54,4,0,0
53057,23,13,0,0
53057,56,3,0,0
53057,00,42,371,16752
53057,62,7,0,0
53058,81,10,0,0
53058,54,8,0,0
53058,23,15,0,0
53058,53,6,0,0
53058,61,3,0,0
53058,72,4,0,0
53058,00,71,692,32252
53058,42,4,0,0
53059,81,6,0,0
53059,23,12,0,0
53059,00,27,101,4667
53060,81,3,0,0
53060,23,6,0,0
53060,72,3,0,0
53060,00,19,177,8124
53061,81,14,0,0
53061,54,7,0,0
53061,23,11,0,0
53061,52,8,0,0
53061,56,3,0,0
53061,72,6,0,0
53061,00,91,1013,34896
53061,62,9,0,0
53061,42,3,0,0
53063,81,6,0,0
53063,23,4,0,0
53063,56,3,0,0
53063,00,33,317,15476
53064,00,14,194,8146
53065,81,3,0,0
53065,23,3,0,0
53065,56,3,0,0
53065,72,3,0,0
53065,00,31,196,10352
53066,51,9,0,0
53066,81,72,0,0
53066,54,87,0,0
53066,23,117,0,0
53066,52,54,0,0
53066,53,38,0,0
53066,56,53,0,0
53066,61,11,0,0
53066,71,20,0,0
53066,72,80,0,0
53066,00,914,16219,742980
53066,99,4,0,0
53066,62,134,0,0
53066,42,44,0,0
53066,55,7,0,0
53069,23,5,0,0
53069,56,3,0,0
53069,72,6,0,0
53069,00,28,179,5735
53070,81,11,0,0
53070,54,6,0,0
53070,23,26,0,0
53070,52,7,0,0
53070,56,7,0,0
53070,72,6,0,0
53070,00,115,1576,68609
53070,62,10,0,0
53070,42,7,0,0
53072,51,15,0,0
53072,81,82,0,0
53072,54,95,0,0
53072,23,100,0,0
53072,22,7,0,0
53072,52,66,0,0
53072,53,37,0,0
53072,56,44,0,0
53072,61,18,0,0
53072,71,15,0,0
53072,72,77,0,0
53072,00,872,14747,772845
53072,62,90,0,0
53072,42,78,0,0
53072,55,6,0,0
53073,51,10,0,0
53073,81,43,0,0
53073,54,29,0,0
53073,23,34,0,0
53073,52,28,0,0
53073,53,14,0,0
53073,56,20,0,0
53073,61,5,0,0
53073,71,7,0,0
53073,72,41,0,0
53073,00,401,8181,402249
53073,62,36,0,0
53073,42,12,0,0
53074,51,4,0,0
53074,81,30,0,0
53074,54,35,0,0
53074,23,42,0,0
53074,22,4,0,0
53074,52,20,0,0
53074,53,13,0,0
53074,56,17,0,0
53074,61,5,0,0
53074,71,8,0,0
53074,72,42,0,0
53074,00,327,5716,280425
53074,62,37,0,0
53074,42,14,0,0
53074,55,4,0,0
53075,51,3,0,0
53075,81,7,0,0
53075,54,6,0,0
53075,23,12,0,0
53075,52,3,0,0
53075,56,4,0,0
53075,72,8,0,0
53075,00,80,901,35415
53075,62,5,0,0
53075,42,3,0,0
53076,81,8,0,0
53076,54,9,0,0
53076,23,26,0,0
53076,53,4,0,0
53076,56,10,0,0
53076,71,6,0,0
53076,72,9,0,0
53076,00,142,2041,96714
53076,62,3,0,0
