Zipcode,NaicsCode,Establishments,Employees,Payroll
24701,00,487,6223,202453
24701,99,1,0,0
24701,51,21,0,0
24701,81,64,0,0
24701,71,15,0,0
24701,72,36,0,0
24701,22,5,0,0
24701,23,29,0,0
24701,21,5,0,0
24701,53,9,0,0
24701,42,29,0,0
24701,52,25,0,0
24701,55,3,0,0
24701,56,16,0,0
24701,54,23,0,0
24701,61,1,0,0
24701,62,79,0,0
24712,00,28,432,10173
24712,99,1,0,0
24712,51,1,0,0
24712,81,6,0,0
24712,72,3,0,0
24712,23,2,0,0
24712,53,1,0,0
24712,52,2,0,0
24712,56,1,0,0
24712,62,3,0,0
24714,00,2,0,0
24714,23,1,0,0
24714,56,1,0,0
24715,00,7,37,298
24715,81,2,0,0
24715,72,2,0,0
24715,42,1,0,0
24715,56,1,0,0
24716,00,5,22,905
24716,81,1,0,0
24716,23,2,0,0
24724,00,1,0,0
24726,00,3,7,243
24731,00,2,0,0
24731,81,1,0,0
24732,00,2,0,0
24732,81,1,0,0
24732,72,1,0,0
24733,00,4,0,0
24733,81,1,0,0
24733,72,1,0,0
24733,23,1,0,0
24733,62,1,0,0
24736,00,5,0,0
24736,99,1,0,0
24736,81,1,0,0
24736,23,2,0,0
24736,54,1,0,0
24737,00,1,0,0
24737,62,1,0,0
24739,00,83,853,23036
24739,81,13,0,0
24739,71,2,0,0
24739,72,6,0,0
24739,11,1,0,0
24739,23,10,0,0
24739,53,1,0,0
24739,42,5,0,0
24739,52,1,0,0
24739,56,4,0,0
24739,54,3,0,0
24739,62,19,0,0
24740,00,583,9309,313397
24740,51,6,0,0
24740,81,59,0,0
24740,71,14,0,0
24740,72,59,0,0
24740,22,2,0,0
24740,23,31,0,0
24740,21,5,0,0
24740,53,24,0,0
24740,42,15,0,0
24740,52,30,0,0
24740,55,1,0,0
24740,56,19,0,0
24740,54,50,0,0
24740,61,3,0,0
24740,62,121,0,0
24747,00,7,28,394
24747,81,1,0,0
24747,23,1,0,0
24747,42,1,0,0
24747,56,1,0,0
24801,00,98,1334,28854
24801,99,1,0,0
24801,51,4,0,0
24801,81,14,0,0
24801,71,1,0,0
24801,72,13,0,0
24801,22,1,0,0
24801,23,1,0,0
24801,21,2,0,0
24801,53,2,0,0
24801,42,2,0,0
24801,52,8,0,0
24801,56,2,0,0
24801,54,8,0,0
24801,61,1,0,0
24801,62,18,0,0
24808,00,1,0,0
24808,81,1,0,0
24811,00,2,0,0
24815,00,3,0,0
24815,21,3,0,0
24817,00,9,56,1715
24817,51,1,0,0
24817,21,1,0,0
24817,52,2,0,0
24817,62,2,0,0
24818,00,10,98,3710
24818,11,1,0,0
24818,23,1,0,0
24818,53,1,0,0
24818,62,1,0,0
24822,00,1,0,0
24822,23,1,0,0
24823,00,4,4,563
24823,11,1,0,0
24823,21,2,0,0
24826,00,1,0,0
24826,21,1,0,0
24827,00,6,10,143
24827,81,1,0,0
24827,23,1,0,0
24827,21,1,0,0
24827,42,2,0,0
24828,00,4,10,209
24828,81,1,0,0
24828,23,1,0,0
24828,42,1,0,0
24829,00,1,0,0
24829,62,1,0,0
24831,00,1,0,0
24831,81,1,0,0
24834,00,1,0,0
24836,00,6,269,9924
24836,81,2,0,0
24836,62,3,0,0
24839,00,13,38,1001
24839,81,2,0,0
24839,11,5,0,0
24839,21,1,0,0
24844,00,41,191,5762
24844,51,2,0,0
24844,81,4,0,0
24844,11,3,0,0
24844,21,4,0,0
24844,23,4,0,0
24844,52,2,0,0
24844,56,2,0,0
24844,54,1,0,0
24844,62,2,0,0
24845,00,4,31,461
24845,21,1,0,0
24847,00,2,0,0
24847,62,2,0,0
24849,00,5,48,939
24849,81,1,0,0
24849,72,1,0,0
24849,23,1,0,0
24849,21,1,0,0
24850,00,5,28,1714
24850,21,1,0,0
24850,56,2,0,0
24851,00,8,31,555
24851,72,3,0,0
24851,23,1,0,0
24851,21,1,0,0
24851,54,1,0,0
24851,62,1,0,0
24853,00,5,0,0
24853,71,1,0,0
24853,21,1,0,0
24853,62,1,0,0
24854,00,3,0,0
24854,23,1,0,0
24854,56,1,0,0
24857,00,4,0,202
24857,81,1,0,0
24857,21,1,0,0
24857,56,2,0,0
24859,00,1,0,0
24859,72,1,0,0
24860,00,7,13,252
24860,81,3,0,0
24860,23,2,0,0
24861,00,1,0,0
24866,00,3,0,0
24867,00,6,109,3141
24867,11,1,0,0
24867,23,1,0,0
24867,62,1,0,0
24868,00,19,180,5200
24868,81,3,0,0
24868,72,2,0,0
24868,21,1,0,0
24868,53,2,0,0
24868,42,1,0,0
24868,52,1,0,0
24868,62,4,0,0
24870,00,69,739,17878
24870,51,2,0,0
24870,81,5,0,0
24870,71,2,0,0
24870,72,7,0,0
24870,11,1,0,0
24870,21,1,0,0
24870,22,1,0,0
24870,53,3,0,0
24870,42,2,0,0
24870,52,4,0,0
24870,56,2,0,0
24870,54,5,0,0
24870,61,1,0,0
24870,62,10,0,0
24871,00,1,0,0
24871,81,1,0,0
24872,00,3,12,515
24872,21,1,0,0
24873,00,2,0,0
24873,21,1,0,0
24874,00,68,970,45073
24874,51,3,0,0
24874,81,4,0,0
24874,71,1,0,0
24874,72,4,0,0
24874,11,2,0,0
24874,21,5,0,0
24874,22,3,0,0
24874,23,4,0,0
24874,53,4,0,0
24874,42,3,0,0
24874,52,5,0,0
24874,55,1,0,0
24874,56,1,0,0
24874,54,3,0,0
24874,61,2,0,0
24874,62,6,0,0
24878,00,7,106,5335
24878,99,1,0,0
24878,21,2,0,0
24878,56,2,0,0
24879,00,1,0,0
24879,23,1,0,0
24880,00,3,11,221
24880,72,1,0,0
24880,11,1,0,0
24880,23,1,0,0
24881,00,8,25,658
24881,99,1,0,0
24881,81,2,0,0
24881,72,1,0,0
24881,62,1,0,0
24882,00,2,0,0
24882,11,1,0,0
24882,56,1,0,0
24884,00,1,0,0
24888,00,3,0,0
24888,21,2,0,0
24888,54,1,0,0
24892,00,18,80,1940
24892,51,1,0,0
24892,71,1,0,0
24892,72,1,0,0
24892,23,1,0,0
24892,21,1,0,0
24892,53,1,0,0
24892,52,2,0,0
24892,54,1,0,0
24892,62,3,0,0
24894,00,1,0,0
24894,11,1,0,0
24898,00,1,0,0
24898,11,1,0,0
24901,00,406,3890,118015
24901,51,9,0,0
24901,81,39,0,0
24901,71,7,0,0
24901,72,43,0,0
24901,11,2,0,0
24901,22,1,0,0
24901,23,22,0,0
24901,21,3,0,0
24901,53,27,0,0
24901,42,7,0,0
24901,52,32,0,0
24901,56,17,0,0
24901,54,51,0,0
24901,61,2,0,0
24901,62,62,0,0
24902,00,27,376,9374
24902,81,2,0,0
24902,71,1,0,0
24902,72,5,0,0
24902,22,2,0,0
24902,23,2,0,0
24902,53,1,0,0
24902,42,1,0,0
24902,62,5,0,0
24910,00,53,193,4455
24910,81,3,0,0
24910,72,6,0,0
24910,23,16,0,0
24910,53,2,0,0
24910,42,2,0,0
24910,52,3,0,0
24910,56,1,0,0
24910,54,3,0,0
24910,62,4,0,0
24915,00,7,29,366
24915,81,1,0,0
24915,72,2,0,0
24915,23,1,0,0
24915,52,1,0,0
24915,54,1,0,0
24916,00,7,48,1287
24916,51,1,0,0
24916,23,2,0,0
24916,42,1,0,0
24918,00,7,15,228
24918,81,3,0,0
24918,23,2,0,0
24920,00,9,207,6054
24920,71,1,0,0
24920,11,2,0,0
24920,56,1,0,0
24924,00,9,0,0
24924,11,1,0,0
24924,23,2,0,0
24924,52,1,0,0
24924,62,3,0,0
24925,00,26,209,7721
24925,99,1,0,0
24925,81,1,0,0
24925,72,1,0,0
24925,23,7,0,0
24925,53,2,0,0
24925,42,3,0,0
24925,56,3,0,0
24925,54,1,0,0
24925,62,1,0,0
24927,00,2,0,0
24927,11,1,0,0
24927,23,1,0,0
24931,00,12,92,1492
24931,81,2,0,0
24931,72,1,0,0
24931,23,3,0,0
24931,56,4,0,0
24931,62,1,0,0
24934,00,5,14,267
24934,51,1,0,0
24934,81,1,0,0
24934,23,1,0,0
24934,52,1,0,0
24934,54,1,0,0
24935,00,8,16,316
24935,81,2,0,0
24935,42,1,0,0
24935,56,1,0,0
24935,62,2,0,0
24938,00,18,43,800
24938,81,5,0,0
