Zipcode,NaicsCode,Establishments,Employees,Payroll
82001,62,193,0,0
82001,51,60,0,0
82001,72,114,0,0
82001,52,157,0,0
82001,53,109,0,0
82001,23,124,0,0
82001,21,7,0,0
82001,22,6,0,0
82001,55,12,0,0
82001,56,104,0,0
82001,61,21,0,0
82001,54,470,0,0
82001,00,1903,16983,974291
82001,99,3,0,0
82001,71,30,0,0
82001,81,163,0,0
82001,42,74,0,0
82002,00,5,68,4855
82003,62,5,0,0
82003,52,7,0,0
82003,53,4,0,0
82003,23,15,0,0
82003,56,5,0,0
82003,54,19,0,0
82003,00,90,556,27649
82003,71,5,0,0
82003,81,13,0,0
82005,54,5,0,0
82005,00,20,121,4518
82007,62,23,0,0
82007,51,6,0,0
82007,72,35,0,0
82007,52,6,0,0
82007,53,20,0,0
82007,23,67,0,0
82007,21,6,0,0
82007,56,32,0,0
82007,61,4,0,0
82007,54,18,0,0
82007,00,419,6646,349520
82007,81,37,0,0
82007,42,30,0,0
82009,62,127,0,0
82009,51,25,0,0
82009,72,70,0,0
82009,52,54,0,0
82009,53,71,0,0
82009,23,133,0,0
82009,21,4,0,0
82009,22,4,0,0
82009,55,7,0,0
82009,56,62,0,0
82009,61,8,0,0
82009,54,105,0,0
82009,00,927,9436,398472
82009,99,3,0,0
82009,71,9,0,0
82009,81,61,0,0
82009,42,14,0,0
82050,00,6,8,407
82053,23,8,0,0
82053,56,5,0,0
82053,54,4,0,0
82053,00,34,104,4383
82054,23,5,0,0
82054,54,3,0,0
82054,00,11,52,2362
82054,81,3,0,0
82055,72,5,0,0
82055,00,10,153,1805
82060,54,3,0,0
82060,00,8,17,624
82063,72,3,0,0
82063,00,3,15,813
82070,62,75,0,0
82070,51,12,0,0
82070,72,80,0,0
82070,52,26,0,0
82070,53,33,0,0
82070,23,85,0,0
82070,11,4,0,0
82070,22,5,0,0
82070,56,27,0,0
82070,61,7,0,0
82070,54,86,0,0
82070,00,691,6696,258539
82070,99,3,0,0
82070,71,16,0,0
82070,81,66,0,0
82070,42,14,0,0
82071,00,5,47,1191
82072,62,51,0,0
82072,72,23,0,0
82072,52,25,0,0
82072,53,27,0,0
82072,23,36,0,0
82072,21,3,0,0
82072,56,11,0,0
82072,54,48,0,0
82072,00,307,2848,122115
82072,71,4,0,0
82072,81,32,0,0
82072,42,6,0,0
82073,72,3,0,0
82073,23,6,0,0
82073,54,5,0,0
82073,00,25,131,4450
82082,72,6,0,0
82082,52,4,0,0
82082,23,3,0,0
82082,54,3,0,0
82082,00,47,370,17411
82082,81,6,0,0
82082,42,5,0,0
82083,22,5,0,0
82083,00,13,77,4073
82084,00,5,7,417
82190,00,24,611,35084
82190,81,5,0,0
82201,62,16,0,0
82201,51,3,0,0
82201,72,21,0,0
82201,52,15,0,0
82201,53,8,0,0
82201,23,26,0,0
82201,11,3,0,0
82201,22,4,0,0
82201,56,5,0,0
82201,54,21,0,0
82201,00,204,1792,86737
82201,71,4,0,0
82201,81,21,0,0
82201,42,5,0,0
82210,72,4,0,0
82210,00,8,29,646
82212,00,10,32,1518
82213,72,3,0,0
82213,54,3,0,0
82213,00,19,47,1750
82214,72,6,0,0
82214,52,5,0,0
82214,00,37,224,8081
82214,81,4,0,0
82215,00,5,28,975
82217,00,5,15,296
82221,23,5,0,0
82221,00,13,51,1113
82221,81,4,0,0
82222,23,4,0,0
82222,00,9,27,1414
82223,00,17,68,2107
82223,81,3,0,0
82225,62,5,0,0
82225,72,5,0,0
82225,53,3,0,0
82225,23,9,0,0
82225,56,3,0,0
82225,54,5,0,0
82225,00,59,305,10048
82225,81,4,0,0
82240,62,35,0,0
82240,51,8,0,0
82240,72,24,0,0
82240,52,16,0,0
82240,53,15,0,0
82240,23,28,0,0
82240,11,4,0,0
82240,22,3,0,0
82240,56,14,0,0
82240,54,21,0,0
82240,71,3,0,0
82240,81,32,0,0
82240,42,17,0,0
82240,00,272,2674,101594
82244,00,8,17,880
82301,62,26,0,0
82301,51,5,0,0
82301,72,47,0,0
82301,52,13,0,0
82301,53,22,0,0
82301,23,12,0,0
82301,56,11,0,0
82301,54,23,0,0
82301,00,270,2133,80206
82301,71,5,0,0
82301,81,28,0,0
82301,42,3,0,0
82321,62,3,0,0
82321,23,8,0,0
82321,21,4,0,0
82321,54,3,0,0
82321,00,37,156,6002
82322,00,4,42,2500
82323,23,3,0,0
82323,00,8,21,1180
82324,00,8,68,5063
82325,72,8,0,0
82325,56,3,0,0
82325,54,3,0,0
82325,00,28,82,3647
82327,72,3,0,0
82327,00,11,47,655
82329,72,3,0,0
82329,00,7,18,499
82331,23,6,0,0
82331,11,3,0,0
82331,62,9,0,0
82331,51,3,0,0
82331,72,20,0,0
82331,52,7,0,0
82331,53,10,0,0
82331,56,6,0,0
82331,54,7,0,0
82331,00,106,777,36098
82331,71,5,0,0
82331,81,6,0,0
82332,00,3,16,542
82334,56,3,0,0
82334,00,20,624,74556
82336,21,7,0,0
82336,00,22,237,17507
82401,62,32,0,0
82401,51,5,0,0
82401,72,19,0,0
82401,52,19,0,0
82401,53,12,0,0
82401,23,38,0,0
82401,21,6,0,0
82401,22,5,0,0
82401,56,12,0,0
82401,54,31,0,0
82401,00,284,2229,99046
82401,71,4,0,0
82401,81,28,0,0
82401,42,10,0,0
82410,62,6,0,0
82410,23,5,0,0
82410,54,5,0,0
82410,00,44,243,9936
82410,81,6,0,0
82411,23,4,0,0
82411,00,11,89,4738
82412,23,3,0,0
82412,54,3,0,0
82412,00,13,39,1502
82414,62,84,0,0
82414,51,16,0,0
82414,72,91,0,0
82414,52,41,0,0
82414,53,53,0,0
82414,23,123,0,0
82414,11,5,0,0
82414,21,10,0,0
82414,55,3,0,0
82414,56,51,0,0
82414,61,9,0,0
82414,54,57,0,0
82414,00,830,6367,278901
82414,71,40,0,0
82414,81,71,0,0
82414,42,17,0,0
82420,23,5,0,0
82420,56,4,0,0
82420,54,3,0,0
82420,00,18,171,10696
82421,23,3,0,0
82421,00,8,49,3365
82423,00,4,37,2181
82426,62,7,0,0
82426,72,18,0,0
82426,52,6,0,0
82426,23,17,0,0
82426,21,3,0,0
82426,54,9,0,0
82426,00,99,616,25103
82426,81,10,0,0
82428,00,4,5,154
82430,00,4,16,1069
82431,62,11,0,0
82431,51,3,0,0
82431,72,5,0,0
82431,52,6,0,0
82431,53,4,0,0
82431,23,17,0,0
82431,21,3,0,0
82431,56,3,0,0
82431,54,5,0,0
82431,00,98,1187,61591
82431,71,5,0,0
82431,81,9,0,0
82432,00,5,10,391
82433,23,3,0,0
82433,00,18,99,6713
82435,62,47,0,0
82435,51,11,0,0
82435,72,30,0,0
82435,52,22,0,0
82435,53,16,0,0
82435,23,79,0,0
82435,11,3,0,0
82435,21,11,0,0
82435,56,16,0,0
82435,54,38,0,0
82435,00,404,2676,117354
82435,71,6,0,0
82435,81,44,0,0
82435,42,12,0,0
82440,00,12,46,1876
82440,23,3,0,0
82441,54,3,0,0
82441,00,10,85,2428
82442,72,9,0,0
82442,23,4,0,0
82442,54,7,0,0
82442,00,38,119,4525
82442,81,3,0,0
82443,62,17,0,0
82443,72,21,0,0
82443,52,11,0,0
82443,53,10,0,0
82443,23,20,0,0
82443,21,11,0,0
82443,56,5,0,0
82443,54,14,0,0
82443,00,171,1365,58734
82443,71,5,0,0
82443,81,15,0,0
82450,00,5,10,250
82501,62,67,0,0
82501,51,14,0,0
82501,72,48,0,0
82501,52,41,0,0
82501,53,40,0,0
82501,23,92,0,0
82501,21,22,0,0
82501,22,3,0,0
82501,56,29,0,0
82501,61,8,0,0
82501,54,50,0,0
82501,00,635,5176,206742
82501,71,5,0,0
82501,81,53,0,0
82501,42,31,0,0
82510,00,5,16,1120
82512,00,5,7,544
82513,71,6,0,0
82513,62,6,0,0
82513,51,4,0,0
82513,72,25,0,0
82513,52,3,0,0
82513,53,7,0,0
82513,23,24,0,0
82513,56,6,0,0
82513,54,7,0,0
82513,00,119,429,17493
82513,81,7,0,0
82514,56,3,0,0
82514,00,15,136,4081
82515,00,6,19,1091
82516,00,7,11,282
82520,62,70,0,0
82520,51,6,0,0
82520,72,35,0,0
82520,52,20,0,0
82520,53,16,0,0
82520,23,61,0,0
82520,21,6,0,0
82520,56,15,0,0
82520,61,10,0,0
82520,54,34,0,0
82520,00,405,3350,139646
82520,71,19,0,0
82520,81,42,0,0
82520,42,4,0,0
82523,23,5,0,0
82523,00,11,18,599
82524,00,5,105,4656
82601,62,208,0,0
82601,51,17,0,0
82601,72,83,0,0
82601,52,87,0,0
82601,53,70,0,0
82601,23,138,0,0
82601,21,37,0,0
82601,22,4,0,0
82601,55,9,0,0
82601,56,70,0,0
82601,61,18,0,0
82601,54,140,0,0
82601,00,1332,13101,717798
82601,71,19,0,0
82601,81,133,0,0
82601,42,87,0,0
82602,62,3,0,0
82602,72,3,0,0
82602,52,3,0,0
82602,53,7,0,0
82602,23,8,0,0
82602,21,7,0,0
82602,22,4,0,0
82602,56,8,0,0
82602,54,7,0,0
82602,00,83,518,28732
82602,71,3,0,0
82602,81,9,0,0
82602,42,7,0,0
82604,62,41,0,0
82604,23,105,0,0
82604,21,37,0,0
82604,22,3,0,0
82604,56,39,0,0
82604,51,8,0,0
82604,72,35,0,0
82604,52,24,0,0
82604,53,30,0,0
82604,61,6,0,0
82604,54,71,0,0
82604,00,665,6640,348151
82604,71,13,0,0
82604,81,51,0,0
82604,42,54,0,0
82605,72,3,0,0
82605,23,9,0,0
82605,21,4,0,0
82605,56,3,0,0
82605,54,6,0,0
82605,00,42,241,21444
82605,81,4,0,0
82609,62,73,0,0
82609,51,9,0,0
82609,72,49,0,0
82609,52,30,0,0
82609,53,39,0,0
82609,23,36,0,0
82609,21,9,0,0
82609,55,4,0,0
82609,56,41,0,0
82609,61,4,0,0
82609,54,48,0,0
82609,00,541,6858,295526
82609,99,4,0,0
82609,71,12,0,0
82609,81,37,0,0
82609,42,15,0,0
82620,72,3,0,0
82620,00,13,54,3211
82620,71,3,0,0
82633,62,20,0,0
82633,51,8,0,0
82633,72,33,0,0
82633,52,16,0,0
82633,53,14,0,0
82633,23,30,0,0
82633,21,25,0,0
82633,56,15,0,0
82633,54,25,0,0
82633,00,340,2919,168378
82633,71,6,0,0
82633,81,41,0,0
82633,42,9,0,0
82635,00,5,48,2533
82636,62,6,0,0
82636,72,12,0,0
82636,53,5,0,0
82636,23,13,0,0
82636,21,9,0,0
82636,56,9,0,0
82636,54,3,0,0
82636,00,116,1770,120468
82636,81,5,0,0
82636,42,16,0,0
82637,62,4,0,0
82637,72,7,0,0
82637,52,3,0,0
82637,53,4,0,0
82637,23,23,0,0
82637,21,8,0,0
82637,22,9,0,0
82637,56,5,0,0
82637,54,3,0,0
82637,00,94,729,49162
82637,81,10,0,0
82639,23,3,0,0
82639,21,3,0,0
82639,00,25,94,3992
82640,00,3,17,952
82642,21,3,0,0
82642,00,7,136,22860
82643,00,8,47,1800
82644,72,7,0,0
82644,53,11,0,0
82644,23,22,0,0
82644,21,12,0,0
82644,56,5,0,0
82644,54,3,0,0
82644,00,120,1278,69274
82644,71,4,0,0
82644,81,8,0,0
82644,42,17,0,0
82649,62,3,0,0
82649,54,3,0,0
82649,00,22,87,4161
82649,42,3,0,0
82701,62,23,0,0
82701,51,5,0,0
82701,72,19,0,0
82701,52,7,0,0
82701,23,16,0,0
82701,21,13,0,0
82701,22,3,0,0
82701,56,3,0,0
82701,54,8,0,0
82701,00,162,1196,55058
82701,81,18,0,0
82710,00,9,22,964
82711,00,4,8,388
82712,23,4,0,0
82712,11,3,0,0
82712,00,15,75,3018
82714,72,3,0,0
82714,00,5,21,1397
82716,62,71,0,0
82716,51,3,0,0
82716,72,66,0,0
82716,52,33,0,0
82716,53,35,0,0
82716,23,60,0,0
82716,21,36,0,0
82716,22,6,0,0
82716,55,3,0,0
82716,56,31,0,0
82716,61,4,0,0
82716,54,61,0,0
82716,00,658,7659,448917
82716,71,15,0,0
82716,81,66,0,0
82716,42,36,0,0
82717,72,4,0,0
82717,23,18,0,0
82717,21,14,0,0
82717,56,6,0,0
82717,54,7,0,0
82717,00,86,1061,62041
82717,81,9,0,0
82717,42,8,0,0
82718,62,52,0,0
82718,51,9,0,0
82718,72,41,0,0
82718,52,22,0,0
82718,53,43,0,0
82718,23,88,0,0
82718,21,34,0,0
82718,22,9,0,0
82718,56,31,0,0
82718,61,5,0,0
82718,54,49,0,0
82718,00,635,6527,347071
82718,99,3,0,0
82718,71,6,0,0
82718,81,65,0,0
82718,42,35,0,0
82720,72,7,0,0
82720,23,7,0,0
82720,00,37,211,10073
82720,71,6,0,0
82721,62,7,0,0
82721,72,8,0,0
82721,52,3,0,0
82721,23,22,0,0
82721,21,8,0,0
82721,54,4,0,0
82721,00,82,554,28380
82721,81,9,0,0
82721,42,4,0,0
82723,00,3,5,146
82727,23,3,0,0
82727,21,6,0,0
82727,00,26,88,4564
82729,62,9,0,0
82729,72,12,0,0
82729,52,7,0,0
82729,53,3,0,0
82729,23,16,0,0
82729,21,4,0,0
82729,56,8,0,0
82729,54,8,0,0
82729,00,112,717,42250
82729,71,4,0,0
82729,81,11,0,0
82730,52,3,0,0
82730,23,11,0,0
82730,21,5,0,0
82730,00,40,234,12162
82731,00,3,2,88
82732,62,5,0,0
82732,72,6,0,0
82732,23,7,0,0
82732,21,4,0,0
82732,54,3,0,0
82732,00,52,2356,210606
82732,81,5,0,0
82732,42,3,0,0
82801,62,141,0,0
82801,72,100,0,0
82801,52,100,0,0
82801,51,61,0,0
82801,53,109,0,0
82801,23,164,0,0
82801,55,13,0,0
82801,56,90,0,0
82801,11,3,0,0
82801,21,9,0,0
82801,22,3,0,0
82801,61,21,0,0
82801,54,437,0,0
82801,00,1800,11831,623646
82801,99,12,0,0
82801,71,42,0,0
82801,81,128,0,0
82801,42,55,0,0
82831,00,4,10,566
82832,23,5,0,0
82832,00,18,30,1897
82832,71,3,0,0
82833,72,3,0,0
82833,53,3,0,0
82833,23,4,0,0
82833,56,3,0,0
82833,00,23,138,5030
82834,62,37,0,0
82834,51,12,0,0
82834,72,46,0,0
82834,52,23,0,0
82834,53,19,0,0
82834,23,68,0,0
82834,11,3,0,0
82834,21,7,0,0
82834,22,3,0,0
82834,56,35,0,0
82834,61,5,0,0
82834,54,85,0,0
82834,00,496,2438,103766
82834,99,4,0,0
82834,71,12,0,0
82834,81,37,0,0
82834,42,16,0,0
82835,00,7,25,1393
82835,81,3,0,0
82836,72,4,0,0
82836,23,5,0,0
82836,56,3,0,0
82836,00,24,99,3314
82838,72,3,0,0
82838,00,6,56,1513
82839,72,6,0,0
82839,23,5,0,0
82839,54,3,0,0
82839,00,33,134,4011
82842,23,7,0,0
82842,00,24,91,4716
82845,00,3,6,315
82901,62,81,0,0
82901,51,13,0,0
82901,72,73,0,0
82901,52,36,0,0
82901,53,49,0,0
82901,23,75,0,0
82901,21,37,0,0
82901,22,3,0,0
82901,55,5,0,0
82901,56,34,0,0
82901,61,5,0,0
82901,54,68,0,0
82901,00,811,8020,383633
82901,71,10,0,0
82901,81,62,0,0
82901,42,58,0,0
82902,53,3,0,0
82902,21,8,0,0
82902,56,4,0,0
82902,00,42,597,50776
82902,81,6,0,0
82902,42,4,0,0
82922,23,6,0,0
82922,00,12,20,1850
82923,23,10,0,0
82923,21,3,0,0
82923,56,3,0,0
82923,54,4,0,0
82923,00,51,305,19727
82923,81,3,0,0
82925,23,3,0,0
82925,00,12,28,1406
82929,00,3,137,4110
82930,62,51,0,0
82930,51,10,0,0
82930,72,41,0,0
82930,52,25,0,0
82930,53,27,0,0
82930,23,40,0,0
82930,21,10,0,0
82930,56,9,0,0
82930,61,3,0,0
82930,54,41,0,0
82930,00,402,3863,182263
82930,81,24,0,0
82930,42,16,0,0
82931,23,4,0,0
82931,00,20,157,5671
82932,72,5,0,0
82932,23,5,0,0
82932,21,4,0,0
82932,56,3,0,0
82932,00,24,109,4518
82933,23,3,0,0
